Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fernando Abad      L   7   3   0   0   1   0   0   3   0   0   0  .429  .429  .857 
Jeremy Affeldt     L   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Jose Alvarez       L   5   0   0   0   0   3   0   3   0   0   0  .000  .375  .000 
Chris Archer       R  17   5   1   0   0   0   0   8   0   0   0  .294  .294  .353 
Jake Arrieta       R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Bronson Arroyo     R  27   8   4   0   2   5   0   4   0   0   0  .296  .406  .667 
Dylan Axelrod      R   7   5   1   0   3   2   0   0   0   0   0  .714  .778 2.143 
John Axford        R   8   2   0   0   1   1   0   2   0   0   0  .250  .333  .625 
Burke Badenhop     R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Andrew Bailey      R   7   0   0   0   0   1   0   4   0   0   0  .000  .125  .000 
Homer Bailey       R  13   4   1   0   0   0   0   4   0   0   0  .308  .308  .385 
Collin Balester    R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Grant Balfour      R   3   0   0   0   0   1   1   3   1   0   0  .000  .400  .000 
Brian Bannister    R   6   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Daniel Bard        R   4   2   0   0   1   1   0   0   0   0   0  .500  .600 1.250 
Chris Bassitt      R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Trevor Bauer       R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Brandon Beachy     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Blake Beavan       R   7   5   1   1   2   0   0   0   0   0   0  .714  .714 2.000 
Heath Bell         R   5   1   0   0   1   0   0   2   0   0   0  .200  .200  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brad Bergesen      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dellin Betances    R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Chad Billingsley   R   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
Travis Blackley    L   3   0   0   0   0   0   0   0   1   0   0  .000  .250  .000 
Joe Blanton        R   6   2   1   0   0   0   0   2   0   0   1  .333  .286  .500 
Jerry Blevins      L   4   1   0   0   0   0   0   2   1   0   0  .250  .400  .250 
Craig Breslow      L   7   1   0   0   1   0   0   0   0   0   0  .143  .143  .571 
Zach Britton       L  13   2   0   0   1   1   0   3   0   0   0  .154  .214  .385 
Aaron Brooks       R   8   3   1   0   2   0   0   2   0   0   0  .375  .375 1.250 
Clay Buchholz      R  24   3   0   0   0   3   0   8   1   1   0  .125  .250  .125 
Mark Buehrle       L   9   3   0   0   1   1   0   2   0   0   0  .333  .400  .667 
Sean Burnett       L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
David Bush         R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Tim Byrdak         L   7   1   0   0   1   0   0   3   0   0   0  .143  .143  .571 
Trevor Cahill      R   5   3   1   0   1   0   0   1   0   0   0  .600  .600 1.400 
Matt Cain          R  11   6   1   0   1   0   0   1   0   0   0  .545  .545  .909 
Matt Capps         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Chris Capuano      L   9   4   1   0   0   3   0   0   1   0   0  .444  .615  .556 
Fausto Carmona     R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Carlos Carrasco    R   7   2   1   0   0   0   0   3   0   0   0  .286  .286  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Scott Carroll      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Andrew Cashner     R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Jhoulys Chacin     R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Jesse Chavez       R   4   1   0   0   0   1   1   0   0   0   0  .250  .400  .250 
Bruce Chen         L   7   1   1   0   0   1   0   1   0   0   0  .143  .250  .286 
Wei-Yin Chen       L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Tyler Clippard     R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Alex Cobb          R   8   3   1   0   1   0   0   2   0   0   0  .375  .375  .875 
Louis Coleman      R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Casey Coleman      R   6   3   1   0   0   1   0   0   0   0   0  .500  .571  .667 
Josh Collmenter    R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Bartolo Colon      R   9   6   2   0   0   0   0   0   0   0   0  .667  .667  .889 
Jose Contreras     R   4   1   0   0   0   0   0   1   0   0   1  .250  .200  .250 
Aaron Cook         R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
F. Cordero         R   6   4   2   0   0   0   0   2   0   0   0  .667  .667 1.000 
Kevin Correia      R  10   2   1   0   1   2   0   0   0   0   0  .200  .333  .600 
Neal Cotts         L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Johnny Cueto       R  27   9   3   0   1   3   0   6   0   0   0  .333  .400  .556 
Yu Darvish         R  15   7   1   1   1   0   0   6   0   0   0  .467  .467  .867 
Kyle Davies        R   7   4   0   0   1   0   0   1   0   0   0  .571  .571 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Wade Davis         R  11   1   1   0   0   1   0   2   0   0   0  .091  .167  .182 
Rubby de la Rosa   R   7   3   0   0   1   1   0   1   0   0   0  .429  .500  .857 
Ryan Dempster      R  17   4   1   0   0   2   0   5   0   0   0  .235  .316  .294 
Scott Diamond      L   5   2   0   0   1   1   0   0   0   0   0  .400  .500 1.000 
R.A. Dickey        R   8   3   1   0   0   0   0   1   0   0   0  .375  .375  .500 
Jake Diekman       L   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Octavio Dotel      R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Felix Doubront     L  20   7   2   2   1   1   0   6   0   0   0  .350  .381  .800 
Danny Duffy        L   6   0   0   0   0   1   0   4   0   0   0  .000  .143  .000 
Zach Duke          L  14   2   1   0   0   1   0   2   1   0   0  .143  .250  .214 
Roenis Elias       L   8   2   0   0   0   1   0   5   0   0   0  .250  .333  .250 
Barry Enright      R   7   2   0   0   0   0   0   3   0   0   0  .286  .286  .286 
Nathan Eovaldi     R   5   0   0   0   0   2   0   1   0   0   0  .000  .286  .000 
Marco Estrada      R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Kyle Farnsworth    R   8   1   1   0   0   0   0   1   0   0   0  .125  .125  .250 
Scott Feldman      R   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Neftali Feliz      R   4   1   0   0   1   1   0   2   0   0   0  .250  .400 1.000 
Casey Fien         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Michael Fiers      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Nelson Figueroa    R   4   2   1   0   0   3   0   1   0   0   0  .500  .714  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
