Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Acker          R   4   2   0   0   1   3   0   1   0   0   0  .500  .714 1.250 
Terry Adams        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Juan Agosto        L   7   4   0   0   0   1   0   1   0   0   0  .571  .625  .571 
Rick Aguilera      R   4   1   0   0   0   0   0   2   0   0   1  .250  .200  .250 
Doyle Alexander    R   9   2   1   0   0   1   1   0   0   0   0  .222  .300  .333 
A. Alfonseca       R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Larry Andersen     R   8   0   0   0   0   1   0   0   0   0   0  .000  .111  .000 
Tony Armas         R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Andy Ashby         R  25   3   1   1   0   3   0   3   0   0   0  .120  .214  .240 
Paul Assenmacher   L   6   1   1   0   0   1   0   2   0   0   0  .167  .286  .333 
Pedro Astacio      R  13   3   1   0   1   2   0   1   0   0   0  .231  .333  .538 
James Baldwin      R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Scott Bankhead     R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Miguel Batista     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Rod Beck           R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Steve Bedrosian    R   7   3   0   0   0   1   0   1   0   0   0  .429  .500  .429 
Tim Belcher        R  23   7   1   0   0   1   0   5   0   0   0  .304  .333  .348 
Stan Belinda       R   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Rob Bell           R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Alan Benes         R  14   6   0   0   0   1   0   2   0   0   0  .429  .467  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andy Benes         R  44  17   2   0   2   9   4   6   0   0   2  .386  .473  .568 
Kris Benson        R   6   1   0   1   0   0   0   4   0   0   0  .167  .167  .500 
Sean Bergman       R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Mike Bielecki      R  19   3   0   0   0   3   1   4   0   0   1  .158  .261  .158 
Willie Blair       R  12   5   0   0   1   3   0   1   0   0   0  .417  .533  .667 
Doug Bochtler      R   2   1   0   1   0   2   0   1   0   0   0  .500  .750 1.500 
Mike Boddicker     R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Joe Boever         R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Ricky Bones        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Toby Borland       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ricky Bottalico    R   6   1   0   0   1   1   0   1   0   0   0  .167  .286  .667 
Kent Bottenfield   R   9   2   1   0   0   0   0   3   0   0   0  .222  .222  .333 
Ryan Bowen         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Oil Can Boyd       R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Jeff Brantley      R   7   1   0   0   0   3   0   2   0   0   0  .143  .400  .143 
Chris Brock        R   5   3   0   0   0   1   0   1   0   0   0  .600  .667  .600 
Kevin Brown        R  26   9   0   0   0   7   0   7   0   1   0  .346  .485  .346 
