Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L  11   3   0   0   0   1   0   2   0   0   0  .273  .333  .273 
Gene Bearden       L   5   2   0   0   1   0   0   2   0   0   0  .400  .400 1.000 
Babe Birrer        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Mike Blyzka        R   7   3   0   1   0   0   0   0   0   0   0  .429  .429  .714 
Tom Brewer         R  19   4   0   0   0   0   0   1   0   0   0  .211  .211  .211 
Hal Brown          R   6   2   0   0   1   1   0   1   0   0   0  .333  .429  .833 
Harry Byrd         R  20   3   1   0   0   0   0   3   0   0   0  .150  .150  .200 
Tommy Byrne        L  15   2   0   0   0   1   0   4   0   0   0  .133  .188  .133 
Bob Chakales       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Joe Coleman        R  11   4   1   0   0   1   0   2   0   0   0  .364  .417  .455 
Sandy Consuegra    R  17   2   1   0   0   1   0   1   0   0   0  .118  .167  .176 
Ike Delock         R   5   1   0   0   1   2   0   1   0   0   0  .200  .429  .800 
Dick Donovan       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Fritz Dorish       R  15   4   0   1   0   0   0   3   0   0   0  .267  .267  .400 
Bob Feller         R  14   2   0   0   0   1   0   2   0   0   0  .143  .200  .143 
Bill Fischer       R   5   3   0   0   1   0   0   1   0   0   0  .600  .600 1.200 
Whitey Ford        L  22   4   0   1   1   6   0   2   0   0   0  .182  .357  .409 
Mike Fornieles     R   6   4   0   0   1   0   0   2   0   0   0  .667  .667 1.167 
Howie Fox          R   3   0   0   0   0   1   1   0   0   0   0  .000  .250  .000 
Paul Foytack       R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Garcia        R  20   6   2   0   0   1   0   2   0   0   0  .300  .333  .400 
Ned Garver         R  19   6   1   0   1   1   0   0   0   0   0  .316  .350  .526 
Ted Gray           L   6   1   0   0   1   3   0   1   0   1   0  .167  .444  .667 
Bob Grim           R  10   4   0   1   0   1   0   1   0   0   1  .400  .417  .600 
Steve Gromek       R  17   3   0   0   2   1   0   4   0   1   0  .176  .222  .529 
Jack Harshman      L  18   6   2   0   2   4   1   3   0   0   0  .333  .455  .778 
Ray Herbert        R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Billy Hoeft        L  30   8   3   0   1   1   0   9   0   0   0  .267  .290  .467 
Art Houtteman      R  18   6   1   0   2   1   0   5   0   0   0  .333  .368  .722 
Sid Hudson         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Connie Johnson     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Don Johnson        R  10   3   0   0   2   0   0   1   0   0   0  .300  .300  .900 
Bob Keegan         R  11   3   0   0   0   1   0   1   0   0   0  .273  .333  .273 
Alex Kellner       L   9   3   2   1   0   0   0   2   0   0   0  .333  .333  .778 
Gus Keriazakos     R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Leo Kiely          L  12   4   0   0   1   1   0   2   0   0   0  .333  .385  .583 
Ellis Kinder       R   3   1   0   0   0   2   1   1   0   0   0  .333  .600  .333 
Lou Kretlow        R   6   1   0   0   0   3   2   3   0   0   0  .167  .444  .167 
Johnny Kucks       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Don Larsen         R   9   2   0   0   0   0   0   2   0   0   0  .222  .222  .222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Lemon          R  15   5   1   0   0   1   0   2   0   0   1  .333  .353  .400 
Dick Littlefield   L   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Eddie Lopat        L  14   1   0   0   1   0   0   2   0   0   0  .071  .071  .286 
Dick Marlowe       R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Morrie Martin      L   7   2   1   1   0   3   0   1   1   0   0  .286  .545  .714 
Mickey McDermott   L  17   3   0   1   0   3   0   4   1   1   0  .176  .333  .294 
Jim McDonald       R   7   2   0   0   1   1   0   0   0   0   0  .286  .375  .714 
Ray Moore          R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Tom Morgan         R  16   3   0   0   0   2   0   0   0   0   0  .188  .278  .188 
Ray Narleski       R   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
Willard Nixon      R   8   2   0   0   0   2   0   0   1   0   0  .250  .455  .250 
Billy O'Dell       L   7   1   1   0   0   1   0   3   0   0   0  .143  .250  .286 
Erv Palica         R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Mel Parnell        L  18   7   1   1   1   0   0   3   1   0   0  .389  .421  .722 
Camilo Pascual     R   8   0   0   0   0   1   0   3   0   0   0  .000  .111  .000 
Billy Pierce       L  37   8   1   0   2   2   0  19   0   1   0  .216  .256  .405 
Duane Pillette     R  14   6   1   1   0   0   0   2   0   0   0  .429  .429  .643 
Bob Porterfield    R  16   5   1   0   1   1   0   1   1   0   0  .313  .389  .563 
Pedro Ramos        R   3   1   0   0   0   0   0   0   1   0   0  .333  .500  .333 
Johnny Sain        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Johnny Schmitz     L  20   5   2   0   0   2   0   1   0   1   0  .250  .318  .350 
Herb Score         L  26   4   2   0   0   2   0   6   0   0   0  .154  .214  .231 
Bobby Shantz       L   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Spec Shea          R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Bunky Stewart      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chuck Stobbs       L  11   2   1   0   0   2   1   1   0   0   0  .182  .308  .273 
Dean Stone         L  12   3   0   0   0   5   0   4   0   0   0  .250  .471  .250 
Frank Sullivan     R  21   5   1   0   2   4   0   3   0   0   0  .238  .360  .571 
Ralph Terry        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Virgil Trucks      R  12   0   0   0   0   2   0   1   0   1   0  .000  .143  .000 
Bob Turley         R  12   2   0   0   0   2   0   4   0   0   0  .167  .286  .167 
Bob Wiesler        L   2   1   1   0   0   1   0   1   0   1   0  .500  .667 1.000 
Bill Wight         L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Early Wynn         R  27   7   0   0   0   6   0   5   0   0   0  .259  .394  .259 
George Zuverink    R  14   0   0   0   0   0   0   0   0   0   0  .000  .000  .000
