Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nate Andrews       R   6   3   0   0   1   0   0   0   0   0   0  .500  .500 1.000 
Ed Bahr            R  14   2   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Jack Banta         R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Rex Barney         R   5   2   0   0   1   1   0   1   0   0   0  .400  .500 1.000 
Red Barrett        R  11   1   0   0   0   1   0   3   0   0   0  .091  .167  .091 
Joe Beggs          R  18   7   1   0   1   0   0   0   0   0   0  .389  .389  .611 
Hank Behrman       R  14   4   2   0   0   1   0   3   0   0   0  .286  .333  .429 
Ewell Blackwell    R  14   4   1   0   0   3   0   4   0   0   0  .286  .412  .357 
Tiny Bonham        R  10   4   1   0   0   0   0   0   0   0   0  .400  .400  .500 
Hank Borowy        R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Ralph Branca       R   5   0   0   0   0   0   0   3   1   0   0  .000  .167  .000 
Al Brazle          L  11   0   0   0   0   1   0   5   0   0   0  .000  .083  .000 
Harry Brecheen     L  14   7   2   0   0   0   0   4   0   1   0  .500  .500  .643 
Lou Brissie        L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Mike Budnick       R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Hugh Casey         R  14   3   0   0   0   0   0   3   0   0   0  .214  .214  .214 
Sandy Consuegra    R   6   2   0   1   0   0   0   0   0   0   0  .333  .333  .667 
Mort Cooper        R  11   3   1   0   0   0   0   1   0   0   0  .273  .273  .364 
Murry Dickson      R  19   5   0   1   0   5   3   1   0   0   0  .263  .417  .368 
Joe Dobson         R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Blix Donnelly      R  12   3   0   0   0   2   0   1   0   0   0  .250  .357  .250 
Bill Donovan       L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Fritz Dorish       R   8   4   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Monk Dubiel        R  16   4   1   1   1   1   0   4   0   0   0  .250  .294  .625 
Tom Earley         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Eddie Erautt       R   9   2   0   0   1   0   0   1   0   0   0  .222  .222  .556 
Cliff Fannin       R   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom Ferrick        R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Rube Fischer       R   5   4   0   0   0   1   0   0   0   0   0  .800  .833  .800 
Ken Gables         R  10   0   0   0   0   1   0   1   0   0   0  .000  .091  .000 
Mike Garcia        R   9   2   0   0   0   0   0   2   0   1   0  .222  .222  .222 
Ned Garver         R  10   4   1   0   0   0   0   0   0   0   0  .400  .400  .500 
Al Gerheauser      L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Ted Gray           L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Hal Gregg          R  13   3   0   1   1   0   0   2   0   0   0  .231  .231  .615 
Marv Grissom       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Steve Gromek       R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Harry Gumbert      R  16   1   0   0   0   1   0   0   0   0   0  .063  .118  .063 
Warren Hacker      R   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Jack Hallett       R  10   3   1   0   0   1   0   1   0   0   0  .300  .364  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Clint Hartung      R   7   1   0   0   0   2   0   0   0   0   0  .143  .333  .143 
Joe Hatten         L  18   1   0   0   0   3   0   4   0   1   0  .056  .190  .056 
Ed Head            R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Ken Heintzelman    L   3   1   1   0   0   1   1   1   0   0   0  .333  .500  .667 
Art Herring        R   4   0   0   0   0   1   1   3   0   0   0  .000  .200  .000 
Johnny Hetki       R  13   5   1   1   0   1   1   1   0   0   0  .385  .429  .615 
Kirby Higbe        R  17   2   0   0   0   2   0   3   0   0   0  .118  .211  .118 
Bob Hooper         R  12   2   0   0   1   0   0   1   0   0   0  .167  .167  .417 
Art Houtteman      R  12   4   1   0   0   0   0   0   0   0   0  .333  .333  .417 
Sid Hudson         R   9   3   0   0   1   0   0   0   0   0   0  .333  .333  .667 
Tommy Hughes       R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Fred Hutchinson    R  14   5   1   0   0   0   0   3   0   0   0  .357  .357  .429 
Larry Jansen       R  22   7   1   0   1   0   0   3   0   0   0  .318  .318  .500 
Si Johnson         R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Sheldon Jones      R   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 
Oscar Judd         L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Al Jurisich        R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Andy Karl          R   6   4   2   0   0   1   0   0   0   0   0  .667  .714 1.000 
Monty Kennedy      L   5   1   0   0   0   1   0   1   0   1   0  .200  .333  .200 
Ellis Kinder       R  12   1   0   0   1   1   0   2   0   0   0  .083  .154  .333 
