Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L  25   7   1   0   0   1   0   5   0   0   1  .280  .296  .320 
Ted Abernathy      R  10   2   1   1   0   0   0   1   0   0   0  .200  .200  .500 
Hank Aguirre       L   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Frank Baumann      L   4   1   0   0   0   2   0   1   1   0   0  .250  .571  .250 
Gene Bearden       L  11   3   0   1   0   0   0   1   0   0   0  .273  .273  .455 
Gary Bell          R   9   4   0   0   0   4   1   1   0   0   1  .444  .571  .444 
Babe Birrer        R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Charlie Bishop     R  19   6   0   0   2   2   0   0   0   0   0  .316  .381  .632 
Mike Blyzka        R  20   7   0   1   0   1   0   0   0   0   0  .350  .381  .450 
Cloyd Boyer        R   3   3   2   1   0   1   0   0   0   0   0 1.000 1.000 2.333 
Ralph Branca       R   7   2   0   2   0   3   0   0   0   1   0  .286  .500  .857 
Harry Brecheen     L   6   1   0   0   0   2   0   0   0   0   0  .167  .375  .167 
Tom Brewer         R  54  17   0   0   5   4   1   8   1   0   0  .315  .373  .593 
Lou Brissie        L  14   7   1   0   1   1   0   1   0   0   0  .500  .533  .786 
Dick Brodowski     R  13   3   1   0   1   1   1   0   0   0   0  .231  .286  .538 
Hal Brown          R  39  14   2   1   4   4   1   6   0   0   0  .359  .419  .769 
George Brunet      L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jim Bunning        R  30   4   0   0   0   0   0  13   1   1   0  .133  .161  .133 
Wally Burnette     R   7   2   0   0   0   0   0   0   0   0   1  .286  .250  .286 
Moe Burtschy       R  12   5   1   1   0   2   2   0   0   0   0  .417  .500  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bud Byerly         R  12   4   2   0   0   1   1   4   0   0   0  .333  .385  .500 
Harry Byrd         R  40  18   3   1   0   7   1   0   0   0   1  .450  .521  .575 
Tommy Byrne        L  14   7   0   1   1   5   0   2   0   0   0  .500  .632  .857 
Bob Cain           L   6   2   1   1   0   0   0   0   0   0   0  .333  .333  .833 
Art Ceccarelli     L   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Bob Chakales       R  13   1   1   0   0   0   0   1   0   0   1  .077  .071  .154 
