Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Aardsma      R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Paul Abbott        R   7   1   0   0   1   0   0   2   0   0   0  .143  .143  .571 
Jeremy Accardo     R   7   0   0   0   0   2   0   3   0   0   0  .000  .222  .000 
Juan Acevedo       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Alfredo Aceves     R   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
Terry Adams        R   7   1   1   0   0   2   0   0   0   0   0  .143  .333  .286 
J. Albaladejo      R   5   2   0   0   1   0   0   2   0   0   0  .400  .400 1.000 
Cody Allen         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Brian Anderson     L   5   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Kevin Appier       R   5   2   1   0   0   0   0   2   0   0   0  .400  .400  .600 
Chris Archer       R   8   2   0   0   1   0   0   1   0   0   0  .250  .250  .625 
Bronson Arroyo     R  11   4   3   0   0   1   0   0   0   0   0  .364  .417  .636 
Andy Ashby         R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Scott Atchison     R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Brandon Backe      R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Michael Bacsik     L   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Burke Badenhop     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Cha-Seung Baek     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Danys Baez         R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Scott Baker        R  19   6   3   0   0   2   0   5   0   0   0  .316  .381  .474 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
James Baldwin      R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Grant Balfour      R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Miguel Batista     R  17   4   4   0   0   4   0   3   0   0   0  .235  .381  .471 
Josh Beckett       R  42  12   5   0   1   3   0   9   0   0   1  .286  .326  .476 
Erik Bedard        L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Joe Beimel         L   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Heath Bell         R   5   3   1   0   0   1   0   1   0   0   0  .600  .667  .800 
Rob Bell           R  14   7   4   1   0   3   0   1   0   0   0  .500  .588  .929 
Trevor Bell        R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Joaquin Benoit     R  13   1   0   0   0   4   0   5   0   1   0  .077  .294  .077 
R. Betancourt      R   3   2   1   0   0   1   1   0   0   0   0  .667  .750 1.000 
Nick Blackburn     R   9   4   0   0   0   0   0   1   0   0   0  .444  .444  .444 
Joe Blanton        R  13   3   2   0   0   1   0   3   0   0   0  .231  .286  .385 
Jeremy Bonderman   R  10   2   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Boof Bonser        R  11   2   0   0   0   0   0   2   0   0   0  .182  .182  .182 
Pedro Borbon       L   5   1   0   1   0   0   0   0   0   0   0  .200  .200  .600 
Joe Borowski       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Micah Bowie        L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Dallas Braden      L   9   3   0   0   0   3   0   2   0   0   0  .333  .500  .333 
Chad Bradford      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dewon Brazelton    R  14   5   2   0   0   0   0   2   0   0   0  .357  .357  .500 
Craig Breslow      L   9   1   0   0   0   2   0   0   0   1   0  .111  .273  .111 
Doug Brocail       R   3   0   0   0   0   3   1   1   0   0   0  .000  .500  .000 
Jim Brower         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Kevin Brown        R   8   2   1   0   0   1   0   2   0   0   1  .250  .300  .375 
Brian Bruney       R   6   0   0   0   0   2   0   1   0   0   2  .000  .200  .000 
Clay Buchholz      R  25  10   1   1   0   5   0   2   0   0   0  .400  .500  .520 
Mark Buehrle       L  58  19   4   0   2   1   1   5   0   2   0  .328  .339  .500 
John Burkett       R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
A.J. Burnett       R  54  17   3   0   4   2   0  10   0   0   0  .315  .339  .593 
David Bush         R  17   8   2   0   2   0   0   2   0   0   0  .471  .471  .941 
Paul Byrd          R  10   3   1   0   0   1   0   1   0   2   0  .300  .364  .400 
Trevor Cahill      R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Kiko Calero        R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Shawn Camp         R   8   3   1   0   0   1   0   1   0   0   0  .375  .444  .500 
Jesse Carlson      L   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Fausto Carmona     R  28   6   0   2   0   4   1   3   0   0   0  .214  .313  .357 
Chris Carpenter    R   7   2   1   0   0   1   0   0   0   0   0  .286  .375  .429 
D.J. Carrasco      R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Lance Carter       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brett Cecil        L   8   1   1   0   0   1   0   2   0   0   0  .125  .222  .250 
Jaime Cerda        L   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Gustavo Chacin     L  16   5   0   0   0   1   0   1   0   0   0  .313  .353  .313 
Shawn Chacon       R   8   2   0   0   1   1   0   0   0   0   0  .250  .333  .625 
Joba Chamberlain   R   8   2   0   0   0   0   0   4   0   0   0  .250  .250  .250 
Jesse Chavez       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bruce Chen         L   9   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Matt Chico         L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Randy Choate       L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Vinnie Chulk       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Roger Clemens      R  27   8   1   1   0   2   0   7   0   0   0  .296  .345  .407 
Matt Clement       R  15   3   2   0   0   2   0   6   0   0   1  .200  .278  .333 
Jesus Colome       R   8   2   0   0   0   2   0   3   0   0   0  .250  .400  .250 
Bartolo Colon      R  27   6   1   0   0   7   0   3   0   2   0  .222  .382  .259 
Roman Colon        R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Jose Contreras     R  37  12   1   0   2   6   0   2   0   0   0  .324  .419  .514 
Tim Corcoran       R   8   3   1   0   0   0   0   2   0   0   0  .375  .375  .500 
F. Cordero         R   7   3   0   0   0   2   1   2   0   0   0  .429  .556  .429 
Lance Cormier      R   8   4   0   0   1   2   0   2   0   0   0  .500  .600  .875 
Rheal Cormier      L   9   2   0   0   0   0   0   3   0   0   0  .222  .222  .222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kevin Correia      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Neal Cotts         L   9   1   1   0   0   0   0   1   1   0   0  .111  .200  .222 
Jesse Crain        R   6   2   1   0   0   0   0   1   0   1   1  .333  .286  .500 
Juan Cruz          R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Omar Daal          L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
John Danks         L  27   9   1   0   1   4   0   3   0   0   0  .333  .419  .481 
Kyle Davies        R  16   4   3   0   1   1   0   4   0   0   0  .250  .294  .625 
Doug Davis         L  13   6   1   0   1   1   0   3   0   0   0  .462  .500  .769 
Jason Davis        R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Wade Davis         R  22   5   1   0   0   4   0   4   0   0   0  .227  .346  .273 
Manny Delcarmen    R  10   1   0   0   0   3   0   5   0   0   0  .100  .308  .100 
Ryan Dempster      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ross Detwiler      L   7   0   0   0   0   2   0   3   0   0   0  .000  .222  .000 
R.A. Dickey        R  11   2   0   0   0   0   0   3   0   0   0  .182  .182  .182 
Lenny DiNardo      L   8   2   2   0   0   0   0   1   0   1   0  .250  .250  .500 
Scott Dohmann      R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Brendan Donnelly   R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Octavio Dotel      R   7   2   1   0   0   0   0   2   0   0   0  .286  .286  .429 
Felix Doubront     L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Scott Downs        L  19   8   1   1   0   3   1   3   0   0   1  .421  .478  .579 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kyle Drabek        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
J. Duchscherer     R   9   3   0   0   0   1   0   1   0   0   0  .333  .400  .333 
B. Duckworth       R   9   5   2   0   0   3   0   0   0   0   0  .556  .667  .778 
Brian Duensing     L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Zach Duke          L   4   2   2   0   0   0   0   0   0   0   0  .500  .500 1.000 
Chad Durbin        R   8   2   0   0   0   3   0   1   0   0   0  .250  .455  .250 
Scott Elarton      R   5   1   1   0   0   1   0   2   0   0   0  .200  .333  .400 
Roenis Elias       L   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Alan Embree        L  10   0   0   0   0   2   0   3   0   0   0  .000  .167  .000 
Scott Erickson     R   4   1   0   0   0   2   1   0   0   0   0  .250  .500  .250 
Kelvim Escobar     R  42  10   2   0   0   4   0   7   1   0   0  .238  .319  .286 
Shawn Estes        L   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kyle Farnsworth    R   8   1   0   0   1   2   1   5   0   0   0  .125  .300  .500 
Jeff Fassero       L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Scott Feldman      R  12   3   1   0   0   2   0   1   2   0   0  .250  .438  .333 
Gavin Floyd        R  19   5   0   0   2   2   0   3   0   0   0  .263  .333  .579 
Casey Fossum       L  31   5   0   0   0   7   0   8   0   0   0  .161  .316  .161 
Keith Foulke       R   9   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Jeff Francis       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Ryan Franklin      R  13   3   0   0   0   1   0   1   0   0   0  .231  .286  .231 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Frasor       R  13   4   0   0   0   4   0   3   1   0   1  .308  .474  .308 
Kevin Frederick    R   4   3   1   1   0   0   0   1   0   0   0  .750  .750 1.500 
Lucas French       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Brian Fuentes      L   4   1   1   0   0   0   0   0   0   0   1  .250  .200  .500 
Aaron Fultz        L   7   4   3   0   0   1   0   0   0   0   0  .571  .625 1.000 
Kason Gabbard      L   8   5   2   0   0   1   0   0   0   0   0  .625  .667  .875 
Eric Gagne         R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
A. Galarraga       R  10   2   0   0   0   1   0   2   0   0   0  .200  .273  .200 
Freddy Garcia      R  24  10   4   0   2   3   0   3   0   0   0  .417  .481  .833 
Jon Garland        R  25   7   0   0   0   0   0   4   0   0   0  .280  .280  .280 
Matt Garza         R  31   4   0   0   2   2   0   6   0   0   0  .129  .182  .323 
Chad Gaudin        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Justin Germano     R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Tom Glavine        L   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Gary Glover        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ryan Glynn         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jimmy Gobble       L   8   3   1   0   1   0   0   2   0   0   0  .375  .375  .875 
Edgar Gonzalez     R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
