Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Affeldt     L   3   1   1   0   0   2   0   0   0   1   1  .333  .500  .667 
Bronson Arroyo     R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Brian Bannister    R   5   2   1   0   0   0   0   0   0   0   1  .400  .333  .600 
Chad Billingsley   R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Jonathan Broxton   R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mark Buehrle       L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
A.J. Burnett       R   7   2   1   0   0   1   0   0   0   0   0  .286  .375  .429 
Paul Byrd          R  13   6   2   0   0   0   0   1   0   0   1  .462  .429  .615 
Tim Byrdak         L   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Trevor Cahill      R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Matt Cain          R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Fausto Carmona     R   4   1   0   0   0   1   0   0   0   0   1  .250  .333  .250 
D.J. Carrasco      R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Jose Contreras     R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Aaron Cook         R  13   3   1   0   0   1   0   2   0   1   0  .231  .286  .308 
Manuel Corpas      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Kevin Correia      R   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Kyle Davies        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Doug Davis         L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Jorge de la Rosa   L   4   3   0   0   0   1   0   0   0   0   0  .750  .800  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Scott Elbert       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jeff Francis       L   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Freddy Garcia      R  11   2   1   0   0   1   0   2   0   0   0  .182  .250  .273 
Jon Garland        R  11   4   0   0   0   2   0   2   0   0   0  .364  .462  .364 
Jimmy Gobble       L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Zack Greinke       R   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
Cole Hamels        L   6   1   0   0   1   0   0   0   0   0   0  .167  .167  .667 
Rich Harden        R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Dan Haren          R  19   6   2   1   0   2   0   3   0   0   0  .316  .381  .526 
Felix Hernandez    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
R. Hernandez       R   2   0   0   0   0   1   0   0   0   0   1  .000  .250  .000 
Derek Holland      L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
