Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Aardsma      R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Matt Albers        R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Kevin Appier       R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Jake Arrieta       R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Bronson Arroyo     R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Michael Bacsik     L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Burke Badenhop     R   6   3   2   0   0   1   0   1   0   0   0  .500  .571  .833 
Collin Balester    R   5   2   1   0   0   1   0   2   1   0   0  .400  .571  .600 
Josh Banks         R   4   1   1   0   0   2   1   1   0   0   0  .250  .500  .500 
Miguel Batista     R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Josh Beckett       R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Erik Bedard        L   6   2   0   0   2   0   0   0   0   0   0  .333  .333 1.333 
Ronald Belisario   R   4   2   1   0   0   1   0   1   0   0   0  .500  .600  .750 
Matt Belisle       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Chad Billingsley   R   5   3   0   0   0   1   0   1   0   0   0  .600  .667  .600 
Joe Blanton        R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Dave Borkowski     R   6   2   0   0   2   0   0   3   0   0   0  .333  .333 1.333 
Jonathan Broxton   R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Mark Buehrle       L  12   3   0   0   0   1   0   3   0   0   0  .250  .308  .250 
M. Bumgarner       L   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sean Burnett       L   4   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Brian Burres       L   4   1   0   0   0   0   0   1   0   0   1  .250  .200  .250 
Paul Byrd          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Matt Capps         R   4   3   2   0   1   0   0   1   0   0   0  .750  .750 2.000 
Chris Capuano      L  18   5   2   0   2   1   0   4   0   0   0  .278  .316  .722 
Fausto Carmona     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Chris Carpenter    R  11   3   0   0   0   0   0   1   0   0   0  .273  .273  .273 
Shawn Chacon       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
