Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joaquin Andujar    R   8   0   0   0   0   2   0   0   0   0   0  .000  .200  .000 
Doug Bair          R   4   0   0   0   0   3   1   2   0   0   0  .000  .429  .000 
Floyd Bannister    L   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Bill Bonham        R   7   3   0   0   0   2   0   0   0   0   0  .429  .556  .429 
Pedro Borbon       R   9   2   0   1   0   0   0   1   0   1   0  .222  .222  .444 
Ken Brett          L   3   0   0   0   0   3   0   2   0   0   0  .000  .500  .000 
Dave Campbell      R   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
John Candelaria    L  19   3   0   1   0   0   0   2   0   0   0  .158  .158  .263 
Steve Carlton      L  31   8   1   0   0   5   0   6   0   1   0  .258  .361  .290 
L. Christenson     R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Mike Cosgrove      L   3   2   1   0   0   2   0   0   1   0   0  .667  .833 1.000 
John Curtis        L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
John D'Acquisto    R   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Larry Demery       R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
John Denny         R   7   1   1   0   0   0   0   0   0   0   0  .143  .143  .286 
Jamie Easterly     L   8   3   0   0   1   0   0   2   0   0   0  .375  .375  .750 
Nino Espinosa      R   7   4   0   0   0   1   1   0   0   0   0  .571  .625  .571 
Pete Falcone       L   8   3   1   0   0   1   0   1   0   1   0  .375  .444  .500 
Rollie Fingers     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Rich Folkers       L   7   1   1   0   0   1   1   0   0   1   0  .143  .250  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ken Forsch         R   8   1   0   0   0   2   0   1   0   0   0  .125  .300  .125 
Terry Forster      L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Woodie Fryman      L  10   3   1   0   0   0   0   0   0   0   0  .300  .300  .400 
Gene Garber        R  10   4   0   0   0   0   0   3   0   0   0  .400  .400  .400 
Rich Gossage       R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Don Gullett        L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Preston Hanna      R   5   2   0   0   0   1   0   2   0   0   0  .400  .500  .400 
Burt Hooton        R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Charlie Hough      R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Tom Hume           R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Tommy John         L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Randy Jones        L  21   8   1   0   0   2   0   2   0   0   0  .381  .435  .429 
Bob Knepper        L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Kevin Kobel        L   4   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Jerry Koosman      L  12   2   0   0   0   1   0   1   0   0   0  .167  .231  .167 
Mike Krukow        R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Frank LaCorte      R   8   0   0   0   0   1   0   2   0   0   0  .000  .111  .000 
Mike LaCoss        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Dennis Lamp        R   4   3   0   0   0   1   0   0   0   0   0  .750  .800  .750 
Dan Larson         R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Lee           L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Mark Lemongello    R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Randy Lerch        L   1   0   0   0   0   3   0   0   0   0   1  .000  .600  .000 
Mickey Lolich      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mickey Mahler      L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jon Matlack        L   6   0   0   0   0   2   0   0   0   0   0  .000  .250  .000 
Rick Matula        R   3   2   0   0   0   3   2   0   0   0   0  .667  .833  .667 
Lynn McGlothen     R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Tug McGraw         L   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Larry McWilliams   L  13   4   0   0   1   1   1   1   0   0   0  .308  .357  .538 
Carl Morton        R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Paul Moskau        R  11   2   1   0   0   1   0   1   0   0   0  .182  .250  .273 
Dale Murray        R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Joe Niekro         R  14   4   2   0   0   3   0   2   0   1   0  .286  .412  .429 
Phil Niekro        R  16   2   0   0   1   2   1   1   1   0   0  .125  .263  .313 
Dickie Noles       R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Fred Norman        L  21   3   0   0   0   1   0   3   0   0   1  .143  .174  .143 
Joe Price          L   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Eric Rasmussen     R  10   3   0   0   0   0   0   0   0   0   0  .300  .300  .300 
Doug Rau           L  14   6   0   0   0   1   0   1   0   1   0  .429  .467  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ron Reed           R   2   1   0   0   0   2   1   0   0   0   0  .500  .750  .500 
Rick Reuschel      R  15   3   1   0   0   0   0   1   0   0   0  .200  .200  .267 
Jerry Reuss        L  20   8   1   0   0   0   0   3   0   1   0  .400  .400  .450 
J.R. Richard       R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Dave Roberts       L   9   2   0   0   1   0   0   2   0   0   0  .222  .222  .556 
Don Robinson       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Jim Rooker         L  14   3   1   0   0   2   0   0   0   1   0  .214  .313  .286 
Nolan Ryan         R   4   1   1   0   0   3   0   0   0   0   0  .250  .571  .500 
Joe Sambito        L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Tom Seaver         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Shirley        L   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Craig Skok         L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Eddie Solomon      R   8   4   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Mario Soto         R   3   3   3   0   0   2   0   0   0   0   0 1.000 1.000 2.000 
Don Stanhouse      R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Brent Strom        L   8   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Don Sutton         R  12   1   0   0   0   0   0   3   0   0   0  .083  .083  .083 
Kent Tekulve       R   5   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Dick Tidrow        R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Dave Tomlin        L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Underwood      L   3   2   1   0   0   0   0   1   0   0   1  .667  .500 1.000 
F. Valenzuela      L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Pete Vuckovich     R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Dan Warthen        L   4   1   0   1   0   1   0   1   0   0   0  .250  .400  .750 
Chris Welsh        L   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000
