Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hank Aguirre       L  24   5   1   0   1   0   0   1   0   0   0  .208  .208  .375 
Jack Aker          R  11   3   0   0   1   1   0   2   0   0   0  .273  .333  .545 
Stan Bahnsen       R   9   3   1   0   0   1   0   1   0   0   0  .333  .400  .444 
Dave Baldwin       R   8   1   1   0   0   0   0   1   0   1   0  .125  .125  .250 
Steve Barber       L  10   5   1   0   1   0   0   1   0   0   0  .500  .500  .900 
Bo Belinsky        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Gary Bell          R  10   2   1   0   0   0   0   2   0   0   0  .200  .200  .300 
Dennis Bennett     L  11   1   0   0   1   0   0   1   1   0   0  .091  .167  .364 
Frank Bertaina     L   6   3   1   0   1   0   0   1   0   0   0  .500  .500 1.167 
Vida Blue          L   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Dick Bosman        R   8   2   1   0   0   0   0   1   0   0   0  .250  .250  .375 
Dave Boswell       R  17   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Jim Bouton         R  11   4   0   1   0   0   0   0   0   0   0  .364  .364  .545 
Gene Brabender     R  19   2   0   0   0   0   0   3   0   0   1  .105  .100  .105 
Ken Brett          L   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
George Brunet      L  25   5   1   0   0   3   1   2   0   0   0  .200  .286  .240 
John Buzhardt      R   5   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Cisco Carlos       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Dean Chance        R  25   7   1   0   0   0   0   0   0   2   0  .280  .280  .320 
Pete Cimino        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ed Connolly        L   6   3   1   0   0   1   0   2   0   0   0  .500  .571  .667 
Casey Cox          R  12   2   0   0   0   1   0   3   0   0   0  .167  .231  .167 
Ray Culp           R   9   0   0   0   0   1   0   2   1   0   0  .000  .182  .000 
Chuck Dobson       R   5   1   1   0   0   1   0   0   1   1   0  .200  .429  .400 
Al Downing         L  21   6   1   0   0   1   0   4   0   0   0  .286  .318  .333 
Moe Drabowsky      R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Sammy Ellis        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Dick Ellsworth     L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Eddie Fisher       R   9   1   0   0   0   1   0   1   0   0   0  .111  .200  .111 
Whitey Ford        L  11   3   0   0   0   0   0   1   0   0   0  .273  .273  .273 
Fred Gladding      R   8   4   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Mudcat Grant       R  17   4   1   0   0   1   0   2   0   1   0  .235  .278  .294 
Dick Hall          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jack Hamilton      R   5   2   1   0   0   0   0   0   1   0   0  .400  .500  .600 
Steve Hamilton     L   9   4   0   0   0   1   0   0   0   0   0  .444  .500  .444 
Jim Hannan         R  16   5   0   0   0   0   0   2   0   0   0  .313  .313  .313 
Steve Hargan       R  10   2   0   0   0   2   0   2   1   0   0  .200  .385  .200 
Phil Hennigan      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Dennis Higgins     R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
John Hiller        L  14   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Horlen         R  25   4   2   0   0   0   0   3   0   0   0  .160  .160  .240 
Bruce Howard       R  10   1   0   0   0   1   0   2   0   0   0  .100  .182  .100 
Bob Humphreys      R   9   4   0   0   2   0   0   0   0   0   0  .444  .444 1.111 
Catfish Hunter     R  25   9   1   0   1   1   0   6   1   2   0  .360  .407  .520 
Tommy John         L  22   4   0   0   1   2   0   4   0   1   0  .182  .250  .318 
Jim Kaat           L  48  10   1   1   0   0   0   5   0   1   0  .208  .208  .271 
Mike Kekich        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Kilkenny      L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Ron Klimkowski     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Ron Kline          R   3   2   0   0   0   1   1   1   0   0   0  .667  .750  .667 
Steve Kline        R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
J. Klippstein      R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Darold Knowles     L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Lew Krausse        R  23   3   0   0   1   2   0   6   0   0   0  .130  .200  .261 
Frank Kreutzer     L  11   2   2   0   0   2   0   0   0   1   0  .182  .308  .364 
Jack Lamabe        R   3   2   0   0   1   1   0   0   0   0   0  .667  .750 1.667 
Bob Lee            R   5   1   0   0   0   0   0   0   0   1   0  .200  .200  .200 
Dave Leonhard      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
