Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   5   3   0   0   0   0   0   0   0   1   0  .600  .600  .600 
Kyle Abbott        L   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Paul Abbott        R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Jim Acker          R  10   2   0   0   0   0   0   2   1   0   0  .200  .273  .200 
Juan Agosto        L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Doyle Alexander    R  33   7   1   0   1   2   0   6   0   1   0  .212  .257  .333 
Gerald Alexander   R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Neil Allen         R  12   1   0   0   0   1   0   1   0   0   0  .083  .154  .083 
Wilson Alvarez     L   6   0   0   0   0   0   0   1   0   1   1  .000  .000  .000 
Allan Anderson     L  18   8   2   0   0   1   0   2   1   0   0  .444  .500  .556 
Joaquin Andujar    R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Kevin Appier       R  19   2   1   0   0   2   0   8   0   0   0  .105  .190  .158 
Keith Atherton     R  11   4   1   0   1   2   0   1   0   1   1  .364  .429  .727 
Don August         R  11   3   0   0   0   0   0   3   0   0   0  .273  .273  .273 
Steve Avery        L  10   1   0   0   0   2   0   1   0   0   0  .100  .250  .100 
Scott Bailes       L  18   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Doug Bair          R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Jeff Ballard       L  20   9   1   0   1   0   0   0   0   0   0  .450  .450  .650 
Scott Bankhead     R  19   2   0   0   0   1   0   4   2   0   1  .105  .217  .105 
Willie Banks       R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Floyd Bannister    L  34  11   1   1   0   3   0   4   1   3   1  .324  .385  .412 
Brian Barnes       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Salome Barojas     R   9   3   0   0   2   1   0   0   0   0   0  .333  .400 1.000 
Jose Bautista      R  12   6   0   0   0   1   0   4   0   0   0  .500  .538  .500 
Jim Beattie        R   9   1   1   0   0   0   0   1   0   0   0  .111  .111  .222 
Steve Bedrosian    R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Tim Belcher        R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Stan Belinda       R   5   2   0   0   1   1   0   0   0   0   0  .400  .500 1.000 
Eric Bell          L  10   3   1   0   0   1   0   0   0   0   0  .300  .364  .400 
Andy Benes         R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Juan Berenguer     R  18   1   0   0   0   2   0   9   0   1   0  .056  .150  .056 
Karl Best          R   5   1   0   0   0   0   0   2   1   0   1  .200  .286  .200 
Mike Birkbeck      R   4   1   0   1   0   0   0   1   0   0   0  .250  .250  .750 
Buddy Black        L  39   8   0   0   0   1   0   6   1   0   0  .205  .244  .205 
Bert Blyleven      R  19   2   0   0   0   1   0   3   0   0   0  .105  .150  .105 
Mike Boddicker     R  36   8   2   0   0   1   0   6   1   0   0  .222  .263  .278 
Joe Boever         R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Tom Bolton         L   8   3   1   0   0   1   0   1   0   1   0  .375  .444  .500 
Ricky Bones        R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Rich Bordi         R   7   0   0   0   0   1   0   4   0   0   0  .000  .125  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chris Bosio        R  17   2   1   0   0   2   0   2   0   0   0  .118  .211  .176 
Denis Boucher      L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Oil Can Boyd       R  12   2   0   0   1   1   0   3   0   0   0  .167  .231  .417 
Cliff Brantley     R   2   0   0   0   0   1   0   1   0   1   0  .000  .333  .000 
Kevin Brown        R  23   8   0   0   0   1   0   0   0   0   0  .348  .375  .348 
Mike Brown         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dave Burba         R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
John Burkett       R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Britt Burns        L  13   2   0   0   0   1   0   3   2   1   0  .154  .313  .154 
Todd Burns         R   8   2   0   0   0   2   0   4   0   0   0  .250  .400  .250 
Ray Burris         R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
John Butcher       R  21   5   0   0   1   2   0   2   0   0   0  .238  .304  .381 
Greg Cadaret       L   6   1   0   0   0   2   0   0   0   0   0  .167  .375  .167 
Bill Campbell      R   3   1   0   0   1   0   0   0   0   0   1  .333  .250 1.333 
Tom Candiotti      R  30   6   3   0   0   0   0   2   0   0   1  .200  .194  .300 
Steve Carlton      L   9   3   2   0   0   1   0   1   0   0   0  .333  .400  .556 
Cris Carpenter     R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Chuck Cary         L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Larry Casian       L   4   3   1   0   0   3   0   0   0   0   0  .750  .857 1.000 
Frank Castillo     R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Caudill       R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
John Cerutti       L  20   5   2   0   0   1   0   1   0   0   0  .250  .286  .350 
