Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Juan Agosto        L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Doyle Alexander    R   8   1   0   0   1   2   0   2   0   0   0  .125  .300  .500 
Bud Anderson       R   4   1   1   0   0   2   1   1   0   0   0  .250  .500  .500 
Mike Armstrong     R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Floyd Bannister    L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Dave Beard         R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Joe Beckwith       R   1   0   0   0   0   3   0   0   0   0   0  .000  .750  .000 
Juan Berenguer     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Buddy Black        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bert Blyleven      R  15   4   1   0   0   0   0   1   0   0   0  .267  .267  .333 
Mike Boddicker     R  10   3   1   0   0   0   0   0   0   0   0  .300  .300  .400 
Mark Bomback       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Oil Can Boyd       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Tom Burgmeier      L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
John Butcher       R   9   5   2   0   1   1   0   0   0   0   0  .556  .600 1.111 
Tom Candiotti      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bobby Castillo     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Bill Caudill       R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jim Clancy         R  10   4   1   0   0   1   0   2   0   0   0  .400  .455  .500 
Chris Codiroli     R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Cowley         R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Danny Darwin       R  12   5   0   0   0   0   0   1   0   0   0  .417  .417  .417 
Storm Davis        R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Ken Dixon          R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Richard Dotson     R  13   2   0   0   2   0   0   0   0   0   0  .154  .154  .615 
Dennis Eckersley   R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
J. Eichelberger    R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Roger Erickson     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Gott           R  10   3   0   0   0   0   0   0   0   0   0  .300  .300  .300 
Mark Gubicza       R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Moose Haas         R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Rick Honeycutt     L   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Charlie Hough      R  10   1   1   0   0   0   0   4   0   0   0  .100  .100  .200 
LaMarr Hoyt        R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Mark Huismann      R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Danny Jackson      L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dennis Lamp        R   7   3   0   1   0   0   0   0   0   0   0  .429  .429  .714 
Luis Leal          R  12   3   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Rick Lysander      R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Dennis Martinez    R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve McCatty      R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Joey McLaughlin    R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Paul Mirabella     L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Mike Moore         R   9   4   0   0   0   1   0   0   0   0   0  .444  .500  .444 
Jack Morris        R  11   1   0   1   0   1   0   5   0   0   0  .091  .167  .273 
Gene Nelson        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Phil Niekro        R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Dan Petry          R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Dan Quisenberry    R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Allan Ramirez      R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Dave Righetti      L   4   1   0   1   0   0   0   2   0   0   0  .250  .250  .750 
Dave Rozema        R   3   2   1   0   0   2   1   1   0   0   0  .667  .800 1.000 
Bret Saberhagen    R  13   2   0   0   1   1   0   4   0   0   0  .154  .214  .385 
Ken Schrom         R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
Tom Seaver         R  15   8   3   0   0   1   0   0   0   0   1  .533  .529  .733 
Roy Smith          R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mike Smithson      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Lary Sorensen      R   9   3   0   0   0   0   0   0   0   0   1  .333  .300  .333 
Dan Spillner       R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Bob Stanley        R   7   0   0   0   0   1   1   2   0   0   0  .000  .125  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dave Stewart       R   6   2   1   0   0   2   0   1   0   0   0  .333  .500  .500 
Sammy Stewart      R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Dave Stieb         R  12   2   0   0   1   0   0   5   0   0   0  .167  .167  .417 
Bob Stoddard       R  10   2   0   0   0   1   0   1   0   0   0  .200  .273  .200 
Rick Sutcliffe     R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Don Sutton         R  17   5   0   0   1   0   0   3   0   1   0  .294  .294  .471 
Frank Tanana       L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
John Tudor         L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Ed Vande Berg      L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Frank Viola        L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Curt Young         L   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000
