Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Santo Alcala       R   6   2   0   0   1   1   1   1   0   0   0  .333  .429  .833 
Doyle Alexander    R  11   3   0   0   0   1   0   0   0   0   0  .273  .333  .273 
Neil Allen         R  12   3   0   0   0   0   0   5   0   0   1  .250  .231  .250 
Porfi Altamirano   R   2   0   0   0   0   1   0   0   0   0   1  .000  .250  .000 
Joaquin Andujar    R  11   2   0   0   0   0   0   3   0   0   0  .182  .182  .182 
Bob Apodaca        R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Bill Atkinson      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Stan Bahnsen       R  14   4   0   2   0   3   0   6   0   0   0  .286  .412  .571 
Doug Bair          R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Floyd Bannister    L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Jim Barr           R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Joe Beckwith       R   4   3   0   0   1   1   0   0   0   0   0  .750  .800 1.500 
Steve Bedrosian    R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Juan Berenguer     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bruce Berenyi      R  14   4   0   0   0   3   0   5   0   0   0  .286  .412  .286 
Dwight Bernard     R   3   0   0   0   0   1   1   1   0   0   0  .000  .250  .000 
Jim Bibby          R  17   2   1   0   0   0   0   3   0   0   0  .118  .118  .176 
Jack Billingham    R   8   2   0   0   0   0   0   2   1   0   0  .250  .333  .250 
Doug Bird          R   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
Vida Blue          L  26  10   1   0   0   2   0   1   0   0   0  .385  .429  .423 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bert Blyleven      R  10   2   0   0   0   1   0   1   0   0   0  .200  .273  .200 
Tommy Boggs        R  19   5   0   0   0   0   0   2   0   0   0  .263  .263  .263 
Mark Bomback       R   8   1   1   0   0   0   0   0   0   0   0  .125  .125  .250 
Bill Bonham        R  11   2   1   0   0   1   0   2   0   0   0  .182  .250  .273 
Pedro Borbon       R  11   6   1   0   0   0   0   0   0   0   0  .545  .545  .636 
Larry Bradford     L   2   0   0   0   0   2   1   0   0   0   0  .000  .500  .000 
Fred Breining      R   3   1   0   0   0   3   1   0   0   0   0  .333  .667  .333 
Tony Brizzolara    R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Jackie Brown       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Warren Brusstar    R   7   1   1   0   0   0   0   0   0   0   0  .143  .143  .286 
Ray Burris         R  33  10   0   1   0   2   0   2   0   0   0  .303  .343  .364 
Marty Bystrom      R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Rick Camp          R   9   0   0   0   0   1   1   1   0   0   0  .000  .100  .000 
Bill Campbell      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
John Candelaria    L  48  14   2   0   2   4   1   5   1   0   0  .292  .358  .458 
Doug Capilla       L   9   3   0   0   0   2   0   4   0   0   0  .333  .455  .333 
Steve Carlton      L  84  15   3   0   0   4   0  23   1   0   0  .179  .225  .214 
Bobby Castillo     R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Bill Caudill       R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
L. Christenson     R  20   4   2   1   0   1   0   1   0   0   0  .200  .238  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
John Curtis        L  17   3   0   0   0   1   0   2   0   0   0  .176  .222  .176 
John D'Acquisto    R  10   0   0   0   0   1   0   4   0   0   0  .000  .091  .000 
Mark Davis         L  10   2   1   0   0   1   0   3   0   1   1  .200  .250  .300 
Ken Dayley         L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Luis DeLeon        R   5   1   0   0   0   0   0   1   0   1   0  .200  .200  .200 
Larry Demery       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
John Denny         R  11   4   0   1   0   1   0   0   1   0   0  .364  .462  .545 
Adrian Devine      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Larry Dierker      R   6   0   0   0   0   2   0   2   0   0   0  .000  .250  .000 
Tom Dixon          R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Jamie Easterly     L   8   3   0   0   0   1   0   1   0   0   0  .375  .444  .375 
Rawly Eastwick     R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
J. Eichelberger    R   9   3   0   0   0   0   0   1   0   1   0  .333  .333  .333 
Dock Ellis         R  10   5   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Nino Espinosa      R  12   3   1   0   1   0   0   2   0   0   0  .250  .250  .583 
Pete Falcone       L  34  11   2   0   0   1   1   1   0   1   2  .324  .324  .382 
Rollie Fingers     R   9   1   0   0   0   0   0   3   0   1   0  .111  .111  .111 
Ken Forsch         R  32   8   0   1   0   1   0   3   0   0   0  .250  .273  .313 
Bob Forsch         R  15   4   0   1   0   0   0   1   0   1   0  .267  .267  .400 
Terry Forster      L  20   8   0   1   0   0   0   2   0   0   0  .400  .400  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Woodie Fryman      L  13   3   0   0   1   6   0   5   0   0   0  .231  .474  .462 
Rich Gale          R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Gene Garber        R  22   3   0   0   0   0   0  12   0   0   0  .136  .136  .136 
Mike Garman        R   4   0   0   0   0   1   1   1   0   0   0  .000  .200  .000 
Bob Gibson         R   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Ed Glynn           L   3   1   0   0   0   1   0   0   0   1   0  .333  .500  .333 
Dave Goltz         R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Rich Gossage       R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Tom Griffin        R  14   3   0   0   0   1   1   1   0   0   0  .214  .267  .214 
Ross Grimsley      L  13   6   1   0   0   0   0   1   0   0   1  .462  .429  .538 
Bill Gullickson    R  19   6   1   0   0   2   0   5   0   0   1  .316  .364  .368 
Ed Halicki         R  13   1   0   0   0   1   0   1   0   0   0  .077  .143  .077 
Atlee Hammaker     L  19   6   2   0   0   0   0   1   0   0   0  .316  .316  .421 
Preston Hanna      R   4   2   0   0   0   0   0   0   0   0   1  .500  .400  .500 
A. Hargesheimer    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Greg Harris        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Andy Hassler       L   7   3   0   0   0   2   0   0   0   0   0  .429  .556  .429 
G. Hernandez       L  19   5   1   0   0   2   0   7   0   0   0  .263  .333  .316 
Al Holland         L  12   3   0   0   1   1   0   4   0   0   0  .250  .308  .500 
Ken Holtzman       L   9   2   1   0   1   1   0   1   0   0   0  .222  .300  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Burt Hooton        R  38   6   0   0   0   4   0   7   0   0   1  .158  .233  .158 
Charlie Hough      R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Steve Howe         L   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 
Al Hrabosky        L   7   1   0   1   0   0   0   1   0   0   0  .143  .143  .429 
Tom Hume           R  15   5   2   0   0   1   1   1   0   0   0  .333  .375  .467 
Grant Jackson      L  12   2   2   0   0   1   0   2   0   0   0  .167  .231  .333 
Roy Lee Jackson    R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Fergie Jenkins     R   6   1   1   0   0   0   0   1   0   0   1  .167  .143  .333 
Randy Jones        L  20   4   2   0   0   1   0   2   0   0   0  .200  .238  .300 
Jim Kaat           L  20   6   1   0   0   0   0   2   1   0   0  .300  .333  .350 
Bruce Kison        R   9   3   0   1   0   1   0   1   0   0   0  .333  .400  .556 
Bob Knepper        L  25   6   2   0   1   0   0   7   1   0   0  .240  .269  .440 
Kevin Kobel        L  10   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Jerry Koosman      L  10   3   1   1   1   1   0   1   0   0   0  .300  .364  .900 
Mike Krukow        R  32   7   2   1   0   3   2   8   1   0   0  .219  .306  .344 
Frank LaCorte      R   2   0   0   0   0   2   1   0   0   0   0  .000  .500  .000 
Mike LaCoss        R  10   4   0   1   0   0   0   1   0   0   0  .400  .400  .600 
Dennis Lamp        R  19   5   0   0   0   1   0   0   0   0   0  .263  .300  .263 
Dave LaPoint       L  17   6   0   0   0   0   0   2   0   0   0  .353  .353  .353 
Dan Larson         R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gary Lavelle       L  15   2   1   0   0   1   0   4   0   1   1  .133  .176  .200 
Charlie Lea        R  18   0   0   0   0   2   0   6   0   0   0  .000  .100  .000 
Bill Lee           L  26   6   1   0   0   1   0   2   0   0   0  .231  .259  .269 
Craig Lefferts     L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
C. Leibrandt       L  15   5   2   0   0   1   0   0   0   0   0  .333  .375  .467 
Mark Lemongello    R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Randy Lerch        L  39  11   1   0   0   3   0   3   0   1   1  .282  .326  .308 
John Littlefield   R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Skip Lockwood      R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Tim Lollar         L  16   3   0   0   0   2   0   1   0   0   0  .188  .278  .188 
Jim Lonborg        R   9   3   0   0   0   2   0   2   0   0   0  .333  .455  .333 
Gary Lucas         L  12   2   0   0   0   0   0   6   0   0   0  .167  .167  .167 
Sparky Lyle        L  10   2   2   0   0   0   0   1   0   1   0  .200  .200  .400 
Ed Lynch           R  11   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mickey Mahler      L  18   4   1   1   0   1   0   6   0   0   0  .222  .263  .389 
Rick Mahler        R  19   4   1   0   0   0   0   2   0   0   0  .211  .211  .263 
John Martin        L   7   4   1   0   0   1   0   0   0   0   0  .571  .625  .714 
Randy Martz        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Rick Matula        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Rudy May           L  13   1   0   0   0   0   0   5   1   0   0  .077  .143  .077 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Will McEnaney      L   5   2   0   0   0   1   0   3   0   0   0  .400  .500  .400 
Lynn McGlothen     R  19   5   1   0   0   1   0   3   0   0   0  .263  .300  .316 
Tug McGraw         L  22   1   0   0   0   1   0   5   0   0   0  .045  .087  .045 
Bo McLaughlin      R   5   2   0   0   0   0   0   1   1   0   0  .400  .500  .400 
Craig McMurtry     R   5   0   0   0   0   1   0   0   0   0   1  .000  .143  .000 
Larry McWilliams   L  37  11   3   1   0   1   0   3   1   0   1  .297  .325  .432 
Dyar Miller        R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Greg Minton        R  16   2   1   0   0   1   0   1   0   0   0  .125  .176  .188 
Randy Moffitt      R   6   3   0   0   0   1   1   1   0   0   0  .500  .571  .500 
Sid Monge          L  10   2   1   0   0   0   0   3   0   0   0  .200  .200  .300 
John Montefusco    R  15   4   0   0   0   0   0   2   0   0   0  .267  .267  .267 
Donnie Moore       R   8   3   0   0   0   1   1   1   0   0   0  .375  .444  .375 
Carl Morton        R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Paul Moskau        R  17   7   1   1   0   1   0   1   0   0   0  .412  .444  .588 
Steve Mura         R  12   4   1   0   0   0   0   0   0   0   0  .333  .333  .417 
Dale Murray        R   9   6   0   0   1   2   0   1   0   0   0  .667  .727 1.000 
Phil Nastu         L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Tom Niedenfuer     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Niekro         R  34   6   3   1   0   1   0   5   0   0   0  .176  .200  .324 
Phil Niekro        R  30   5   1   0   0   1   1   2   0   0   0  .167  .194  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Randy Niemann      L   2   1   0   0   0   0   0   0   0   0   2  .500  .250  .500 
Gary Nolan         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Dickie Noles       R  16   5   2   0   0   0   0   0   0   0   0  .313  .313  .438 
Fred Norman        L  17   4   1   0   0   1   0   5   0   0   0  .235  .278  .294 
Jesse Orosco       L   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Bob Owchinko       L  15   7   2   0   0   5   0   1   0   0   0  .467  .600  .600 
Rick Ownbey        R   4   3   1   0   1   0   0   0   0   0   0  .750  .750 1.750 
John Pacella       R   2   0   0   0   0   3   0   0   0   0   0  .000  .600  .000 
David Palmer       R  11   1   1   0   0   2   0   4   0   0   0  .091  .231  .182 
Frank Pastore      R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Alejandro Pena     R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Pascual Perez      R  13   1   0   0   0   0   0   1   0   0   0  .077  .077  .077 
Gaylord Perry      R  17   9   2   1   1   0   0   1   1   0   1  .529  .526  .941 
Ted Power          R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Joe Price          L  11   4   3   0   0   1   0   4   0   0   0  .364  .417  .636 
