Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  14   5   1   0   0   0   0   0   0   1   1  .357  .333  .429 
Paul Abbott        R  18   4   1   0   0   1   0   1   0   0   0  .222  .263  .278 
Juan Acevedo       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Jim Acker          R   3   0   0   0   0   0   0   0   0   1   1  .000  .000  .000 
Terry Adams        R   6   1   0   0   0   2   1   1   0   0   0  .167  .375  .167 
Rick Aguilera      R  12   3   0   0   1   0   0   3   0   0   0  .250  .250  .500 
Scott Aldred       L   6   4   0   0   1   0   0   0   0   0   0  .667  .667 1.167 
Wilson Alvarez     L  21   5   0   0   0   5   0   1   0   0   0  .238  .385  .238 
Allan Anderson     L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Brian Anderson     L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Matt Anderson      R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Kevin Appier       R  27  11   4   1   1   2   0   1   0   0   0  .407  .448  .741 
Luis Aquino        R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Rolando Arrojo     R  14   5   2   0   1   2   0   3   0   0   0  .357  .438  .714 
Andy Ashby         R  20   3   1   0   0   0   0   4   0   0   1  .150  .143  .200 
Paul Assenmacher   L   4   3   2   0   1   1   1   0   0   0   0  .750  .800 2.000 
Pedro Astacio      R  20   5   1   0   0   3   0   0   0   0   0  .250  .348  .300 
Steve Avery        L  29   8   2   0   1   1   0   5   0   0   0  .276  .300  .448 
Manny Aybar        R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Roger Bailey       R   6   2   2   0   0   1   0   0   0   0   0  .333  .429  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
James Baldwin      R  18   6   1   0   0   2   0   3   0   0   0  .333  .400  .389 
Willie Banks       R   6   2   0   0   0   4   0   1   0   0   0  .333  .600  .333 
Miguel Batista     R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Jose Bautista      R  10   6   2   0   2   2   1   0   0   0   0  .600  .667 1.400 
Rod Beck           R   9   4   0   0   0   1   0   0   0   0   0  .444  .500  .444 
Steve Bedrosian    R   3   1   0   0   1   0   0   0   0   1   0  .333  .333 1.333 
Matt Beech         L   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Tim Belcher        R  11   0   0   0   0   2   0   1   0   0   0  .000  .154  .000 
Alan Benes         R   8   3   0   0   1   0   0   1   0   0   0  .375  .375  .750 
Andy Benes         R  13   2   1   0   1   0   0   2   0   0   0  .154  .154  .462 
Joaquin Benoit     R   2   1   1   0   0   3   0   0   0   0   0  .500  .800 1.000 
Jason Bere         R   5   3   0   0   0   1   0   1   0   0   1  .600  .571  .600 
Sean Bergman       R   7   4   0   0   1   1   0   1   0   0   0  .571  .625 1.000 
Mike Bielecki      R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Nick Bierbrodt     L   4   2   2   0   0   0   0   1   0   0   0  .500  .500 1.000 
Willie Blair       R  16   3   1   0   0   4   0   3   0   0   0  .188  .350  .250 
Doug Bochtler      R   4   0   0   0   0   2   0   0   0   0   1  .000  .286  .000 
Mike Boddicker     R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Brian Bohanon      L  11   5   0   0   1   3   0   3   0   0   0  .455  .571  .727 
Rod Bolton         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Bolton         L   6   2   0   0   1   2   0   1   0   0   0  .333  .500  .833 
Ricky Bones        R   7   4   0   0   0   2   0   0   0   0   0  .571  .667  .571 
Pedro Borbon       L   6   0   0   0   0   0   0   0   1   1   0  .000  .143  .000 
Dave Borkowski     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Toby Borland       R   5   0   0   0   0   1   1   0   0   0   0  .000  .167  .000 
Chris Bosio        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ricky Bottalico    R  12   2   1   0   0   0   0   4   0   0   0  .167  .167  .250 
Kent Bottenfield   R  10   2   0   0   1   0   0   0   1   0   0  .200  .273  .500 
Chad Bradford      R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Jeff Brantley      R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jamie Brewington   R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Doug Brocail       R  10   3   0   1   0   0   0   0   0   0   0  .300  .300  .500 
