Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Alburquerque    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jose Alvarez       L   4   3   0   1   0   1   0   0   0   0   1  .750  .667 1.250 
Chris Archer       R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Anthony Bass       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Chad Bettis        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Clay Buchholz      R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Mark Buehrle       L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
M. Bumgarner       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Chris Capuano      L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Carlos Carrasco    R   7   0   0   0   0   1   0   3   0   0   0  .000  .125  .000 
Bruce Chen         L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Wei-Yin Chen       L   6   2   2   0   0   1   0   2   0   0   0  .333  .429  .667 
Louis Coleman      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Alex Colome        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
John Danks         L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Wade Davis         R   8   2   1   0   0   0   0   5   0   0   0  .250  .250  .375 
Samuel Deduno      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Nathan Eovaldi     R   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Scott Feldman      R   7   3   0   0   1   0   0   1   0   0   0  .429  .429  .857 
Josh Fields        R   4   0   0   0   0   1   0   4   0   0   0  .000  .200  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Michael Fiers      R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Yovani Gallardo    R  11   4   0   0   0   1   0   2   0   0   0  .364  .417  .364 
Chi Chi Gonzalez   R   9   3   0   0   0   1   0   2   0   0   0  .333  .400  .333 
Miguel Gonzalez    R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jeremy Guthrie     R   9   3   2   0   0   1   0   1   0   0   0  .333  .400  .556 
J.A. Happ          L  10   7   0   0   1   1   0   0   0   0   0  .700  .727 1.000 
Felix Hernandez    R  14   4   0   0   2   0   0   2   0   0   0  .286  .286  .714 
Kelvin Herrera     R   5   0   0   0   0   1   0   2   0   1   0  .000  .167  .000 
Greg Holland       R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
TJ House           L   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Phil Hughes        R   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
Ubaldo Jimenez     R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Nathan Karns       R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Scott Kazmir       L   6   2   0   0   2   1   0   1   0   0   0  .333  .429 1.333 
Keone Kela         R   7   2   2   0   0   0   0   1   0   0   0  .286  .286  .571 
Ian Kennedy        R   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Dallas Keuchel     L  12   5   0   0   0   0   0   1   0   0   0  .417  .417  .417 
Corey Kluber       R   9   2   1   0   1   0   0   1   0   0   0  .222  .222  .667 
Jon Lester         L   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Colby Lewis        R  10   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nick Martinez      R   7   1   1   0   0   1   0   4   0   0   0  .143  .250  .286 
Justin Masterson   R   6   1   0   1   0   0   0   4   0   0   0  .167  .167  .500 
Trevor May         R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Jake McGee         L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Collin McHugh      R   9   5   2   0   0   1   0   3   0   0   0  .556  .600  .778 
Wade Miley         L   8   3   0   1   0   1   0   1   0   0   0  .375  .444  .625 
Franklin Morales   L   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Juan Nicasio       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Vidal Nuno         L   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Martin Perez       L   6   1   0   1   0   0   0   2   0   0   0  .167  .167  .500 
Glen Perkins       L   6   1   0   0   0   0   0   4   0   0   0  .167  .167  .167 
Rick Porcello      R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
David Price        L  12   3   1   0   0   0   0   3   0   0   0  .250  .250  .333 
Chad Qualls        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Erasmo Ramirez     R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Cesar Ramos        L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Evan Reed          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Garrett Richards   R   7   0   0   0   0   1   0   3   0   0   0  .000  .125  .000 
CC Sabathia        L   8   1   0   0   0   0   0   3   0   0   0  .125  .125  .125 
Fernando Salas     R   6   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Danny Salazar      R  13   2   0   0   0   1   0   4   0   0   0  .154  .214  .154 
Jeff Samardzija    R  10   4   0   0   0   0   0   3   0   0   0  .400  .400  .400 
Anibal Sanchez     R  11   2   1   0   0   0   0   4   0   0   0  .182  .182  .273 
Hector Santiago    L   6   1   0   0   1   1   0   1   0   0   0  .167  .286  .667 
Max Scherzer       R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
