Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Vic Albury         L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jack Billingham    R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Vida Blue          L  16   4   2   0   1   1   0   3   0   0   0  .250  .294  .563 
Steve Busby        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Caldwell      L   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
John Candelaria    L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jim Crawford       L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Mike Cuellar       L  10   3   1   0   1   1   0   1   0   0   0  .300  .364  .700 
Don DeMola         R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Al Downing         L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pete Falcone       L   7   2   0   0   0   2   0   0   0   0   0  .286  .444  .286 
Eddie Fisher       R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Terry Forster      L   7   2   0   0   0   0   0   1   0   0   1  .286  .250  .286 
Woodie Fryman      L   2   1   0   0   0   2   0   1   0   0   0  .500  .750  .500 
Wayne Garland      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Tom Griffin        R   3   1   0   0   0   0   0   2   0   1   0  .333  .333  .333 
Ross Grimsley      L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Don Gullett        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Larry Gura         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Andy Hassler       L   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ken Holtzman       L  23   1   1   0   0   0   0   2   0   0   0  .043  .043  .087 
Jim Kaat           L   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Gary Lavelle       L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bill Lee           L  18   5   1   0   1   0   0   3   0   0   0  .278  .278  .500 
Paul Lindblad      L   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Skip Lockwood      R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Rudy May           L   6   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Lindy McDaniel     R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Sam McDowell       L   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Dave McNally       L  12   2   0   0   1   0   0   1   0   0   0  .167  .167  .417 
Doc Medich         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jim Merritt        L   6   6   1   0   2   0   0   0   0   0   0 1.000 1.000 2.167 
Roger Moret        L   4   1   0   0   1   1   0   1   0   0   0  .250  .400 1.000 
Fred Norman        L   3   0   0   0   0   3   0   1   0   0   0  .000  .500  .000 
Blue Moon Odom     R   7   3   2   0   0   0   0   2   0   0   0  .429  .429  .714 
Jim Palmer         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Fritz Peterson     L  12   2   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Horacio Pina       R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Dick Pole          R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Doug Rau           L   7   1   1   0   0   1   0   0   0   0   0  .143  .250  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jerry Reuss        L   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Dave Roberts       L  10   5   0   0   1   1   0   1   0   0   0  .500  .545  .800 
Nolan Ryan         R   6   0   0   0   0   2   0   6   0   0   0  .000  .250  .000 
Ray Sadecki        L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Tom Seaver         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Paul Splittorff    L   3   2   1   0   0   2   0   1   0   0   0  .667  .800 1.000 
Brent Strom        L   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
Frank Tanana       L   6   2   1   0   0   1   0   3   0   0   0  .333  .429  .500 
Tom Underwood      L   4   2   0   0   1   1   0   0   0   1   0  .500  .600 1.250 
Dan Warthen        L   4   0   0   0   0   2   0   3   0   0   0  .000  .333  .000 
Wilbur Wood        L  11   4   0   0   0   0   0   3   0   0   0  .364  .364  .364 
Clyde Wright       L  15   1   0   0   0   0   0   2   0   0   0  .067  .067  .067 
Geoff Zahn         L   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000
