Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Acker          R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Rick Aguilera      R   2   0   0   0   0   1   0   1   1   0   0  .000  .500  .000 
Darrel Akerfelds   R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Doyle Alexander    R  28   7   1   0   1   1   0   2   0   0   1  .250  .267  .393 
Neil Allen         R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Allan Anderson     L   7   2   0   0   0   2   0   1   1   0   0  .286  .500  .286 
Joaquin Andujar    R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Kevin Appier       R   5   0   0   0   0   2   0   1   0   0   0  .000  .286  .000 
Luis Aquino        R  12   1   0   0   1   0   0   1   0   0   0  .083  .083  .333 
Keith Atherton     R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Don August         R  10   1   1   0   0   0   0   0   0   0   0  .100  .100  .200 
Scott Bailes       L   5   3   0   0   2   2   0   1   0   0   0  .600  .714 1.800 
Scott Bankhead     R  13   5   1   1   0   3   1   4   0   0   1  .385  .471  .615 
Floyd Bannister    L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jim Beattie        R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Juan Berenguer     R  13   4   0   0   1   1   0   2   0   0   1  .308  .333  .538 
Mike Birkbeck      R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bert Blyleven      R  31   7   1   0   1   6   0   3   1   0   0  .226  .368  .355 
Mike Boddicker     R  12   4   1   0   1   2   0   0   0   0   1  .333  .400  .667 
Tom Bolton         L   4   1   0   0   0   1   0   0   1   0   0  .250  .500  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rich Bordi         R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Chris Bosio        R  20   3   0   0   0   0   0   2   0   0   0  .150  .150  .150 
Oil Can Boyd       R  21   5   1   0   1   0   0   4   0   0   0  .238  .238  .429 
Kevin Brown        R  10   2   1   0   0   0   0   1   0   0   0  .200  .200  .300 
DeWayne Buice      R   5   2   0   0   0   0   0   3   0   0   0  .400  .400  .400 
Todd Burns         R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Ray Burris         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
John Butcher       R  15   6   0   0   2   0   0   2   0   0   0  .400  .400  .800 
Greg Cadaret       L   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
John Candelaria    L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tom Candiotti      R  30   8   0   0   0   1   0   3   1   0   0  .267  .313  .267 
John Cerutti       L   9   3   1   0   0   2   0   1   0   0   0  .333  .455  .444 
Jim Clancy         R  30  10   1   0   0   0   0   5   0   0   1  .333  .323  .367 
Roger Clemens      R  30  10   4   0   0   4   0   5   0   0   0  .333  .412  .467 
Pat Clements       L   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Stew Cliburn       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jaime Cocanower    R   5   1   0   0   0   0   0   0   1   0   0  .200  .333  .200 
Chris Codiroli     R   6   3   1   0   2   0   0   1   0   0   0  .500  .500 1.667 
Ed Correa          R   4   0   0   0   0   0   0   0   1   0   0  .000  .200  .000 
Joe Cowley         R   7   1   0   0   0   2   0   2   0   0   0  .143  .333  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Crawford     R   6   1   0   0   0   1   1   0   0   0   0  .167  .286  .167 
Chuck Crim         R  11   4   1   0   0   0   0   1   0   0   0  .364  .364  .455 
Danny Darwin       R  10   2   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Storm Davis        R  12   1   0   0   0   0   0   3   0   0   0  .083  .083  .083 
Ron Davis          R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Bill Dawley        R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Jose DeLeon        R  11   4   0   0   1   1   0   0   0   0   0  .364  .417  .636 
John Dopson        R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Richard Dotson     R  19   6   2   0   0   1   0   2   0   0   0  .316  .350  .421 
Dennis Eckersley   R   6   2   1   0   1   0   0   0   0   0   0  .333  .333 1.000 
Mark Eichhorn      R  11   6   2   0   0   0   0   1   0   0   0  .545  .545  .727 
Dave Eiland        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Farr         R  11   6   3   0   1   1   0   2   0   0   0  .545  .583 1.091 
John Farrell       R  17   3   1   0   0   3   1   4   1   0   1  .176  .318  .235 
Tom Filer          R   7   2   0   0   0   2   2   1   0   0   0  .286  .444  .286 
Pete Filson        L   4   1   1   0   0   1   0   0   0   0   0  .250  .400  .500 
Chuck Finley       L  13   4   1   0   0   0   0   2   0   0   0  .308  .308  .385 
Steve Fireovid     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Brian Fisher       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Willie Fraser      R  15   3   0   0   2   1   0   3   0   0   0  .200  .250  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rich Gale          R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Wes Gardner        R  17   2   0   0   0   0   0   3   0   0   0  .118  .118  .118 
Paul Gibson        L   8   0   0   0   0   1   0   3   0   0   0  .000  .111  .000 
Jerry Gleaton      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom Gordon         R   6   3   0   0   0   1   1   0   0   0   0  .500  .571  .500 
Joe Grahe          R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Cecilio Guante     R   6   3   0   0   0   1   1   0   0   0   0  .500  .571  .500 
Mark Gubicza       R  40   8   1   0   1   2   1   8   1   0   0  .200  .256  .300 
Lee Guetterman     L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jose Guzman        R  16   2   0   0   1   1   0   3   0   0   0  .125  .176  .313 
Moose Haas         R  10   5   1   0   1   0   0   1   0   0   0  .500  .500  .900 
Erik Hanson        R  14   3   1   0   0   1   0   4   0   0   0  .214  .267  .286 
Pete Harnisch      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Greg Harris        R  12   3   2   0   0   0   0   2   0   0   1  .250  .231  .417 
Andy Hawkins       R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Tom Henke          R  12   1   0   0   0   1   0   5   0   0   0  .083  .154  .083 
G. Hernandez       L   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Teddy Higuera      L  10   2   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Brian Holman       R  11   5   0   0   0   1   0   0   0   0   0  .455  .500  .455 
Rick Honeycutt     L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ricky Horton       L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Charlie Hough      R  30   5   0   0   1   1   0   8   1   0   1  .167  .212  .267 
Jay Howell         R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Charles Hudson     R   9   2   0   0   0   0   0   2   0   0   1  .222  .200  .222 
Bruce Hurst        L  11   4   0   0   1   2   0   3   1   0   0  .364  .500  .636 
Michael Jackson    R   6   1   0   0   1   0   0   0   0   0   1  .167  .143  .667 
Tommy John         L  13   3   0   0   2   3   0   1   0   0   0  .231  .375  .692 
Dave Johnson       R  11   3   1   0   0   0   0   1   0   0   0  .273  .273  .364 
Joe Johnson        R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Doug Jones         R  10   2   0   0   0   1   1   1   0   0   0  .200  .273  .200 
Paul Kilgus        L  10   6   0   0   2   1   0   0   0   0   0  .600  .636 1.200 
Eric King          R  24   5   0   0   1   2   0   5   0   0   0  .208  .269  .333 
Bruce Kison        R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Mark Knudson       R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Dennis Lamp        R  11   7   2   1   0   0   0   1   0   0   0  .636  .636 1.000 
Mark Langston      L  13   2   0   0   0   2   0   6   1   0   0  .154  .313  .154 
Dave LaPoint       L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tim Leary          R   7   2   0   0   0   1   0   3   1   0   0  .286  .444  .286 
Dave Leiper        L   5   1   0   0   1   0   0   4   0   0   0  .200  .200  .800 
Mark Leiter        R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dennis Leonard     R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Bill Long          R  13   5   1   0   2   2   0   2   0   0   0  .385  .467  .923 
Mike Loynd         R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Gary Lucas         L   5   4   0   0   0   0   0   0   0   0   0  .800  .800  .800 
Kirk McCaskill     R  28   7   1   0   3   3   0   5   0   0   1  .250  .313  .607 
Bob McClure        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Lance McCullers    R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Ben McDonald       R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Jack McDowell      R  14   3   2   0   0   0   0   2   0   0   0  .214  .214  .357 
Bob Milacki        R   8   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Greg Minton        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
John Mitchell      R   4   2   0   0   1   1   0   1   0   0   0  .500  .600 1.250 
Dale Mohorcic      R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jeff Montgomery    R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Donnie Moore       R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Mike Moore         R  43   9   0   0   2   4   0  11   0   0   0  .209  .277  .349 
Mike Morgan        R  19   6   0   0   0   1   0   4   0   0   0  .316  .350  .316 
Jack Morris        R  36  11   2   0   3   1   0   6   0   0   0  .306  .324  .611 
Jeff Musselman     L   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
Jaime Navarro      R   8   5   2   0   0   0   0   0   0   0   0  .625  .625  .875 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gene Nelson        R  11   3   1   0   0   1   0   0   0   0   0  .273  .333  .364 
Phil Niekro        R   9   1   0   0   1   0   0   0   0   0   0  .111  .111  .444 
Scott Nielsen      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Al Nipper          R  15   1   0   0   0   2   0   1   0   0   0  .067  .176  .067 
Ed Nunez           R   6   3   2   0   0   0   0   1   0   0   0  .500  .500  .833 
Randy O'Neal       R  10   2   1   0   1   0   0   2   0   0   0  .200  .200  .600 
Steve Ontiveros    R   7   3   1   0   1   1   1   0   0   0   0  .429  .500 1.000 
Melido Perez       R  15   6   1   0   0   2   0   1   0   0   0  .400  .471  .467 
Dan Petry          R  18   4   0   0   1   1   0   1   0   0   0  .222  .263  .389 
Eric Plunk         R  15   5   2   0   2   1   0   3   0   0   1  .333  .353  .867 
Mark Portugal      R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Dennis Powell      L   4   2   2   0   0   0   0   0   0   0   0  .500  .500 1.000 
Dan Quisenberry    R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Shane Rawley       L   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Jeff Reardon       R   9   3   0   0   1   1   0   2   0   0   1  .333  .364  .667 
Jerry Reed         R   6   3   1   0   1   0   0   0   0   0   0  .500  .500 1.167 
Jerry Reuss        L   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Rick Rhoden        R  11   1   0   0   0   1   0   2   0   0   0  .091  .167  .091 
Dave Righetti      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jose Rijo          R  11   3   1   0   2   3   0   4   0   0   0  .273  .429  .909 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeff Robinson      R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jose Roman         R   5   2   1   0   1   2   0   1   0   0   0  .400  .571 1.200 
Ron Romanick       R  12   6   2   0   1   0   0   0   0   0   0  .500  .500  .917 
Dave Rozema        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Vern Ruhle         R   7   3   0   0   1   0   0   1   0   0   0  .429  .429  .857 
Jeff Russell       R   5   2   0   0   1   0   0   0   1   0   0  .400  .500 1.000 
Nolan Ryan         R  15   7   2   0   2   2   1   3   1   0   0  .467  .556 1.000 
Bret Saberhagen    R  38   7   0   0   1   1   0   7   0   0   0  .184  .205  .263 
Scott Sanderson    R   7   3   0   1   0   1   0   0   0   0   0  .429  .500  .714 
Calvin Schiraldi   R   4   2   1   0   1   0   0   1   0   0   0  .500  .500 1.500 
Mike Schooler      R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Ken Schrom         R  11   4   0   0   0   2   0   0   0   0   0  .364  .462  .364 
Don Schulze        R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Mike Schwabe       R   7   4   3   0   0   0   0   0   0   0   0  .571  .571 1.000 
Rod Scurry         L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Tom Seaver         R  14   5   1   0   1   0   0   4   0   0   0  .357  .357  .643 
Jeff Sellers       R  17   7   3   0   1   2   0   1   0   0   0  .412  .474  .765 
Bob Shirley        L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Jim Slaton         R  11   3   0   0   1   0   0   0   0   0   0  .273  .273  .545 
Roy Smith          R   8   3   0   0   0   1   0   1   0   0   1  .375  .400  .375 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lee Smith          R   5   1   0   0   0   1   0   4   0   0   0  .200  .333  .200 
Mike Smithson      R  19   8   1   0   2   3   0   2   1   0   0  .421  .522  .789 
Bob Stanley        R  13   3   1   0   0   1   0   3   0   0   0  .231  .286  .308 
Dave Stewart       R  31  12   2   0   1   4   0   6   0   0   0  .387  .457  .548 
Dave Stieb         R  23   5   1   0   0   3   2   4   0   0   0  .217  .308  .261 
Todd Stottlemyre   R  12   5   0   0   2   0   0   0   0   0   0  .417  .417  .917 
Les Straker        R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Don Sutton         R  25   7   1   0   0   0   0   3   0   0   0  .280  .280  .320 
Bill Swift         R   9   4   1   0   0   0   0   0   0   0   0  .444  .444  .556 
Greg Swindell      L  11   3   0   0   0   0   0   2   0   0   0  .273  .273  .273 
Frank Tanana       L   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Kevin Tapani       R   2   1   0   0   1   1   1   0   0   0   1  .500  .500 2.000 
Walt Terrell       R  19   2   0   0   0   2   0   2   0   0   0  .105  .190  .105 
Bob Tewksbury      R   9   2   0   0   1   0   0   1   0   0   0  .222  .222  .556 
Bobby Thigpen      R   6   1   1   0   0   1   0   0   0   0   0  .167  .286  .333 
Roy Thomas         R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Mark Thurmond      L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Freddie Toliver    R   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Mike Trujillo      R   5   2   0   0   1   3   0   0   0   0   0  .400  .625 1.000 
Efrain Valdez      L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sergio Valdez      R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Ed Vande Berg      L   6   2   0   0   0   0   0   1   0   0   1  .333  .286  .333 
Frank Viola        L  11   3   0   0   0   1   0   1   1   0   0  .273  .385  .273 
Pete Vuckovich     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mike Walker        R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
