Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ernie Broglio      R   6   3   0   0   1   2   0   1   0   1   0  .500  .625 1.000 
Bob Duliba         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Don Elston         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Roy Face           R   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Eddie Fisher       R   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
Bill Henry         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Vern Law           R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Don McMahon        R   7   1   0   0   0   0   0   1   0   1   0  .143  .143  .143 
Stu Miller         R   4   1   0   1   0   0   0   1   0   0   0  .250  .250  .750 
Jack Sanford       R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000
