Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Anderson       R  11   2   0   0   0   1   0   4   0   0   0  .182  .250  .182 
Dennis Bennett     L   8   2   1   0   0   1   0   1   0   0   0  .250  .333  .375 
Bobby Bolin        R   4   1   1   0   0   0   0   1   1   0   0  .250  .400  .500 
Ernie Broglio      R   3   0   0   0   0   1   1   1   0   0   0  .000  .250  .000 
Bob Buhl           R  12   2   0   0   0   0   0   5   0   0   0  .167  .167  .167 
Lew Burdette       R  10   3   0   1   0   0   0   0   0   0   0  .300  .300  .500 
John Buzhardt      R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Don Cardwell       R  12   2   0   0   0   0   0   4   0   0   0  .167  .167  .167 
Bob Duliba         R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Dick Ellsworth     L  20   6   1   0   2   3   0   1   0   0   0  .300  .391  .650 
Don Elston         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mark Freeman       R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Bob Friend         R   9   2   0   0   0   0   0   4   0   0   0  .222  .222  .222 
Joe Gibbon         L  29   8   0   0   1   0   0   5   0   0   0  .276  .276  .379 
Ruben Gomez        R   3   2   0   0   1   1   0   0   0   0   0  .667  .750 1.667 
Dallas Green       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Harvey Haddix      L   6   2   0   0   0   0   0   3   0   0   0  .333  .333  .333 
Bob Hendley        L  16   1   0   0   0   1   0   4   0   0   0  .063  .118  .063 
Bill Henry         L   7   3   0   0   2   0   0   2   0   0   0  .429  .429 1.286 
Glen Hobbie        R   6   1   0   0   0   3   0   0   0   0   0  .167  .444  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jay Hook           R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Al Jackson         L   6   0   0   0   0   0   0   1   0   1   1  .000  .000  .000 
Ron Kline          R   4   3   1   0   1   0   0   0   0   0   0  .750  .750 1.750 
Cal Koonce         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Sandy Koufax       L  10   0   0   0   0   1   0   2   0   0   0  .000  .091  .000 
Vern Law           R  13   3   1   0   1   0   0   4   0   0   0  .231  .231  .538 
Al McBean          R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Mike McCormick     L  15   4   0   0   0   3   2   7   1   0   0  .267  .421  .267 
Lindy McDaniel     R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Don McMahon        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Bob Miller         R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Don Nottebart      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Joe Nuxhall        L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Billy O'Dell       L  13   4   0   0   1   0   0   4   0   0   0  .308  .308  .538 
Jim O'Toole        L  18   3   0   0   0   1   0   5   0   0   0  .167  .211  .167 
Taylor Phillips    L   3   1   0   0   0   0   0   0   1   0   0  .333  .500  .333 
Johnny Podres      L   3   0   0   0   0   1   1   1   0   0   0  .000  .250  .000 
Bob Purkey         R  10   3   0   0   1   0   0   2   0   0   0  .300  .300  .600 
Robin Roberts      R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
H. Robinson        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ray Sadecki        L  12   2   0   0   2   2   0   4   0   0   0  .167  .286  .667 
Bobby Shantz       L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Chris Short        L  12   1   0   0   0   1   0   0   1   0   0  .083  .214  .083 
Curt Simmons       L   9   2   0   0   0   0   0   0   0   0   1  .222  .200  .222 
Bill Smith         L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Warren Spahn       L  24   7   1   0   2   1   0   1   0   0   0  .292  .320  .583 
Carl Willey        R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Red Witt           R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Hal Woodeshick     L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500
