Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joaquin Andujar    R   8   1   1   0   0   0   0   3   0   1   0  .125  .125  .250 
Tom Browning       L   7   1   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Rick Camp          R   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Marty Clary        R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
David Cone         R   5   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Danny Cox          R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Ron Darling        R   5   2   0   0   0   0   0   1   0   1   0  .400  .400  .400 
Mark Davis         L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jose DeLeon        R   4   0   0   0   0   0   0   4   0   1   0  .000  .000  .000 
Sid Fernandez      L   6   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Brian Fisher       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dwight Gooden      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kevin Gross        R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Atlee Hammaker     L   9   3   1   0   0   0   0   2   0   1   0  .333  .333  .444 
Orel Hershiser     R   6   1   0   0   0   0   0   2   0   2   0  .167  .167  .167 
Rick Honeycutt     L  11   1   0   0   0   0   0   5   0   0   0  .091  .091  .091 
Joe Johnson        R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Kurt Kepshire      R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Bob Knepper        L  10   3   0   0   0   1   0   2   0   1   0  .300  .364  .300 
Mike Krukow        R   9   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike LaCoss        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dave LaPoint       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bill Laskey        R  11   2   1   0   0   0   0   3   0   1   0  .182  .182  .273 
Charlie Lea        R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Tim Leary          R   8   0   0   0   0   0   0   4   0   1   0  .000  .000  .000 
Greg Maddux        R   6   1   1   0   0   0   0   1   0   1   0  .167  .167  .333 
Joe Magrane        L   3   0   0   0   0   0   0   1   0   2   0  .000  .000  .000 
Rick Mahler        R  10   0   0   0   0   0   0   4   0   0   1  .000  .000  .000 
Dennis Martinez    R   3   1   0   0   0   0   0   2   0   1   0  .333  .333  .333 
Larry McWilliams   L   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Phil Niekro        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dickie Noles       R   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
David Palmer       R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Frank Pastore      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Alejandro Pena     R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Ted Power          R   7   1   0   0   0   1   0   2   0   1   0  .143  .250  .143 
Joe Price          L   7   3   0   0   2   0   0   0   0   0   0  .429  .429 1.286 
Charlie Puleo      R   4   0   0   0   0   0   0   2   1   1   0  .000  .200  .000 
Rick Reuschel      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jerry Reuss        L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Rhoden        R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Dick Ruthven       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Nolan Ryan         R  13   1   0   0   0   0   0   9   0   1   0  .077  .077  .077 
Calvin Schiraldi   R   5   1   1   0   0   1   0   3   0   0   0  .200  .333  .400 
Mike Scott         R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Bob Shirley        L   5   2   0   0   0   0   0   1   0   1   0  .400  .400  .400 
John Smiley        L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Pete Smith         R   3   3   1   0   0   0   0   0   0   1   0 1.000 1.000 1.333 
Zane Smith         L   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Mario Soto         R   5   1   0   0   0   0   0   2   1   2   0  .200  .333  .200 
Jay Tibbs          R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Steve Trout        L   4   1   0   0   0   0   0   2   0   2   0  .250  .250  .250 
John Tudor         L   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
F. Valenzuela      L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Bob Walk           R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000
