Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jim Abbott         L  56  14   0   0   2   4   0   9   0   0   1  .250  .295  .357 
Paul Abbott        R  14   1   0   0   0   3   0   6   0   0   0  .071  .235  .071 
Jim Acker          R   8   3   1   0   1   0   0   1   0   0   0  .375  .375  .875 
Jeremy Affeldt     L   4   2   1   0   0   0   0   0   0   0   1  .500  .400  .750 
Rick Aguilera      R  17   5   0   1   2   5   1   3   0   0   0  .294  .455  .765 
Scott Aldred       L   7   1   0   0   0   2   0   0   0   0   0  .143  .333  .143 
Doyle Alexander    R  16   3   0   1   2   2   0   1   0   0   0  .188  .278  .688 
Wilson Alvarez     L  41  12   5   0   2   5   0   6   0   0   0  .293  .370  .561 
Allan Anderson     L  22   4   2   0   0   2   1   0   0   0   2  .182  .231  .273 
Brian Anderson     L  15   4   1   0   0   0   0   1   0   0   0  .267  .267  .333 
Kevin Appier       R  54  12   2   0   2   5   1  12   0   0   1  .222  .283  .370 
Luis Aquino        R  13   5   1   1   0   3   2   4   0   0   0  .385  .500  .615 
Jack Armstrong     R   8   3   0   0   0   1   0   1   0   0   0  .375  .444  .375 
Paul Assenmacher   L   5   3   2   0   0   0   0   1   0   0   0  .600  .600 1.000 
Pedro Astacio      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Keith Atherton     R  11   3   0   0   0   0   0   2   0   0   0  .273  .273  .273 
Don August         R  14   2   0   0   0   2   1   3   0   0   2  .143  .222  .143 
Jim Austin         R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Bobby Ayala        R   3   1   0   0   1   1   0   2   0   0   0  .333  .500 1.333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Danys Baez         R  12   3   1   0   1   1   0   3   0   0   0  .250  .308  .583 
Scott Bailes       L  20   7   3   0   2   2   0   2   0   0   0  .350  .409  .800 
James Baldwin      R  12   3   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Jeff Ballard       L  17   4   1   0   1   1   0   0   0   0   0  .235  .278  .471 
Scott Bankhead     R  34   7   0   0   0   3   2   4   0   0   0  .206  .270  .206 
Willie Banks       R  11   2   0   0   1   1   0   2   0   0   0  .182  .250  .455 
Floyd Bannister    L  27   9   0   0   0   1   0   3   0   0   0  .333  .357  .333 
Miguel Batista     R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jose Bautista      R  10   4   2   0   0   0   0   1   1   0   0  .400  .455  .600 
Erik Bedard        L   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Tim Belcher        R  27   6   2   0   3   3   0   3   0   0   1  .222  .290  .630 
Stan Belinda       R   5   1   0   0   0   0   0   1   0   0   1  .200  .167  .200 
Eric Bell          L   5   2   2   0   0   0   0   1   0   0   0  .400  .400  .800 
Rob Bell           R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Andy Benes         R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Armando Benitez    R   2   2   1   0   0   2   0   0   0   0   0 1.000 1.000 1.500 
Jason Bere         R  17   3   1   0   1   1   0   5   0   0   0  .176  .222  .412 
Juan Berenguer     R  23   3   0   0   0   2   0   5   0   0   1  .130  .192  .130 
Sean Bergman       R   5   1   0   0   0   1   1   1   0   0   0  .200  .333  .200 
Mike Bielecki      R  10   1   1   0   0   0   0   3   0   0   0  .100  .100  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Birkbeck      R   9   4   0   0   2   0   0   3   0   0   0  .444  .444 1.111 
Buddy Black        L  21  14   4   0   2   1   0   0   0   0   0  .667  .682 1.143 
Willie Blair       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Bert Blyleven      R  23   9   3   0   1   2   0   5   0   0   0  .391  .440  .652 
Mike Boddicker     R  47   7   2   0   2   7   0   5   1   0   1  .149  .268  .319 
Joe Boever         R   3   0   0   0   0   1   1   2   0   0   1  .000  .200  .000 
Brian Bohanon      L   7   3   1   0   0   2   0   1   0   0   0  .429  .556  .571 
Tom Bolton         L  16   4   0   0   1   2   0   2   0   0   0  .250  .333  .438 
Ricky Bones        R  32   4   0   0   0   0   0   4   0   0   1  .125  .121  .125 
Rich Bordi         R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Chris Bosio        R  68  20   4   0   2   3   1   7   0   0   3  .294  .311  .441 
Ricky Bottalico    R   3   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Oil Can Boyd       R   7   2   1   0   0   1   0   2   0   0   0  .286  .375  .429 
