Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L  21   5   3   0   0   1   1   4   0   0   0  .238  .273  .381 
Ted Abernathy      R   9   5   0   0   0   0   0   1   0   1   0  .556  .556  .556 
Hank Aguirre       L  42   8   2   0   2   5   0  14   0   0   0  .190  .277  .381 
Bob Allen          L   9   0   0   0   0   3   1   1   1   0   0  .000  .308  .000 
Johnny Antonelli   L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Jim Archer         L  18   5   0   0   2   0   0   1   0   0   0  .278  .278  .611 
Steve Barber       L  48  11   2   0   1   5   0   6   0   0   0  .229  .302  .333 
Norm Bass          R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Frank Baumann      L  26   8   1   1   2   1   0   3   0   0   1  .308  .321  .654 
Charlie Beamon     R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Bo Belinsky        L  13   5   0   0   0   2   0   2   2   0   0  .385  .529  .385 
Gary Bell          R  52  10   0   0   1   2   0  13   1   0   0  .192  .236  .250 
Dennis Bennett     L  19   6   1   0   0   2   1   1   0   0   0  .316  .381  .368 
Frank Bertaina     L   2   1   1   0   0   3   0   1   0   0   1  .500  .667 1.000 
Joe Bonikowski     R   5   0   0   0   0   2   0   1   0   0   0  .000  .286  .000 
Dave Boswell       R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Jim Bouton         R  13   5   1   0   1   0   0   1   0   0   0  .385  .385  .692 
Ted Bowsfield      L  32   7   3   1   0   4   0   3   0   0   1  .219  .297  .375 
Bucky Brandon      R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Tom Brewer         R  63  19   3   0   2   2   0  13   0   0   0  .302  .323  .444 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ernie Broglio      R   4   3   0   0   1   0   0   0   0   0   0  .750  .750 1.500 
Hal Brown          R  61  10   0   2   2   0   0  11   0   0   1  .164  .161  .328 
Bob Bruce          R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
George Brunet      L  24  10   0   0   0   1   0   3   0   0   0  .417  .440  .417 
Bob Buhl           R   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Wally Bunker       R  11   2   0   0   0   2   0   0   0   1   0  .182  .308  .182 
Jim Bunning        R  36   6   1   0   1   2   0  14   1   0   1  .167  .225  .278 
Wally Burnette     R  10   4   2   0   0   2   0   2   0   0   0  .400  .500  .600 
Pete Burnside      L  30   9   3   0   2   2   0   6   0   0   0  .300  .344  .600 
Moe Burtschy       R   6   1   0   0   0   1   0   0   1   0   0  .167  .375  .167 
John Buzhardt      R  15   4   0   0   0   0   0   1   0   0   0  .267  .267  .267 
Bud Byerly         R  14   3   0   0   0   1   0   1   0   0   0  .214  .267  .214 
Harry Byrd         R   7   3   1   0   0   1   0   0   0   0   0  .429  .500  .571 
Jerry Casale       R  18   7   1   0   1   1   0   2   0   0   0  .389  .421  .611 
Art Ceccarelli     L   7   0   0   0   0   1   0   3   0   0   0  .000  .125  .000 
Bob Chakales       R  13   5   0   0   1   1   0   1   0   0   0  .385  .429  .615 
Dean Chance        R  30   7   1   0   1   2   0   6   0   0   0  .233  .281  .367 
Pete Charton       R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Tom Cheney         R   7   3   0   0   1   0   0   4   0   0   0  .429  .429  .857 
Al Cicotte         R   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tex Clevenger      R  25   4   2   0   0   1   0   6   0   0   1  .160  .185  .240 
Jim Coates         R   4   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Joe Coleman        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Rip Coleman        L   6   3   0   0   0   0   0   0   0   0   1  .500  .429  .500 
Gene Conley        R  19   5   0   0   2   1   0   3   0   0   0  .263  .300  .579 
Ed Connolly        L   5   2   0   0   0   2   0   0   0   0   0  .400  .571  .400 
Sandy Consuegra    R   9   2   0   0   1   1   0   1   0   0   0  .222  .300  .556 
Walt Craddock      L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Roger Craig        R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Jack Crimian       R   9   4   1   0   2   0   0   0   1   0   0  .444  .500 1.222 
Bud Daley          L  45  17   6   0   2   7   0   9   0   0   1  .378  .453  .644 
Bennie Daniels     R  28   3   0   0   0   1   0   2   0   0   1  .107  .133  .107 
Ike Delock         R  54  13   2   1   1   3   0   8   2   0   1  .241  .300  .370 
