Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Aguilera      R   7   1   0   0   0   0   0   2   0   1   0  .143  .143  .143 
Neil Allen         R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Joaquin Andujar    R   5   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Steve Avery        L   3   1   0   0   0   0   0   1   0   1   0  .333  .333  .333 
Bruce Berenyi      R   0   0   0   0   0   3   0   0   0   1   0     - 1.000     - 
Mike Bielecki      R   3   0   0   0   0   0   0   1   0   2   0  .000  .000  .000 
Tom Browning       L   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
John Candelaria    L   4   1   0   0   0   1   0   0   0   1   0  .250  .400  .250 
David Cone         R  12   2   0   0   0   1   0   5   0   2   0  .167  .231  .167 
Dennis Cook        L   4   1   0   0   0   0   0   2   0   2   0  .250  .250  .250 
Danny Cox          R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Ron Darling        R   5   2   0   0   0   1   0   0   0   2   0  .400  .500  .400 
Jose DeLeon        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Denny         R   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Jim Deshaies       L   9   3   0   0   0   1   0   3   0   1   1  .333  .364  .333 
Doug Drabek        R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Mike Dunne         R   3   1   1   0   0   0   0   0   0   1   0  .333  .333  .667 
Sid Fernandez      L   6   0   0   0   0   0   0   3   0   0   1  .000  .000  .000 
Ray Fontenot       L   4   1   0   0   1   0   0   0   0   1   0  .250  .250 1.000 
Bob Forsch         R   5   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kevin Gross        R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Andy Hawkins       R   7   2   0   0   0   0   0   2   0   1   0  .286  .286  .286 
Orel Hershiser     R   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Rick Honeycutt     L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Burt Hooton        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Charles Hudson     R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Jimmy Jones        R   6   2   1   0   0   1   0   2   0   1   0  .333  .429  .500 
Bob Knepper        L   7   1   0   0   0   0   0   1   0   1   0  .143  .143  .143 
Mike Krukow        R   4   1   0   0   0   0   0   1   0   2   0  .250  .250  .250 
Mike LaCoss        R  11   0   0   0   0   1   0   3   0   0   0  .000  .083  .000 
Dave LaPoint       L   1   0   0   0   0   2   0   0   0   1   0  .000  .667  .000 
Derek Lilliquist   L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Ed Lynch           R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Greg Maddux        R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Joe Magrane        L   7   2   0   0   0   0   0   1   0   1   0  .286  .286  .286 
Rick Mahler        R  10   1   0   0   0   0   0   1   0   2   0  .100  .100  .100 
Ramon Martinez     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Larry McWilliams   L   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Bob Ojeda          L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pascual Perez      R   4   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Price          L   4   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Charlie Puleo      R   4   1   1   0   0   0   0   1   0   0   1  .250  .200  .500 
Dennis Rasmussen   L   4   0   0   0   0   0   0   1   0   2   0  .000  .000  .000 
Shane Rawley       L   7   2   1   0   0   1   0   2   0   0   0  .286  .375  .429 
Rick Reuschel      R   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Bruce Ruffin       L   6   2   0   0   0   0   0   1   0   2   0  .333  .333  .333 
Mike Scott         R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Zane Smith         L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
John Smoltz        R   7   1   0   0   0   1   0   3   0   1   0  .143  .250  .143 
Mario Soto         R   3   0   0   0   0   1   0   0   0   1   0  .000  .250  .000 
Rick Sutcliffe     R  17   1   1   0   0   2   0   8   0   0   0  .059  .158  .118 
Walt Terrell       R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Steve Trout        L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
F. Valenzuela      L   8   0   0   0   0   0   0   4   0   1   0  .000  .000  .000 
Bob Walk           R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bob Welch          R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Ed Whitson         R   3   0   0   0   0   0   0   0   0   2   0  .000  .000  .000
