Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Aguilera      R   5   2   0   0   1   0   0   2   0   0   0  .400  .400 1.000 
Darrel Akerfelds   R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Larry Andersen     R   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Kevin Appier       R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Luis Aquino        R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Jack Armstrong     R   9   6   0   0   2   0   0   2   0   0   0  .667  .667 1.333 
Rene Arocha        R   6   3   0   0   1   1   0   0   0   0   0  .500  .571 1.000 
Andy Ashby         R  12   3   0   0   1   0   0   3   0   0   1  .250  .231  .500 
Pedro Astacio      R  10   5   1   1   1   1   0   0   0   0   0  .500  .545 1.100 
Bobby Ayala        R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Roger Bailey       R   4   2   0   1   0   1   0   1   0   0   0  .500  .600 1.000 
Rod Beck           R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Tim Belcher        R  20   6   2   0   0   3   0   3   0   0   0  .300  .391  .400 
Stan Belinda       R   2   0   0   0   0   1   0   0   1   0   0  .000  .500  .000 
Andy Benes         R  18   5   2   0   1   1   0   3   0   0   0  .278  .316  .556 
Tim Birtsas        L   4   0   0   0   0   1   0   4   0   1   0  .000  .200  .000 
Joe Boever         R   8   6   2   0   0   1   0   0   0   0   0  .750  .778 1.000 
Kent Bottenfield   R   6   2   0   0   1   1   0   0   0   0   0  .333  .429  .833 
Ryan Bowen         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jeff Brantley      R  12   1   0   0   0   2   0   2   0   0   0  .083  .214  .083 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Bullinger      R   4   2   1   0   0   2   0   0   0   0   0  .500  .667  .750 
Dave Burba         R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Tim Burke          R   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
John Burkett       R  21   3   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Tom Candiotti      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Cris Carpenter     R  11   5   3   0   0   1   0   2   0   0   0  .455  .500  .727 
Hector Carrasco    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Tony Castillo      L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jim Clancy         R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Mark Clark         R  15   3   2   0   0   0   0   2   0   0   0  .200  .200  .333 
Marty Clary        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
David Cone         R  16   6   1   1   1   2   0   1   0   0   0  .375  .444  .750 
Danny Cox          R   9   3   0   0   2   1   0   0   0   0   0  .333  .400 1.000 
