Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Johnny Antonelli   L   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Roger Craig        R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Lino Donoso        L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Bob Friend         R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Jim Hearn          R   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Don Liddle         L   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
Ron Negray         R  10   1   0   0   0   0   0   2   0   0   0  .100  .100  .100 
Don Newcombe       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Robin Roberts      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Hoyt Wilhelm       R   5   2   1   0   1   1   0   1   0   1   0  .400  .500 1.200
