Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hank Aguirre       L   6   0   0   0   0   1   0   4   0   0   0  .000  .143  .000 
Jack Aker          R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Gerry Arrigo       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Gary Bell          R   8   2   1   0   0   0   0   4   0   0   0  .250  .250  .375 
Dennis Bennett     L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jack Billingham    R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Steve Blass        R  11   3   1   0   1   0   0   2   0   0   0  .273  .273  .636 
Bobby Bolin        R  12   3   0   0   2   0   0   3   0   0   0  .250  .250  .750 
John Boozer        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Dave Boswell       R  12   3   0   1   0   1   0   3   0   0   0  .250  .308  .417 
Jim Bouton         R  25   8   3   0   0   0   0   1   0   0   0  .320  .320  .440 
Ted Bowsfield      L   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Gene Brabender     R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Bucky Brandon      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Marshall Bridges   L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Nelson Briles      R   8   2   1   0   0   0   0   1   0   0   0  .250  .250  .375 
Jim Britton        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Wally Bunker       R  24  11   1   0   0   0   0   0   0   0   0  .458  .458  .500 
Jim Bunning        R   6   4   1   0   0   0   0   1   0   0   0  .667  .667  .833 
John Buzhardt      R  11   2   0   0   1   0   0   1   0   0   0  .182  .182  .455 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Cardwell       R   7   2   2   0   0   1   1   0   0   0   0  .286  .375  .571 
Clay Carroll       R   8   1   0   0   0   2   0   0   0   0   0  .125  .300  .125 
Bill Champion      R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Pete Charton       R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Tony Cloninger     R   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Jack Cullen        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
George Culver      R   6   1   0   0   0   1   0   1   0   0   1  .167  .250  .167 
Bruce Dal Canton   R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bennie Daniels     R  13   6   0   0   2   0   0   1   0   0   0  .462  .462  .923 
Jim Dickson        R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Larry Dierker      R  11   2   0   1   0   1   0   4   0   1   1  .182  .231  .364 
Chuck Dobson       R   6   1   0   0   0   2   0   1   0   0   0  .167  .375  .167 
Dick Donovan       R   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Al Downing         L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Moe Drabowsky      R   7   2   0   0   0   0   0   0   0   0   3  .286  .200  .286 
Don Drysdale       R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Dock Ellis         R  13   0   0   0   0   1   0   2   0   0   0  .000  .071  .000 
Eddie Fisher       R  16   3   0   0   0   2   0   0   0   0   0  .188  .278  .188 
Whitey Ford        L   9   4   0   0   0   1   0   4   0   0   0  .444  .500  .444 
Terry Fox          R   9   1   0   0   0   1   0   1   0   0   0  .111  .200  .111 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gary Gentry        R   4   0   0   0   0   2   0   1   1   0   0  .000  .429  .000 
Bob Gibson         R  19   4   0   0   1   0   0   5   0   1   0  .211  .211  .368 
Dave Giusti        R  11   2   0   0   1   0   0   4   0   0   0  .182  .182  .455 
Fred Gladding      R   7   3   0   0   0   0   0   1   1   0   0  .429  .500  .429 
Wayne Granger      R   6   2   0   1   0   0   0   0   0   0   0  .333  .333  .667 
Mudcat Grant       R  28  13   0   1   1   0   0   1   0   0   1  .464  .448  .643 
Tom Griffin        R   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Dick Hall          R  10   2   1   0   0   1   1   4   0   0   0  .200  .273  .300 
Jim Hannan         R  14   1   0   0   0   1   0   2   0   0   1  .071  .125  .071 
Steve Hargan       R  12   4   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Bob Heffner        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Dennis Higgins     R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Joe Horlen         R  21   3   1   1   0   1   1   2   0   0   0  .143  .182  .286 
