Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Babe Adams         R   3   2   0   1   0   0   0   0   0   0   1  .667  .500 1.333 i
Pete Alexander     R  18   3   0   0   0   4   0   6   1   0   0  .167  .348  .167 i
Cy Barger          R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 i
Rube Benton        L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 i
Joe Benz           R   7   1   1   0   0   1   0   1   0   1   0  .143  .250  .286 i
Boardwalk Brown    R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Buster Brown       R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 i
Mordecai Brown     R  11   1   0   0   0   1   0   2   0   0   0  .091  .167  .091 i
Ray Caldwell       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Howie Camnitz      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 i
Larry Cheney       R   7   1   0   0   0   1   0   1   0   1   0  .143  .250  .143 i
King Cole          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Ray Collins        L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Wilbur Cooper      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Doc Crandall       R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 i
Cliff Curtis       R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 i
Red Faber          R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Harry Gaspar       R   8   0   0   0   0   1   0   1   0   0   0  .000  .111  .000 i
Claude Hendrix     R   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 i
Otto Hess          L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Elmer Knetzer      R   6   0   0   0   0   2   0   1   0   0   0  .000  .250  .000 i
Jimmy Lavender     R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 i
Lefty Leifield     L   8   1   0   1   0   0   0   0   0   1   0  .125  .125  .375 i
Rube Marquard      L   7   0   0   0   0   1   0   4   0   0   0  .000  .125  .000 i
C. Mathewson       R  15   2   0   0   0   1   0   4   0   0   0  .133  .188  .133 i
Guy Morton         R   4   2   1   0   0   1   0   1   0   0   0  .500  .600  .750 
Marty O'Toole      R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 i
Hub Perdue         R  12   2   0   0   0   1   0   2   0   0   0  .167  .231  .167 i
Lew Richie         R   8   2   0   0   0   2   0   0   0   0   0  .250  .400  .250 i
Hank Robinson      L   6   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 i
Nap Rucker         L  14   1   0   0   0   3   0   3   0   0   0  .071  .235  .071 i
Eddie Stack        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Lefty Tyler        L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 i
Jack Warhop        R   6   0   0   0   0   0   0   0   1   1   0  .000  .143  .000 
Hooks Wiltse       L   9   1   1   0   0   0   0   2   0   1   0  .111  .111  .222 i
Earl Yingling      L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 i
