Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Luis Aloma         R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Gene Bearden       L  15   6   4   0   2   3   0   2   0   0   0  .400  .500 1.067 
Al Benton          R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Frank Biscan       L   3   1   0   0   0   3   0   0   0   0   0  .333  .667  .333 
Lou Brissie        L  18   2   1   0   0   2   0   6   0   0   0  .111  .200  .167 
Harry Byrd         R  13   4   0   0   1   1   0   5   0   0   0  .308  .357  .538 
Tommy Byrne        L  23   9   2   1   0   3   0   2   0   0   0  .391  .462  .565 
Bob Cain           L  25   8   3   1   1   1   0   0   0   0   0  .320  .346  .640 
Earl Caldwell      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Joe Coleman        R   9   4   0   0   1   0   0   3   0   0   0  .444  .444  .778 
Sandy Consuegra    R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Ike Delock         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Dobson         R  13   4   0   2   0   2   0   1   0   0   0  .308  .400  .615 
Fritz Dorish       R  11   3   0   0   1   2   0   2   0   0   0  .273  .385  .545 
Frank Fanovich     L   5   2   0   0   0   1   1   1   0   0   0  .400  .500  .400 
Bob Feller         R  11   1   0   0   0   0   0   6   0   0   0  .091  .091  .091 
Tom Ferrick        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Whitey Ford        L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Mike Fornieles     R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Dick Fowler        R   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Marion Fricano     R  10   3   0   0   1   1   0   0   0   0   0  .300  .364  .600 
Denny Galehouse    R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mike Garcia        R   9   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ned Garver         R  11   2   1   0   0   0   0   3   0   0   0  .182  .182  .273 
Johnny Gray        R   6   1   0   0   1   0   0   3   0   0   0  .167  .167  .667 
Ted Gray           L   7   1   1   0   0   1   0   2   0   0   0  .143  .250  .286 
Marv Grissom       R   8   0   0   0   0   1   0   0   0   0   0  .000  .111  .000 
Orval Grove        R   4   1   0   1   0   0   0   1   0   0   0  .250  .250  .750 
Mickey Haefner     L  11   3   0   1   0   1   0   0   0   0   0  .273  .333  .455 
Ralph Hamner       R   4   2   0   0   0   1   0   0   1   0   0  .500  .667  .500 
Mickey Harris      L  28   5   1   0   2   0   0   3   1   0   0  .179  .207  .429 
Earl Harrist       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Joe Haynes         R  12   4   0   0   2   1   0   2   0   0   0  .333  .385  .833 
Bill Henry         L   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Lloyd Hittle       L  13   2   0   0   0   1   0   2   0   0   0  .154  .214  .154 
