Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cody Anderson      R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Dellin Betances    R   6   3   0   0   1   0   0   3   0   0   0  .500  .500 1.000 
Clay Buchholz      R   5   1   0   0   0   1   0   3   1   0   0  .200  .429  .200 
Mark Buehrle       L  10   3   0   0   1   1   0   2   0   0   0  .300  .364  .600 
David Carpenter    R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Carlos Carrasco    R   6   1   0   0   0   0   0   4   0   0   0  .167  .167  .167 
Wei-Yin Chen       L  13   1   0   0   1   2   0   6   0   0   0  .077  .200  .308 
Jarred Cosart      R   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
R.A. Dickey        R   6   2   0   0   0   1   0   2   0   0   0  .333  .429  .333 
Nathan Eovaldi     R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Marco Estrada      R   5   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Miguel Gonzalez    R  12   2   0   0   1   1   0   4   0   0   0  .167  .231  .417 
Drew Hutchison     R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Joe Kelly          R   5   3   1   0   1   0   0   0   1   0   0  .600  .667 1.400 
Wade Miley         L  11   2   1   0   0   1   0   3   0   0   0  .182  .250  .273 
Daniel Norris      L   5   1   0   0   1   1   0   2   0   0   0  .200  .333  .800 
Darren O'Day       R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Alexi Ogando       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Roberto Osuna      R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Michael Pineda     R   9   4   1   0   1   0   0   3   0   0   0  .444  .444  .889 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Porcello      R  12   5   0   0   0   0   0   3   0   0   0  .417  .417  .417 
David Price        L   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Garrett Richards   R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Esmil Rogers       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
CC Sabathia        L   5   2   0   0   0   1   0   3   0   0   0  .400  .500  .400 
Aaron Sanchez      R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Junichi Tazawa     R   6   2   0   0   0   1   0   3   0   0   0  .333  .429  .333 
Chris Tillman      R  12   3   1   0   1   2   0   5   1   0   0  .250  .400  .583 
Adam Warren        R   9   3   0   0   1   0   0   4   0   0   0  .333  .333  .667 
Jered Weaver       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Chase Whitley      R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667
