Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Johnny Allen       R   7   3   1   0   2   0   0   0   0   0   0  .429  .429 1.429 
Orie Arntzen       R   5   1   0   0   0   3   0   1   0   0   0  .200  .500  .200 i
Elden Auker        R  13   4   1   0   0   2   0   0   0   0   0  .308  .400  .385 i
Jim Bagby          R  49  13   2   0   1   4   0   1   0   0   0  .265  .321  .367 i
Gene Bearden       L  13   3   0   0   0   3   0   4   0   1   0  .231  .375  .231 
Bill Beckmann      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Al Benton          R  30   8   0   0   2   3   1   1   0   1   0  .267  .333  .467 i
Joe Berry          R   5   2   1   0   1   0   0   1   0   0   0  .400  .400 1.200 i
Herman Besse       L   5   0   0   0   0   1   0   1   0   1   0  .000  .167  .000 i
Bill Bevens        R  15   4   0   0   4   2   0   0   0   0   0  .267  .353 1.067 
Frank Biscan       L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 i
Don Black          R  26   5   2   0   1   2   0   3   0   0   0  .192  .250  .385 i
Tiny Bonham        R  38   8   0   0   2   3   0   1   0   0   0  .211  .268  .368 i
Hank Borowy        R  29   6   3   0   0   5   1   1   0   0   0  .207  .324  .310 i
Joe Bowman         R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 i
Norm Branch        R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Marv Breuer        R  13   3   0   0   0   1   1   0   0   0   0  .231  .286  .231 
Tommy Bridges      R  11   1   0   1   0   1   0   1   0   0   0  .091  .167  .273 i
Lou Brissie        L  19   2   1   0   0   2   0   2   0   0   0  .105  .190  .158 
Bill Butland       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tommy Byrne        L  11   3   0   0   1   4   0   2   1   0   0  .273  .500  .545 
Earl Caldwell      R   9   2   0   1   0   1   1   0   0   0   0  .222  .300  .444 
Fred Caligiuri     R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 i
Paul Calvert       R   8   1   0   0   1   3   0   0   0   0   0  .125  .364  .500 i
George Caster      R   8   5   2   0   0   1   0   0   0   0   0  .625  .667  .875 i
Spud Chandler      R  44  13   1   0   1  15   0   6   0   1   0  .295  .475  .386 i
Ken Chase          L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 i
Russ Christopher   R  25   5   1   0   0   4   0   2   0   0   0  .200  .310  .240 i
Joe Coleman        R  34  13   3   1   1   5   0   2   0   0   0  .382  .462  .618 
Chubby Dean        L  10   3   0   0   0   0   0   0   1   0   0  .300  .364  .300 i
Bill Dietrich      R  22   7   1   0   1   3   0   1   0   0   0  .318  .400  .500 i
Joe Dobson         R  60  17   1   3   1   8   0   2   0   1   0  .283  .368  .450 i
Atley Donald       R  19   4   1   0   0   0   0   3   0   0   0  .211  .211  .263 i
Fritz Dorish       R   7   2   2   0   0   1   0   0   0   0   0  .286  .375  .571 
Clem Dreisewerd    L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 i
Karl Drews         R  11   4   1   0   0   0   0   2   1   0   0  .364  .417  .455 
Monk Dubiel        R  12   1   0   0   0   0   0   0   0   0   0  .083  .083  .083 
