Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Doyle Alexander    R  10   3   0   0   0   0   0   2   0   0   0  .300  .300  .300 
Dennis Bennett     L   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Jack Billingham    R  12   2   1   0   0   3   0   2   1   0   0  .167  .375  .250 
Wade Blasingame    L  12   4   0   0   2   2   1   2   0   0   0  .333  .429  .833 
Steve Blass        R  12   1   0   0   0   1   0   3   0   0   0  .083  .154  .083 
Vida Blue          L   5   3   0   1   0   0   0   0   0   0   0  .600  .600 1.000 
Bert Blyleven      R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bobby Bolin        R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
John Boozer        R   7   1   0   0   1   0   0   2   0   0   0  .143  .143  .571 
Jim Brewer         L   8   0   0   0   0   1   0   4   0   0   0  .000  .111  .000 
Nelson Briles      R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Jim Britton        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pete Broberg       R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Jim Bunning        R  13   6   1   1   0   1   0   1   2   0   0  .462  .563  .692 
Steve Busby        R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Don Cardwell       R   3   2   1   0   0   1   1   0   0   0   0  .667  .750 1.000 
Steve Carlton      L  11   1   0   0   1   1   0   3   0   0   0  .091  .167  .364 
Clay Carroll       R   9   0   0   0   0   1   1   3   0   1   0  .000  .100  .000 
Bill Champion      R   8   1   1   0   0   0   0   1   1   0   0  .125  .222  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Reggie Cleveland   R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Tony Cloninger     R  15   4   1   0   1   3   0   0   0   0   2  .267  .350  .533 
Jim Colborn        R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Casey Cox          R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Mike Cuellar       L   5   2   2   0   0   0   0   2   0   0   0  .400  .400  .800 
George Culver      R  15   2   0   0   0   4   0   1   1   0   0  .133  .350  .133 
Bruce Dal Canton   R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Joe Decker         R   5   1   1   0   0   0   0   1   0   0   1  .200  .167  .400 
Larry Dierker      R  13   1   0   0   0   2   0   2   0   0   0  .077  .200  .077 
Al Downing         L   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Don Drysdale       R   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Dock Ellis         R   9   1   0   0   0   1   0   3   0   0   0  .111  .200  .111 
Sammy Ellis        R   5   2   1   0   0   1   0   0   1   0   0  .400  .571  .600 
Dick Ellsworth     L   8   2   0   0   1   0   0   0   0   0   0  .250  .250  .625 
Rollie Fingers     R   6   2   1   0   1   0   0   0   0   0   0  .333  .333 1.000 
Jack Fisher        R   7   4   2   0   1   1   0   0   0   0   0  .571  .625 1.286 
Ken Forsch         R   9   3   0   0   1   0   0   0   0   0   0  .333  .333  .667 
Alan Foster        R   7   2   0   0   0   0   0   1   0   0   1  .286  .250  .286 
Woodie Fryman      L  21   6   1   0   1   3   0   3   1   0   0  .286  .400  .476 
Gary Gentry        R  15   5   2   0   1   2   0   3   1   0   0  .333  .444  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Gibson         R  15   4   0   0   0   0   0   3   0   0   0  .267  .267  .267 
Dave Giusti        R  12   4   2   0   0   1   0   2   0   0   0  .333  .385  .500 
Fred Gladding      R   9   2   1   0   0   0   0   3   0   0   0  .222  .222  .333 
Bill Gogolewski    R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Wayne Granger      R  12   4   1   0   0   0   0   1   1   0   0  .333  .385  .417 
Mudcat Grant       R   5   1   0   0   0   0   0   1   0   1   0  .200  .200  .200 
Tom Griffin        R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
