Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brett Anderson     L   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Chase Anderson     R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Pedro Baez         R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Trevor Bauer       R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
A.J. Burnett       R   8   2   0   0   0   1   0   5   0   0   0  .250  .333  .250 
A. Caminero        R   5   3   0   1   0   0   0   1   0   0   0  .600  .600 1.000 
Carlos Carrasco    R   9   3   0   0   1   0   0   4   0   0   0  .333  .333  .667 
Scott Carroll      R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Alex Cobb          R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Gerrit Cole        R   3   2   1   0   0   0   0   0   0   0   1  .667  .500 1.000 
Patrick Corbin     L   5   3   1   0   0   0   0   1   0   0   0  .600  .600  .800 
John Danks         L   1   0   0   0   0   2   0   0   0   1   1  .000  .500  .000 
Rubby de la Rosa   R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Brian Duensing     L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Danny Duffy        L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jaime Garcia       L   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Matt Garza         R   5   4   1   0   0   0   0   0   0   0   0  .800  .800 1.000 
Zack Greinke       R   9   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Jeremy Guthrie     R   6   2   1   0   0   0   0   1   1   0   0  .333  .429  .500 
Jason Hammel       R   8   4   1   0   0   0   0   2   1   0   0  .500  .556  .625 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
J.A. Happ          L   5   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Dan Haren          R  11   1   0   0   0   0   0   0   0   0   0  .091  .091  .091 
Kyle Hendricks     R   7   1   1   0   0   0   0   2   0   0   0  .143  .143  .286 
Jared Hughes       R   7   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Jeremy Jeffress    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Taylor Jungmann    R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Corey Kluber       R   9   1   0   0   0   1   0   3   0   0   0  .111  .200  .111 
John Lackey        R  14   4   0   0   0   0   0   1   0   1   0  .286  .286  .286 
Jon Lester         L   8   1   0   0   1   0   0   2   0   0   0  .125  .125  .500 
F. Liriano         L   7   2   0   0   1   0   0   4   0   0   0  .286  .286  .714 
Jeff Locke         L   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Lance Lynn         R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Steven Matz        L   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Trevor May         R   8   1   0   0   0   0   0   4   0   0   0  .125  .125  .125 
Zach McAllister    R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Brandon McCarthy   R   4   0   0   0   0   0   0   3   1   0   0  .000  .200  .000 
Tom Milone         L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Jason Motte        R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Jimmy Nelson       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Jake Peavy         R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Wily Peralta       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
David Phelps       R   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
David Price        L   3   1   0   0   0   2   0   0   0   1   0  .333  .600  .333 
Jose Quintana      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Chris Sale         L   4   0   0   0   0   0   0   3   1   0   0  .000  .200  .000 
Max Scherzer       R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
James Shields      R   4   0   0   0   0   1   0   0   1   1   0  .000  .333  .000 
Pedro Strop        R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Noah Syndergaard   R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jason Vargas       L   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Yordano Ventura    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Edinson Volquez    R   6   1   0   0   1   0   0   4   0   0   0  .167  .167  .667 
Michael Wacha      R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Tony Watson        L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Alex Wood          L   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250
