Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Babe Adams         R   5   4   2   0   0   0   0   1   0   0   0  .800  .800 1.200 i
Pete Alexander     R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Jesse Barnes       R   9   1   0   0   0   1   0   2   0   0   0  .111  .200  .111 
Stan Baumgartner   L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Rube Benton        L  10   6   1   0   0   1   0   0   0   0   0  .600  .636  .700 i
Leon Cadore        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Paul Carter        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 i
Red Causey         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Wilbur Cooper      L  34   7   1   0   0   1   0   5   0   4   0  .206  .229  .235 
Bill Doak          R   7   2   1   0   1   0   0   0   0   0   0  .286  .286  .857 i
Phil Douglas       R  10   3   0   0   0   0   0   1   0   1   0  .300  .300  .300 i
Whitey Glazner     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Marv Goodwin       R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 i
Burleigh Grimes    R  11   1   0   0   0   0   0   2   0   0   0  .091  .091  .091 
Jesse Haines       R   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 i
Earl Hamilton      L  16   7   0   2   0   0   0   2   0   0   0  .438  .438  .688 i
Claude Hendrix     R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 i
Bill Hubbell       R   3   0   0   0   0   0   0   0   1   0   0  .000  .250  .000 i
Al Mamaux          R   5   4   1   1   0   0   0   1   0   1   0  .800  .800 1.400 i
Rube Marquard      L  17   6   2   0   0   1   0   0   0   0   0  .353  .389  .471 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lee Meadows        R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Johnny Miljus      R   4   2   1   0   0   0   0   0   0   1   0  .500  .500  .750 i
Johnny Morrison    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Art Nehf           L  24   9   2   0   0   3   0   2   0   1   0  .375  .444  .458 i
Joe Oeschger       R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Eppa Rixey         L  15   3   0   0   0   3   0   3   0   1   0  .200  .333  .200 i
Dutch Ruether      L  16   7   1   0   0   5   0   1   1   0   0  .438  .591  .500 i
Rosy Ryan          R   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 
Slim Sallee        L   8   1   1   0   0   1   0   1   0   0   0  .125  .222  .250 i
Ferdie Schupp      L  10   5   0   1   2   0   0   1   0   0   0  .500  .500 1.300 i
Jack Scott         R   7   2   0   1   0   1   0   1   0   0   0  .286  .375  .571 
Bill Sherdel       L   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 i
George Smith       R   9   5   1   0   0   0   0   0   0   1   0  .556  .556  .667 i
Sherry Smith       L  23   7   0   1   0   4   0   0   0   1   0  .304  .407  .391 i
Fred Toney         R   8   3   1   0   1   1   0   0   0   0   0  .375  .444  .875 i
Lefty Tyler        L   8   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Hippo Vaughn       L  11   0   0   0   0   1   0   4   0   0   0  .000  .083  .000 i
Mule Watson        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 i
Jesse Winters      R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 i
Jimmy Zinn         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 i
