Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R  15   4   3   0   0   3   1   2   0   0   0  .267  .389  .467 
Glenn Abbott       R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Santo Alcala       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Joaquin Andujar    R   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 
Bob Apodaca        R   3   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Jerry Augustine    L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Len Barker         R  14   3   0   0   1   2   1   4   0   0   0  .214  .313  .429 
Mike Barlow        R   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Jim Barr           R  12   4   1   0   1   0   0   0   0   0   0  .333  .333  .667 
Ross Baumgarten    L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Beattie        R   7   2   1   0   0   4   0   1   0   0   0  .286  .545  .429 
Steve Bedrosian    R   4   3   0   0   1   0   0   1   0   0   0  .750  .750 1.500 
Jack Billingham    R   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 
Doug Bird          R   5   3   1   0   0   2   0   1   0   0   0  .600  .714  .800 
Bert Blyleven      R   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Mark Bomback       R   5   3   2   0   0   0   0   1   0   0   0  .600  .600 1.000 
Pedro Borbon       R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Tom Brennan        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tom Burgmeier      L   3   0   0   0   0   1   0   0   0   1   0  .000  .250  .000 
Ray Burris         R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Busby        R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Tom Buskey         R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Rick Camp          R   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Bill Campbell      R   6   1   1   0   0   1   0   2   0   0   0  .167  .286  .333 
Bill Castro        R   2   1   1   0   0   2   1   1   0   0   0  .500  .750 1.000 
C. Chamberlain     R   2   1   0   0   0   1   0   0   0   0   1  .500  .500  .500 
L. Christenson     R  11   3   0   0   1   1   0   1   0   0   0  .273  .333  .545 
Jim Clancy         R  12   4   0   0   0   3   0   2   0   0   0  .333  .467  .333 
Ken Clay           R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Mark Clear         R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Reggie Cleveland   R   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Steve Comer        R  10   4   0   0   0   3   1   0   1   0   0  .400  .571  .400 
John D'Acquisto    R   5   0   0   0   0   3   0   4   0   0   0  .000  .375  .000 
Danny Darwin       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ron Davis          R  10   3   2   0   0   0   0   1   0   0   0  .300  .300  .500 
Larry Demery       R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
John Denny         R  10   3   1   0   0   2   0   3   0   0   0  .300  .417  .400 
Richard Dotson     R   4   1   0   0   0   1   1   1   1   0   0  .250  .500  .250 
Dick Drago         R   4   2   0   0   0   1   0   2   0   0   0  .500  .600  .500 
Rob Dressler       R  13   3   1   0   1   0   0   0   0   0   0  .231  .231  .538 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rawly Eastwick     R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Dennis Eckersley   R  14   5   0   0   1   2   0   2   1   0   0  .357  .471  .571 
Dock Ellis         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Roger Erickson     R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Ed Farmer          R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Joel Finch         R   5   2   0   0   1   1   0   1   0   0   0  .400  .500 1.000 
Rollie Fingers     R   9   2   0   0   0   0   0   2   0   0   0  .222  .222  .222 
Ken Forsch         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bob Forsch         R   8   2   0   0   1   0   0   2   0   0   0  .250  .250  .625 
Dave Frost         R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Rich Gale          R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Gene Garber        R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Wayne Garland      R   3   1   0   0   1   1   0   0   1   0   0  .333  .600 1.333 
Dave Giusti        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Rich Gossage       R  11   3   0   0   2   3   1   3   0   0   0  .273  .429  .818 
Wayne Granger      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bill Greif         R   4   2   0   1   0   2   0   0   0   0   0  .500  .667 1.000 
Mike Griffin       R   7   1   1   0   0   1   0   0   0   0   0  .143  .250  .286 
