Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   6   4   0   0   1   2   0   1   0   0   0  .667  .750 1.167 
Jim Abbott         L  13   0   0   0   0   2   1   3   0   0   0  .000  .133  .000 
Glenn Abbott       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jim Acker          R  10   3   0   0   0   0   0   2   0   0   0  .300  .300  .300 
Jay Aldrich        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Doyle Alexander    R  24   7   3   0   0   5   0   3   1   0   0  .292  .433  .417 
Neil Allen         R  13   7   0   0   0   0   0   3   0   2   0  .538  .538  .538 
Allan Anderson     L  19   7   1   1   0   1   0   3   0   0   0  .368  .400  .526 
Joaquin Andujar    R  13   2   0   0   0   2   0   3   0   0   0  .154  .267  .154 
Mike Armstrong     R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Tony Arnold        R   4   3   0   0   1   1   0   0   0   0   0  .750  .800 1.500 
Brad Arnsberg      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Keith Atherton     R  16   5   0   1   0   2   0   2   0   0   0  .313  .389  .438 
Don August         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Scott Bailes       L   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Doug Bair          R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Jeff Ballard       L  20   6   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Scott Bankhead     R   9   1   0   0   0   1   0   1   0   0   0  .111  .200  .111 
Floyd Bannister    L  34   9   2   0   0   4   0   5   0   0   0  .265  .342  .324 
John Barfield      L   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Salome Barojas     R   2   1   0   0   0   2   1   1   1   0   0  .500  .800  .500 
Jose Bautista      R   7   2   0   0   0   2   0   1   0   0   0  .286  .444  .286 
Dave Beard         R   4   2   1   0   1   1   0   0   0   0   0  .500  .600 1.500 
Jim Beattie        R   9   3   0   0   1   2   2   0   0   0   0  .333  .455  .667 
Joe Beckwith       R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Andy Beene         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Eric Bell          L   9   3   2   0   0   1   0   1   0   0   0  .333  .400  .556 
Juan Berenguer     R  12   4   1   0   0   3   0   2   0   0   0  .333  .467  .417 
Doug Bird          R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Mike Birkbeck      R  13   5   1   0   0   1   0   3   1   0   0  .385  .467  .462 
Buddy Black        L  38  12   2   0   1   0   0   6   0   0   0  .316  .316  .447 
Vida Blue          L  10   1   0   1   0   3   0   1   0   0   0  .100  .308  .300 
Bert Blyleven      R  21   4   1   0   0   3   0   1   0   0   0  .190  .292  .238 
Mike Boddicker     R  41  12   0   0   1   2   0   7   0   0   0  .293  .326  .366 
Tom Bolton         L  11   3   0   0   1   1   1   0   0   0   0  .273  .333  .545 
