Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gerry Arrigo       L   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Stan Bahnsen       R   6   2   1   0   0   1   0   2   0   0   0  .333  .429  .500 
Jerry Bell         R   6   0   0   0   0   2   0   1   0   0   0  .000  .250  .000 
Jim Bibby          R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Jack Billingham    R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Vida Blue          L   7   0   0   0   0   5   0   1   0   0   0  .000  .417  .000 
Bert Blyleven      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Brewer         L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Nelson Briles      R  10   4   1   0   0   0   0   2   0   0   0  .400  .400  .500 
Don Cardwell       R   8   1   0   0   0   1   0   0   1   0   0  .125  .300  .125 
Steve Carlton      L   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Tony Cloninger     R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Joe Coleman        R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Ron Cook           L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Danny Coombs       L   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Ray Corbin         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Cuellar       L   4   1   0   0   0   1   0   1   0   0   1  .250  .333  .250 
John Curtis        L   8   0   0   0   0   1   0   3   0   0   0  .000  .111  .000 
Bruce Dal Canton   R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Larry Dierker      R   3   0   0   0   0   4   1   0   0   0   0  .000  .571  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Dukes          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Dunning      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Roy Face           R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Rollie Fingers     R   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Terry Forster      L   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Alan Foster        R   4   1   0   0   0   1   0   3   0   0   0  .250  .400  .250 
Steve Foucault     R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Woodie Fryman      L  13   7   1   0   0   5   0   1   0   1   0  .538  .667  .615 
Bob Gibson         R   3   2   1   0   0   2   0   0   0   0   0  .667  .800 1.000 
Dave Giusti        R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Fred Gladding      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Dave Goltz         R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Wayne Granger      R   6   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Bill Hands         R  13   1   0   0   0   0   0   0   0   0   0  .077  .077  .077 
Ron Herbel         R   5   2   0   0   2   0   0   1   0   0   0  .400  .400 1.600 
Ken Holtzman       L  29   7   2   1   0   5   0   1   0   0   0  .241  .353  .379 
Catfish Hunter     R   8   2   0   0   0   2   0   0   0   0   0  .250  .400  .250 
Grant Jackson      L  10   3   2   0   1   3   0   3   0   0   0  .300  .462  .800 
Jeff James         R   6   1   1   0   0   1   0   0   0   0   0  .167  .286  .333 
Pat Jarvis         R   9   2   1   0   0   2   0   3   0   0   0  .222  .364  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fergie Jenkins     R   5   2   0   0   0   1   1   0   0   0   0  .400  .500  .400 
Jim Kaat           L   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
