Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Alfredo Aceves     R   6   0   0   0   0   0   0   2   1   0   0  .000  .143  .000 
Grant Balfour      R   4   2   1   1   0   0   0   1   0   0   0  .500  .500 1.250 
Daniel Bard        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Blake Beavan       R   5   2   0   0   0   1   0   2   0   0   0  .400  .500  .400 
Nick Blackburn     R   5   3   1   0   1   1   0   1   0   0   0  .600  .667 1.400 
Fausto Carmona     R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Bartolo Colon      R   5   2   2   0   0   1   0   2   0   0   0  .400  .500  .800 
Yu Darvish         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Wade Davis         R  13   4   1   1   0   2   0   4   0   0   0  .308  .400  .538 
Samuel Deduno      R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Scott Feldman      R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Doug Fister        R   3   1   0   0   0   1   0   2   0   0   0  .333  .500  .333 
Ernesto Frieri     R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Freddy Garcia      R  10   3   3   0   0   0   0   0   0   0   1  .300  .273  .600 
Gio Gonzalez       L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Jeff Gray          R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Jeremy Guthrie     R   5   1   1   0   0   1   0   1   0   0   0  .200  .333  .400 
Roy Halladay       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jason Hammel       R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Rich Harden        R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dan Haren          R  14   2   0   0   2   0   0   2   0   0   0  .143  .143  .571 
Matt Harrison      L   5   3   2   1   0   0   0   1   0   0   0  .600  .600 1.400 
J. Hellickson      R  10   2   0   0   0   2   0   2   0   0   0  .200  .333  .200 
Luke Hochevar      R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Philip Humber      R   7   2   1   0   0   0   0   2   0   0   0  .286  .286  .429 
Tommy Hunter       R  20   7   0   0   1   0   0   0   0   0   0  .350  .350  .500 
C. Jakubauskas     R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Ubaldo Jimenez     R   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Kyle Kendrick      R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Hiroki Kuroda      R   6   2   2   0   0   0   0   4   0   0   0  .333  .333  .667 
John Lackey        R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Aaron Laffey       L   3   1   0   0   0   0   0   1   0   0   1  .333  .250  .333 
Cliff Lee          L   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Jon Lester         L   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Colby Lewis        R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Paul Maholm        L   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Justin Masterson   R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Zach McAllister    R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Jake McGee         L   4   1   0   0   1   1   0   1   0   0   0  .250  .400 1.000 
G. Moscoso         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
