Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Aardsma      R   6   1   0   0   1   0   0   0   0   0   0  .167  .167  .667 
Jon Adkins         R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jeremy Affeldt     L   6   3   1   0   1   0   0   1   0   0   0  .500  .500 1.167 
Brett Anderson     L   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Brian Anderson     L  14   3   1   0   0   2   0   2   0   0   0  .214  .313  .286 
Michael Bacsik     L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Scott Baker        R  32  10   0   0   4   0   0   7   1   0   0  .313  .333  .688 
Grant Balfour      R   5   1   1   0   0   0   0   3   0   0   0  .200  .200  .400 
Brian Bass         R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Josh Beckett       R   9   3   0   0   1   1   0   3   0   0   0  .333  .400  .667 
Erik Bedard        L   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
R. Betancourt      R   6   0   0   0   0   0   0   1   1   0   0  .000  .143  .000 
Nick Blackburn     R   9   1   0   0   0   1   0   2   0   0   0  .111  .200  .111 
Joe Blanton        R   8   2   0   0   2   0   0   4   0   0   0  .250  .250 1.000 
Boof Bonser        R   8   1   0   0   0   0   0   1   0   0   1  .125  .111  .125 
Dallas Braden      L  15   5   2   0   2   0   0   6   0   0   0  .333  .333  .867 
Mark Buehrle       L  30   5   0   1   1   2   0   8   0   0   0  .167  .219  .333 
Paul Byrd          R  11   2   0   0   2   1   0   4   0   0   0  .182  .250  .727 
Daniel Cabrera     R   7   0   0   0   0   1   0   3   0   0   0  .000  .125  .000 
Fernando Cabrera   R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Shawn Camp         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Fausto Carmona     R  14   0   0   0   0   1   0   4   0   0   0  .000  .067  .000 
Alberto Castillo   L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Brett Cecil        L  12   5   1   0   1   0   0   0   0   0   0  .417  .417  .750 
Joba Chamberlain   R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bruce Chen         L  15   5   0   0   1   1   0   5   0   0   2  .333  .333  .533 
Roger Clemens      R   9   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bartolo Colon      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jose Contreras     R   8   0   0   0   0   1   0   1   0   0   1  .000  .100  .000 
Lance Cormier      R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Neal Cotts         L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Jesse Crain        R   8   2   1   0   0   1   0   4   0   0   0  .250  .333  .375 
John Danks         L  17   2   1   0   1   1   0   7   0   0   0  .118  .167  .353 
Kyle Davies        R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Jason Davis        R   6   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Manny Delcarmen    R   5   2   1   0   0   1   0   0   0   0   0  .400  .500  .600 
R.A. Dickey        R   6   1   0   0   1   2   0   0   0   0   0  .167  .375  .667 
Lenny DiNardo      L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
