Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dewey Adkins       R   6   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Johnny Antonelli   L   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Luis Arroyo        L  10   1   0   0   0   1   0   3   0   0   0  .100  .182  .100 
Fred Baczewski     L  22   5   1   0   1   2   0   2   0   3   0  .227  .292  .409 
Dan Bankhead       R   9   3   0   0   1   2   0   3   0   0   0  .333  .455  .667 
Jack Banta         R   5   2   0   0   1   2   0   2   1   0   0  .400  .625 1.000 
Rex Barney         R   4   0   0   0   0   4   0   1   0   0   0  .000  .500  .000 
Ralph Beard        R   3   1   0   0   0   1   0   0   0   0   1  .333  .400  .333 
Al Benton          R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Don Bessent        R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Vern Bickford      R  42  12   0   0   3   6   0   7   1   0   0  .286  .388  .500 
Don Black          R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Joe Black          R  22   3   1   1   1   1   0   5   0   1   0  .136  .174  .409 
Ewell Blackwell    R  32  11   1   0   0  10   1   4   0   0   0  .344  .500  .375 
Tiny Bonham        R   8   3   0   0   1   0   0   1   0   0   0  .375  .375  .750 
Hank Borowy        R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Roger Bowman       L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Cloyd Boyer        R  10   4   2   0   0   2   0   2   0   1   0  .400  .500  .600 
Ralph Branca       R  17   4   0   0   1   5   0   3   0   0   0  .235  .409  .412 
Al Brazle          L  27   5   0   0   0   4   0   5   1   0   0  .185  .313  .185 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Harry Brecheen     L  24   6   0   2   0   3   0   3   0   0   0  .250  .333  .417 
Jim Brosnan        R   6   2   0   0   0   3   1   0   0   0   0  .333  .556  .333 
Bob Buhl           R  26   7   0   0   2   7   1   2   0   0   0  .269  .424  .500 
Lew Burdette       R  40  10   0   0   2   8   0   3   0   0   1  .250  .367  .400 
Milo Candini       R   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Cliff Chambers     L  21   3   1   0   0   3   0   4   0   1   0  .143  .250  .190 
Bob Chesnes        R  14   1   0   0   0   1   0   2   1   0   0  .071  .188  .071 
Bob Chipman        L  17   4   1   0   1   2   0   2   0   1   0  .235  .316  .471 
Bubba Church       R  21   5   0   1   1   4   0   2   0   1   0  .238  .360  .476 
Dave Cole          R   5   3   1   0   1   3   0   0   0   0   0  .600  .750 1.400 
Jackie Collum      L  15   5   0   0   2   2   0   2   0   1   0  .333  .412  .733 
Gene Conley        R  35   9   0   0   2   4   0   2   0   0   0  .257  .333  .429 
Roger Craig        R   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Ray Crone          R  15   5   0   0   0   2   0   1   0   0   0  .333  .412  .333 
Jim Davis          L   8   3   0   0   0   1   0   0   1   0   0  .375  .500  .375 
Cot Deal           R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Murry Dickson      R  89  20   2   2   2   4   0   6   0   0   0  .225  .258  .360 
