Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tim Belcher        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Andy Benes         R   4   1   0   1   0   1   0   1   0   0   0  .250  .400  .750 
Ricky Bones        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kevin Brown        R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Tom Candiotti      R   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
David Cone         R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Cal Eldred         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Alex Fernandez     R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Tom Gordon         R   5   0   0   0   0   2   0   3   0   1   0  .000  .286  .000 
Kevin Gross        R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Mark Gubicza       R   7   2   0   0   1   1   0   2   0   0   0  .286  .375  .714 
Joey Hamilton      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pedro Martinez     R   4   1   0   0   0   1   1   1   0   0   0  .250  .400  .250 
Jack Morris        R   3   1   0   1   0   1   0   2   0   0   0  .333  .500 1.000 
H. Pichardo        R   4   1   0   0   0   0   0   2   1   0   0  .250  .400  .250 
Mariano Rivera     R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Kevin Tapani       R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Woody Williams     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Todd Worrell       R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jaret Wright       R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500
