Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R  14   5   1   0   1   2   0   2   0   0   2  .357  .389  .643 
Hank Aguirre       L   5   1   1   0   0   3   0   1   0   0   0  .200  .500  .400 
John Andre         R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Johnny Antonelli   L  24   5   0   0   0   6   0  10   0   1   0  .208  .367  .208 
Fred Baczewski     L  19   3   1   0   0   0   0   1   0   0   0  .158  .158  .211 
Jim Bagby          R   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Ed Bahr            R   8   2   0   0   0   1   0   0   0   0   0  .250  .333  .250 
Dan Bankhead       R   8   2   0   0   1   6   0   1   0   0   0  .250  .571  .625 
Jack Banta         R   8   2   1   0   0   1   0   1   0   0   0  .250  .333  .375 
Rex Barney         R  12   3   1   0   0   8   1   1   0   1   0  .250  .550  .333 
Frank Baumann      L   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Joe Beggs          R   5   2   0   0   0   1   1   0   0   0   0  .400  .500  .400 
Hank Behrman       R  17   5   2   1   1   2   1   2   0   0   0  .294  .368  .706 
Gary Bell          R  18   3   0   0   1   5   0   3   0   0   1  .167  .333  .333 
Charlie Bicknell   R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Joe Black          R  17   5   1   0   0   3   0   1   0   0   0  .294  .400  .353 
Ewell Blackwell    R  55  18   3   2   4  15   3  11   0   2   0  .327  .471  .673 
Tiny Bonham        R  22   8   3   0   0   0   0   2   0   0   0  .364  .364  .500 
Hank Borowy        R  20   8   3   0   0   3   0   0   0   1   0  .400  .478  .550 
Roger Bowman       L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cloyd Boyer        R  26   4   1   0   1   4   0   2   0   0   0  .154  .267  .308 
Ralph Branca       R  43  13   5   1   3   9   1   7   0   0   0  .302  .423  .674 
Al Brazle          L  53   8   2   0   1   5   0  17   0   1   0  .151  .224  .245 
Harry Brecheen     L  42   6   2   0   1   8   0   7   0   0   0  .143  .280  .262 
Tom Brewer         R  38  10   1   0   0   8   0   9   0   0   0  .263  .391  .289 
Dick Brodowski     R   2   1   0   0   1   3   0   0   0   1   0  .500  .800 2.000 
Jim Bronstad       R   1   0   0   0   0   3   0   0   0   0   0  .000  .750  .000 
Hal Brown          R  19   3   1   0   1   5   0   2   0   0   0  .158  .333  .368 
Bob Buhl           R  12   2   0   1   0   4   1   3   0   0   0  .167  .375  .333 
Jim Bunning        R  34  15   3   0   3   3   0   4   0   0   0  .441  .486  .794 
Lew Burdette       R  32   8   2   0   0   5   0   0   0   0   0  .250  .351  .313 
Ken Burkhart       R   8   4   0   2   0   0   0   1   0   0   0  .500  .500 1.000 
Wally Burnette     R   9   4   1   1   0   0   0   0   0   0   0  .444  .444  .778 
Moe Burtschy       R   6   1   0   0   1   0   0   0   0   0   0  .167  .167  .667 
Bud Byerly         R  13   2   0   0   0   2   0   1   0   0   0  .154  .267  .154 
Harry Byrd         R   5   3   0   0   0   3   0   1   0   0   0  .600  .750  .600 
Tommy Byrne        L   8   1   0   0   0   2   0   4   0   0   0  .125  .300  .125 
Milo Candini       R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Jerry Casale       R   6   0   0   0   0   4   0   3   0   0   0  .000  .400  .000 
Hugh Casey         R   5   1   0   1   0   3   1   3   0   0   0  .200  .500  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Art Ceccarelli     L   5   3   0   1   0   1   0   0   0   1   0  .600  .667 1.000 
Bob Chakales       R   5   2   1   0   0   2   0   1   0   0   0  .400  .571  .600 
Cliff Chambers     L  42  16   3   0   1   7   0   1   3   0   0  .381  .500  .524 
Bob Chesnes        R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Bob Chipman        L  14   1   0   0   0   4   0   3   0   0   0  .071  .278  .071 
Bubba Church       R  35  14   0   2   0   3   0   3   0   0   0  .400  .447  .514 
Al Cicotte         R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Tex Clevenger      R  20   5   1   0   1   3   0   3   0   0   0  .250  .348  .450 
Jim Coates         R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Dave Cole          R  10   3   1   0   0   1   0   1   0   0   0  .300  .364  .400 
Rip Coleman        L   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Jackie Collum      L  13   5   1   0   2   3   0   2   0   2   0  .385  .500  .923 
Gene Conley        R   8   5   2   0   0   1   0   2   0   0   0  .625  .667  .875 
Bill Connelly      R   3   1   0   0   1   2   0   0   0   0   0  .333  .600 1.333 
Sandy Consuegra    R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Al Corwin          R   6   1   0   0   1   2   0   1   0   0   0  .167  .375  .667 
Walt Craddock      L   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Walker Cress       R   3   2   0   0   1   2   0   0   0   0   0  .667  .800 1.667 
Jack Crimian       R   3   2   0   0   0   4   0   0   0   0   0  .667  .857  .667 
Ray Crone          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bud Daley          L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bob Darnell        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jim Davis          L   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Cot Deal           R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Ike Delock         R  17   6   0   0   1   8   0   4   0   0   0  .353  .560  .529 
Murry Dickson      R  86  27   5   1   4  13   1  12   0   0   0  .314  .404  .535 
Art Ditmar         R  36   8   1   0   1   7   0   4   0   0   0  .222  .349  .333 
Blix Donnelly      R  25  10   0   0   1   4   1   1   0   0   0  .400  .483  .520 
Dick Donovan       R  26   5   0   1   3   4   0   4   0   0   2  .192  .281  .615 
Fritz Dorish       R   5   1   0   0   0   2   0   1   0   0   1  .200  .375  .200 
Karl Drews         R  25   5   1   0   0   1   0   0   0   0   0  .200  .231  .240 
Monk Dubiel        R  19   5   0   0   0   0   0   0   0   1   0  .263  .263  .263 
Ryne Duren         R  10   1   0   0   0   5   0   5   0   0   0  .100  .400  .100 
Eddie Erautt       R  13   3   0   0   0   4   1   1   0   0   0  .231  .412  .231 
Paul Erickson      R  11   2   1   0   0   2   0   2   0   0   0  .182  .308  .273 
Carl Erskine       R  63  16   1   0   2  15   1   5   0   1   0  .254  .397  .365 
Roy Face           R   6   2   0   1   0   1   0   1   0   0   0  .333  .429  .667 
