Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Alfredo Aceves     R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Mike Adams         R   6   3   0   1   0   0   0   1   0   0   0  .500  .500  .833 
Cody Allen         R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
H. Alvarez         R  10   2   0   0   1   1   0   3   0   0   0  .200  .273  .500 
Hector Ambriz      R   6   1   1   0   0   1   0   2   0   0   0  .167  .286  .333 
Brett Anderson     L   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Chris Archer       R  13   4   0   0   0   3   0   4   0   0   0  .308  .438  .308 
Burke Badenhop     R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Grant Balfour      R   7   1   0   0   0   3   0   4   0   0   0  .143  .400  .143 
Anthony Bass       R  11   5   0   0   2   0   0   1   0   0   0  .455  .455 1.000 
Trevor Bauer       R   3   1   0   0   0   4   0   1   0   0   0  .333  .714  .333 
Blake Beavan       R  11   2   1   0   0   0   0   1   1   0   0  .182  .250  .273 
Erik Bedard        L   5   1   0   0   0   0   0   2   0   0   1  .200  .167  .200 
Ronald Belisario   R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Joaquin Benoit     R   5   2   0   1   0   0   0   1   0   0   0  .400  .400  .800 
Travis Blackley    L   5   1   0   0   1   1   0   2   0   0   0  .200  .333  .800 
L. Bonilla         R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Brad Boxberger     R   3   2   1   0   1   1   1   1   0   0   0  .667  .750 2.000 
Brad Brach         R   3   1   0   0   0   0   0   2   1   0   0  .333  .500  .333 
Craig Breslow      L   6   3   1   0   0   1   0   2   0   0   0  .500  .571  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Zach Britton       L   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Clay Buchholz      R  16   6   0   0   2   1   0   2   0   0   0  .375  .412  .750 
Mark Buehrle       L   5   2   1   0   1   4   0   1   0   0   0  .400  .667 1.200 
A.J. Burnett       R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Jared Burton       R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
