Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brett Anderson     L  11   2   0   0   0   1   0   4   0   0   0  .182  .250  .182 
Dallas Braden      L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
John Danks         L  14   2   1   0   0   1   0   5   0   0   0  .143  .200  .214 
Scott Diamond      L  10   1   0   0   0   0   0   1   0   0   0  .100  .100  .100 
Gio Gonzalez       L  10   4   0   0   2   1   0   2   0   0   0  .400  .455 1.000 
Matt Harvey        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Derek Holland      L   2   0   0   0   0   4   0   2   0   0   0  .000  .667  .000 
Scott Kazmir       L   3   1   0   0   1   1   0   2   0   0   0  .333  .500 1.333 
Dallas Keuchel     L   4   3   0   0   0   1   0   1   0   0   0  .750  .800  .750 
Jon Lester         L   5   0   0   0   0   1   0   5   0   0   0  .000  .167  .000 
F. Liriano         L   7   0   0   0   0   1   0   2   0   0   0  .000  .125  .000 
Kevin Millwood     R   9   4   1   0   0   0   0   2   1   0   0  .444  .500  .556 
Andy Pettitte      L   5   1   1   0   0   1   0   1   0   0   0  .200  .333  .400 
CC Sabathia        L   5   2   0   0   0   2   0   2   1   0   0  .400  .625  .400 
Chris Sale         L  14   4   0   0   1   0   0   6   0   0   0  .286  .286  .500 
Hector Santiago    L   7   0   0   0   0   1   0   5   0   0   0  .000  .125  .000 
Joe Saunders       L   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
James Shields      R   6   1   1   0   0   0   0   3   0   0   0  .167  .167  .333 
Jered Weaver       R   6   1   0   1   0   0   0   2   0   0   0  .167  .167  .500 
C.J. Wilson        L   8   0   0   0   0   1   0   2   0   0   0  .000  .111  .000
