Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Wilson Alvarez     L   9   3   0   0   0   1   0   2   0   0   0  .333  .400  .333 
Jason Bere         R   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Ricky Bones        R   8   3   1   0   0   1   0   0   0   0   1  .375  .400  .500 
Jim Deshaies       L   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Sid Fernandez      L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Pat Hentgen        R   6   3   0   0   1   0   0   0   0   0   0  .500  .500 1.000 
Joe Hesketh        L   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Randy Johnson      L   9   3   0   0   0   2   0   4   0   0   0  .333  .455  .333 
Jimmy Key          L   9   5   1   0   0   0   0   0   0   0   0  .556  .556  .667 
Al Leiter          L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jack Morris        R   7   2   1   0   0   0   0   2   0   0   0  .286  .286  .429 
Jamie Moyer        L   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Terry Mulholland   L   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Mike Mussina       R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
H. Pichardo        R   5   1   1   0   0   0   0   0   1   0   0  .200  .333  .400 
Kenny Rogers       L  12   3   0   0   0   1   0   2   0   0   0  .250  .308  .250 
Jose Rosado        L   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Kevin Tapani       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Justin Thompson    L   5   2   0   1   0   0   0   3   0   0   0  .400  .400  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Wells        L   4   2   1   1   0   1   0   2   0   0   0  .500  .600 1.250 
Bobby Witt         R   7   2   1   0   0   1   0   3   0   1   0  .286  .375  .429
