Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gerry Arrigo       L   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Jack Baldschun     R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Bo Belinsky        L   4   1   0   0   0   3   0   0   0   0   0  .250  .571  .250 
Dennis Bennett     L   3   0   0   0   0   3   0   0   0   0   0  .000  .500  .000 
Wade Blasingame    L  17   4   0   0   1   3   0   1   0   0   0  .235  .350  .412 
Steve Blass        R   7   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Bobby Bolin        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Nelson Briles      R   8   2   1   0   0   1   0   0   0   0   0  .250  .333  .375 
Ernie Broglio      R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Steve Carlton      L  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Clay Carroll       R   3   0   0   0   0   1   1   0   0   0   0  .000  .250  .000 
Roger Craig        R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Mike Cuellar       L  12   2   1   0   0   1   0   6   0   0   0  .167  .231  .250 
Don Drysdale       R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Dave Eilers        R   3   1   0   0   1   1   1   0   0   0   0  .333  .500 1.333 
Sammy Ellis        R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Dick Ellsworth     L  36   9   1   0   1   5   2   7   0   0   0  .250  .341  .361 
Roy Face           R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bob Friend         R   3   2   1   0   0   0   0   0   0   1   0  .667  .667 1.000 
Woodie Fryman      L  12   3   0   0   0   2   1   1   0   0   0  .250  .357  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rob Gardner        L   5   2   0   0   1   1   0   1   0   0   0  .400  .500 1.000 
Bob Gibson         R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dave Giusti        R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Bob Hendley        L  23   5   0   0   0   3   0   3   0   0   0  .217  .308  .217 
Bill Hepler        L   3   1   0   0   0   2   1   0   0   0   0  .333  .600  .333 
Ron Herbel         R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Ken Holtzman       L  14   3   1   0   1   1   0   2   0   0   0  .214  .267  .500 
Al Jackson         L  22   3   0   0   0   2   0   6   0   0   0  .136  .208  .136 
Larry Jaster       L   5   0   0   0   0   3   1   1   0   0   0  .000  .375  .000 
Fergie Jenkins     R   5   1   0   0   1   0   0   2   0   0   0  .200  .200  .800 
Dick Kelley        L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Sandy Koufax       L  38   7   2   0   1   3   1   8   0   0   0  .184  .244  .316 
Jack Lamabe        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Vern Law           R  10   1   0   0   0   0   0   2   0   0   1  .100  .091  .100 
Denny Lemaster     L  14   5   0   0   1   4   0   1   0   0   1  .357  .474  .571 
Frank Linzy        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Juan Marichal      R   8   2   0   0   0   2   0   4   0   1   0  .250  .400  .250 
Al McBean          R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
