Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fernando Abad      L   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Manny Acosta       R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Mike Adams         R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Jeremy Affeldt     L  15   5   2   0   1   4   0   4   0   0   0  .333  .474  .667 
A. Alfonseca       R   6   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
H. Alvarez         R  19   7   2   0   0   2   0   0   0   0   1  .368  .409  .474 
Chase Anderson     R   5   2   1   0   1   0   0   3   0   0   0  .400  .400 1.200 
Tony Armas         R  14   1   0   0   0   3   0   2   0   0   0  .071  .235  .071 
Jake Arrieta       R  10   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Bronson Arroyo     R  23   7   0   0   2   2   0   2   0   0   0  .304  .360  .565 
Pedro Astacio      R  15   5   2   0   2   0   0   1   0   0   0  .333  .333  .867 
Scott Atchison     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Luis Avilan        L  11   6   0   0   1   0   0   0   1   0   0  .545  .583  .818 
John Axford        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Luis Ayala         R   3   1   0   0   0   2   1   0   0   0   1  .333  .500  .333 
Brandon Backe      R   8   2   0   0   1   0   0   1   0   0   0  .250  .250  .625 
Burke Badenhop     R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Homer Bailey       R  26   6   0   0   0   1   0   4   1   0   1  .231  .276  .231 
Collin Balester    R  11   4   1   0   1   1   0   1   0   0   0  .364  .417  .727 
Miguel Batista     R   7   1   0   0   1   2   0   2   0   0   0  .143  .333  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brandon Beachy     R  17   2   0   0   0   0   0   3   0   0   0  .118  .118  .118 
Josh Beckett       R  30   8   0   0   2   4   0   6   0   1   0  .267  .353  .467 
Joe Beimel         L  17   4   1   0   0   1   0   3   1   0   0  .235  .316  .294 
Matt Belisle       R   9   4   2   0   2   1   1   1   0   0   0  .444  .500 1.333 
Heath Bell         R  13   4   2   0   0   2   0   1   0   0   0  .308  .400  .462 
Armando Benitez    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jeff Bennett       R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Joaquin Benoit     R   5   2   2   0   0   1   1   1   0   0   0  .400  .500  .800 
Kris Benson        R  11   3   0   0   1   1   0   3   0   0   0  .273  .333  .545 
Jason Bergmann     R  24   4   2   1   0   1   0   3   0   0   1  .167  .192  .333 
Chad Bettis        R   8   2   1   0   0   1   0   2   0   0   0  .250  .333  .375 
Chad Billingsley   R  10   2   0   0   0   3   2   4   0   0   0  .200  .385  .200 
Vic Black          R   3   1   0   1   0   1   0   1   0   0   0  .333  .500 1.000 
Joe Blanton        R   4   0   0   0   0   2   0   2   0   0   0  .000  .333  .000 
Jerry Blevins      L   4   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Mitchell Boggs     R   3   0   0   0   0   1   0   0   1   0   1  .000  .333  .000 
Dave Borkowski     R   4   4   1   0   3   0   0   0   0   0   0 1.000 1.000 3.500 
Joe Borowski       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ricky Bottalico    R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bill Bray          L   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doug Brocail       R   3   2   0   0   1   1   1   0   0   0   0  .667  .750 1.667 
