Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fernando Abad      L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jeremy Affeldt     L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
H. Alvarez         R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Jose Alvarez       L   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Brett Anderson     L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Chris Archer       R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Bronson Arroyo     R  16   6   4   0   2   2   0   1   0   0   0  .375  .444 1.000 
Dylan Axelrod      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Homer Bailey       R  16   1   1   0   0   3   0   4   0   0   0  .063  .211  .125 
Scott Baker        R  16   3   3   0   0   1   0   1   0   0   0  .188  .235  .375 
Brian Bannister    R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Chris Bassitt      R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Miguel Batista     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Blake Beavan       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Josh Beckett       R   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
Matt Belisle       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Trevor Bell        R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Jason Berken       R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Nick Blackburn     R  17   5   0   0   1   1   0   2   0   0   0  .294  .333  .471 
Joe Blanton        R  10   2   0   0   0   1   0   1   0   0   0  .200  .273  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jerry Blevins      L   4   2   0   0   0   2   0   2   0   0   0  .500  .667  .500 
Eddie Bonine       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Brad Boxberger     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Craig Breslow      L   5   2   2   0   0   0   0   0   0   0   0  .400  .400  .800 
Aaron Brooks       R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Jonathan Broxton   R   8   3   0   0   0   1   0   2   0   0   0  .375  .444  .375 
