Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Glenn Abbott       R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Vic Albury         L   5   1   0   0   1   2   0   1   0   0   0  .200  .429  .800 
Doyle Alexander    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Arlin        R  12   2   0   0   0   1   0   0   0   0   0  .167  .231  .167 
Bill Atkinson      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Stan Bahnsen       R   8   1   0   0   0   0   0   0   0   1   0  .125  .125  .125 
Steve Barber       L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jim Barr           R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Jim Bibby          R   6   3   0   1   0   0   0   0   0   0   0  .500  .500  .833 
Jack Billingham    R  10   1   0   0   0   0   0   2   0   0   0  .100  .100  .100 
Doug Bird          R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Steve Blass        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Vida Blue          L  13   2   0   0   0   3   0   0   0   0   1  .154  .294  .154 
Bert Blyleven      R  15   5   1   1   0   0   0   5   0   1   1  .333  .313  .533 
Bill Bonham        R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Pedro Borbon       R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Nelson Briles      R   9   4   1   0   0   0   0   0   0   1   0  .444  .444  .556 
Jackie Brown       R   7   1   0   0   0   0   0   1   1   0   1  .143  .222  .143 
Ron Bryant         L  14   6   0   0   1   1   0   0   0   0   0  .429  .467  .643 
Tom Burgmeier      L   2   2   1   0   0   1   0   0   0   0   1 1.000  .750 1.500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Busby        R  17   4   0   1   0   0   0   0   0   1   0  .235  .235  .353 
Mike Caldwell      L  14   3   1   0   1   1   0   0   0   0   0  .214  .267  .500 
Rick Camp          R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Bill Campbell      R   4   2   0   0   0   1   0   0   0   1   0  .500  .600  .500 
John Candelaria    L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Doug Capilla       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Steve Carlton      L  24   4   2   0   0   0   0   2   0   0   0  .167  .167  .250 
Bill Champion      R   8   2   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Reggie Cleveland   R  13   2   1   0   0   1   0   1   0   1   0  .154  .214  .231 
David Clyde        L   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Jim Colborn        R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Ron Cook           L   3   2   0   0   0   0   0   0   0   1   0  .667  .667  .667 
Ray Corbin         R   8   3   0   0   1   0   0   0   0   0   0  .375  .375  .750 
Mike Cuellar       L  10   3   0   0   0   1   0   0   0   0   0  .300  .364  .300 
John Cumberland    L   8   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Bruce Dal Canton   R  12   2   1   0   0   0   0   1   0   0   0  .167  .167  .250 
Joe Decker         R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Adrian Devine      R   3   0   0   0   0   1   0   2   0   1   0  .000  .250  .000 
Larry Dierker      R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Pat Dobson         R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dick Drago         R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Jamie Easterly     L   7   4   1   0   0   1   0   1   0   0   0  .571  .625  .714 
Dock Ellis         R   4   2   0   1   0   0   0   0   0   0   0  .500  .500 1.000 
Pete Falcone       L   2   0   0   0   0   3   0   0   0   0   0  .000  .600  .000 
Rollie Fingers     R   9   5   1   1   0   0   0   1   0   0   0  .556  .556  .889 
Al Fitzmorris      R   8   1   1   0   0   0   0   0   0   0   0  .125  .125  .250 
