Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Aguilera      R  11   3   2   0   0   0   0   2   0   0   0  .273  .273  .455 
Neil Allen         R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Larry Andersen     R   3   0   0   0   0   1   1   1   0   0   0  .000  .250  .000 
Joaquin Andujar    R  26  10   2   0   0   0   0   3   0   0   1  .385  .370  .462 
Kevin Appier       R   9   0   0   0   0   1   0   2   0   0   0  .000  .100  .000 
Luis Aquino        R   5   2   1   0   0   2   0   1   0   0   0  .400  .571  .600 
Jay Baller         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Steve Bedrosian    R  12   2   0   0   1   1   0   2   0   0   0  .167  .231  .417 
Bruce Berenyi      R  12   4   1   1   0   3   0   1   0   1   0  .333  .467  .583 
Mike Boddicker     R   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Tommy Boggs        R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Chris Bosio        R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Kevin Brown        R  11   2   0   0   0   0   0   0   0   0   0  .182  .182  .182 
Warren Brusstar    R   3   1   0   0   0   1   0   0   0   0   1  .333  .400  .333 
Todd Burns         R   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Ray Burris         R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Rick Camp          R  12   3   1   0   0   0   0   0   0   0   0  .250  .250  .333 
John Candelaria    L   7   2   1   0   0   0   0   2   0   0   0  .286  .286  .429 
Tom Candiotti      R  10   4   0   2   0   0   0   3   0   0   1  .400  .364  .800 
L. Christenson     R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Roger Clemens      R  10   3   1   0   0   0   0   3   0   0   0  .300  .300  .400 
Danny Cox          R   8   1   0   0   0   1   0   0   0   0   0  .125  .222  .125 
Ron Darling        R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Danny Darwin       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mark Davis         L   2   1   0   0   0   1   0   0   0   0   1  .500  .500  .500 
Jeff Dedmon        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jose DeLeon        R   4   1   0   1   0   0   0   1   0   0   0  .250  .250  .750 
Luis DeLeon        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
John Denny         R   8   3   1   0   0   0   0   1   0   0   0  .375  .375  .500 
Frank DiPino       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dennis Eckersley   R  11   3   0   0   0   0   0   3   1   0   0  .273  .333  .273 
J. Eichelberger    R  12   4   0   2   1   1   0   1   0   0   0  .333  .385  .917 
Tom Filer          R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Ken Forsch         R   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Bob Forsch         R  10   3   0   0   0   3   0   0   0   0   0  .300  .462  .300 
George Frazier     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Brent Gaff         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Rich Gale          R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Gene Garber        R  10   4   0   1   0   0   0   1   0   0   0  .400  .400  .600 
Mike Gardiner      R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dave Goltz         R   7   2   0   0   0   0   0   3   0   0   0  .286  .286  .286 
Dwight Gooden      R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tom Gordon         R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Tom Gorman         L   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Rich Gossage       R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Kevin Gross        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Mark Gubicza       R   5   5   0   0   1   0   0   0   0   0   0 1.000 1.000 1.600 
Lee Guetterman     L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bill Gullickson    R  20   2   0   0   0   1   0   0   0   0   0  .100  .143  .100 
Erik Hanson        R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Pete Harnisch      R   2   1   0   0   1   2   2   0   0   0   0  .500  .750 2.000 
Andy Hawkins       R   6   1   1   0   0   1   0   2   0   0   0  .167  .286  .333 
Tom Henke          R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Mike Henneman      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Orel Hershiser     R  12   5   2   0   0   0   0   2   0   0   1  .417  .385  .583 
Burt Hooton        R   9   1   0   0   0   2   0   2   0   0   0  .111  .273  .111 
Charlie Hough      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ken Howell         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
LaMarr Hoyt        R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Tom Hume           R   9   2   0   0   0   1   1   1   0   0   0  .222  .300  .222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
S. Kamieniecki     R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Kurt Kepshire      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mark Knudson       R  14   7   1   0   1   0   0   0   0   0   1  .500  .467  .786 
Frank LaCorte      R   6   0   0   0   0   2   0   5   0   0   0  .000  .250  .000 
Mike LaCoss        R  25   9   2   1   0   1   0   2   0   0   0  .360  .385  .520 
Terry Leach        R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Craig Lefferts     L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Gary Lucas         L   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ed Lynch           R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Rick Mahler        R  12   3   1   0   1   1   0   0   0   0   1  .250  .286  .583 
Rick Matula        R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Lance McCullers    R   6   3   2   0   0   1   0   0   0   0   0  .500  .571  .833 
Ben McDonald       R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jack McDowell      R   4   0   0   0   0   1   0   0   0   1   0  .000  .200  .000 
Roger McDowell     R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Andy McGaffigan    R   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Larry McWilliams   L   4   1   0   0   0   0   0   2   1   0   0  .250  .400  .250 
Bob Milacki        R   7   2   1   0   0   0   0   2   0   1   0  .286  .286  .429 
Greg Minton        R   5   3   1   0   1   0   0   0   0   0   0  .600  .600 1.400 
John Montefusco    R   8   1   0   0   0   0   0   0   1   0   0  .125  .222  .125 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Moore         R   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 
Jack Morris        R   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
Paul Moskau        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Steve Mura         R   8   2   0   0   0   2   0   0   0   0   0  .250  .400  .250 
Charles Nagy       R   5   2   0   0   0   1   0   0   0   0   1  .400  .429  .400 
Tom Niedenfuer     R  10   0   0   0   0   1   0   5   0   0   0  .000  .091  .000 
Joe Niekro         R  19   4   0   1   0   2   0   3   0   0   0  .211  .286  .316 
Phil Niekro        R  21   6   0   0   1   0   0   2   0   0   0  .286  .286  .429 
Steve Olin         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Gregg Olson        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jesse Orosco       L   3   0   0   0   0   2   0   1   0   1   0  .000  .400  .000 
David Palmer       R   2   2   0   0   0   2   0   0   0   1   0 1.000 1.000 1.000 
Frank Pastore      R  14   3   1   0   0   2   0   0   0   1   0  .214  .313  .286 
Alejandro Pena     R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Melido Perez       R   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Pascual Perez      R  11   2   0   1   0   1   0   1   0   0   0  .182  .250  .364 
Ted Power          R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Joe Price          L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Charlie Puleo      R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Chuck Rainey       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeff Reardon       R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Rick Reuschel      R   5   2   1   1   0   0   0   0   0   0   0  .400  .400 1.000 
Rick Rhoden        R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
J.R. Richard       R   3   0   0   0   0   1   1   2   0   0   0  .000  .250  .000 
Bert Roberge       R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Jeff Robinson      R   6   3   1   0   0   1   0   1   0   0   0  .500  .571  .667 
Jeff Robinson      R   3   0   0   0   0   1   0   0   0   1   0  .000  .250  .000 
Steve Rogers       R   9   2   0   0   0   2   0   0   0   0   0  .222  .364  .222 
Vern Ruhle         R  13   2   1   0   1   0   0   1   0   0   0  .154  .154  .462 
Jeff Russell       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Dick Ruthven       R  14   3   1   0   2   1   0   1   0   0   0  .214  .267  .714 
Nolan Ryan         R  20   5   2   0   0   2   0   8   0   0   0  .250  .318  .350 
Bret Saberhagen    R  10   2   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Scott Sanderson    R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Bill Scherrer      L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mike Scott         R  16   5   1   1   0   1   0   2   0   0   0  .313  .353  .500 
Tom Seaver         R  13   1   0   0   0   2   0   2   0   0   0  .077  .200  .077 
Bob Sebra          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bob Shirley        L   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Eric Show          R  19   5   1   0   0   2   0   0   1   0   0  .263  .364  .316 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doug Sisk          R   5   3   2   0   0   1   1   0   0   0   0  .600  .667 1.000 
Bryn Smith         R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Dave Smith         R   6   1   1   0   0   2   0   1   0   0   0  .167  .375  .333 
Lee Smith          R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Mario Soto         R   6   1   0   0   0   3   0   1   0   0   0  .167  .444  .167 
Dave Stewart       R   9   4   0   0   0   2   0   0   0   0   0  .444  .545  .444 
Dave Stieb         R   3   0   0   0   0   2   0   0   0   1   0  .000  .400  .000 
Todd Stottlemyre   R   8   3   0   0   0   0   0   1   0   1   0  .375  .375  .375 
John Stuper        R   8   0   0   0   0   2   0   0   0   0   0  .000  .200  .000 
Rick Sutcliffe     R  17   4   1   0   0   0   0   2   0   0   0  .235  .235  .294 
Bruce Sutter       R   9   2   1   1   0   1   0   2   0   0   0  .222  .300  .556 
Don Sutton         R   9   1   0   0   0   1   0   3   0   0   0  .111  .200  .111 
Kevin Tapani       R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Kent Tekulve       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Walt Terrell       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bobby Thigpen      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dick Tidrow        R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Mike Torrez        R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
F. Valenzuela      L   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Duane Ward         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Wegman        R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Bob Welch          R  21   5   0   0   0   0   0   5   0   1   0  .238  .238  .238 
Ed Whitson         R  13   2   0   0   1   1   0   3   0   0   0  .154  .214  .385 
Frank Williams     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mark Williamson    R   3   1   0   1   0   1   1   0   0   0   1  .333  .400 1.000 
Bobby Witt         R   7   3   0   0   0   0   0   2   0   0   0  .429  .429  .429
