Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Woody Abernathy    L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Ace Adams          R  14   3   0   0   0   0   0   1   0   0   0  .214  .214  .214 i
Nate Andrews       R  15   2   0   0   0   0   0   0   0   1   0  .133  .133  .133 i
Johnny Antonelli   L   5   1   0   0   0   0   0   0   0   1   0  .200  .200  .200 
Jim Bagby          R   8   4   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Ed Bahr            R  22   6   0   0   0   2   0   4   0   3   0  .273  .333  .273 
Jack Banta         R   5   2   0   0   0   1   0   0   1   0   0  .400  .571  .400 
Rex Barney         R  35   5   1   0   0   1   0   4   0   0   0  .143  .167  .171 
Red Barrett        R  45  10   0   0   0   1   0   1   0   0   0  .222  .239  .222 
Frank Barrett      R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Dick Barrett       R  13   6   1   0   0   0   0   0   0   0   0  .462  .462  .538 i
Russ Bauers        R   7   2   0   0   0   1   0   0   0   1   0  .286  .375  .286 
Johnny Beazley     R  11   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Joe Beggs          R  12   5   1   0   0   1   0   0   0   0   0  .417  .462  .500 
Hank Behrman       R  21   5   0   0   0   2   1   0   0   1   0  .238  .304  .238 
Vern Bickford      R  20   7   1   0   0   1   1   0   0   0   0  .350  .381  .400 
Hi Bithorn         R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Ewell Blackwell    R  36   5   1   0   0   2   0   2   0   0   0  .139  .184  .167 
Tiny Bonham        R  21   8   0   1   0   0   0   1   0   0   0  .381  .381  .476 
Hank Borowy        R  69  21   1   0   0   1   1   1   0   1   0  .304  .314  .319 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Bowman         R  14   4   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Ralph Branca       R  48  16   4   0   0   5   1   1   0   5   0  .333  .396  .417 
Al Brazle          L  41  10   2   0   0   1   0   1   0   0   0  .244  .262  .293 
Harry Brecheen     L  38   7   2   0   0   0   0   0   0   0   0  .184  .184  .237 
Jack Brewer        R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 i
Ken Brondell       R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Mike Budnick       R   5   3   1   0   0   1   1   0   0   0   0  .600  .667  .800 
Cy Buker           R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ken Burkhart       R  18   5   0   0   0   0   0   0   0   0   0  .278  .278  .278 
Max Butcher        R  12   4   0   0   0   0   0   0   0   0   0  .333  .333  .333 i
Bob Carpenter      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Arnold Carter      L  13   3   0   0   0   0   0   0   0   1   0  .231  .231  .231 
Hugh Casey         R  14   7   1   0   0   0   0   0   0   0   0  .500  .500  .571 
Cliff Chambers     L   6   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Bob Chesnes        R  20  10   2   0   0   0   0   0   0   0   0  .500  .500  .600 
Bob Chipman        L  13   6   0   0   0   2   1   0   0   1   0  .462  .533  .462 i
Bubba Church       R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Mort Cooper        R  15   3   0   0   0   0   0   0   0   0   0  .200  .200  .200 
C. Cuccurullo      L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 i
Frank Dasso        R   7   3   1   0   0   0   0   0   0   0   0  .429  .429  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Curt Davis         R  16   8   1   0   0   0   0   0   0   0   0  .500  .500  .563 
Tommy de la Cruz   R  16   4   2   0   0   1   1   1   0   0   0  .250  .294  .375 
Paul Derringer     R  14   2   0   0   0   0   0   0   0   1   0  .143  .143  .143 i
Murry Dickson      R  42   9   1   2   0   1   1   3   0   0   0  .214  .233  .333 
Blix Donnelly      R   4   2   1   1   0   0   0   0   0   0   0  .500  .500 1.250 
Monk Dubiel        R   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
Eddie Erautt       R  21   5   1   0   0   0   0   0   0   0   0  .238  .238  .286 
Paul Erickson      R  22   7   0   0   0   0   0   0   0   2   0  .318  .318  .318 i
Carl Erskine       R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
