Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Acevedo       R  16   6   2   0   0   1   0   2   0   0   0  .375  .412  .500 
Juan Acevedo       R   9   4   1   0   1   0   0   1   0   0   0  .444  .444  .889 
Terry Adams        R   9   2   1   0   0   5   0   3   0   1   0  .222  .500  .333 
A. Alfonseca       R  13   2   0   0   0   1   0   0   0   0   0  .154  .214  .154 
Armando Almanza    L   4   2   0   0   1   1   0   2   0   0   0  .500  .600 1.250 
Wilson Alvarez     L   5   0   0   0   0   2   0   0   0   0   0  .000  .286  .000 
Brian Anderson     L  15   6   1   1   1   1   0   1   0   0   0  .400  .438  .800 
Jimmy Anderson     L  10   6   1   0   0   0   0   0   0   0   0  .600  .600  .700 
Rick Ankiel        L   8   4   0   0   1   0   0   1   0   1   0  .500  .500  .875 
Kevin Appier       R   7   2   0   0   1   0   0   0   0   0   0  .286  .286  .714 
Jamie Arnold       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Rolando Arrojo     R   3   2   0   0   0   0   0   0   1   0   0  .667  .750  .667 
Bronson Arroyo     R   6   4   0   0   0   1   1   0   0   1   0  .667  .714  .667 
Andy Ashby         R  18   4   2   0   1   0   0   2   0   0   0  .222  .222  .500 
Pedro Astacio      R  12   2   1   0   0   4   0   1   0   0   0  .167  .375  .250 
Manny Aybar        R   9   2   1   0   1   0   0   3   0   0   1  .222  .200  .667 
Brandon Backe      R   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Scott Baker        R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Brian Bannister    R  15   1   1   0   0   1   0   2   0   0   0  .067  .125  .133 
Miguel Batista     R  12   5   0   0   1   0   0   3   0   0   0  .417  .417  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Josh Beckett       R  34   8   5   1   0   1   0   5   0   1   1  .235  .250  .441 
Joe Beimel         L   7   3   1   0   0   0   0   1   1   0   0  .429  .500  .571 
Heath Bell         R   5   3   1   0   0   1   0   0   0   0   0  .600  .667  .800 
Rob Bell           R   8   1   1   0   0   0   0   2   0   0   1  .125  .111  .250 
Andy Benes         R  10   1   0   0   0   1   0   0   0   0   0  .100  .182  .100 
Armando Benitez    R  12   3   0   0   2   4   0   1   0   0   0  .250  .438  .750 
Joel Bennett       R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Joaquin Benoit     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Kris Benson        R  22  10   3   0   3   2   1   1   0   0   0  .455  .500 1.000 
Jason Bere         R   8   4   2   0   1   0   0   1   0   0   0  .500  .500 1.125 
Adam Bernero       R   4   2   0   0   1   2   0   0   0   0   0  .500  .667 1.250 
Joe Blanton        R  17   6   3   0   0   0   0   2   0   0   0  .353  .353  .529 
Brian Boehringer   R  10   4   0   0   1   0   0   1   0   0   0  .400  .400  .700 
Brian Bohanon      L  10   5   2   0   0   1   0   0   0   0   0  .500  .545  .700 
Jeremy Bonderman   R   9   1   1   0   0   0   0   3   0   0   1  .111  .100  .222 
