Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Juan Agosto        L   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Rick Aguilera      R  14   2   0   0   1   0   0   7   0   1   0  .143  .143  .357 
Neil Allen         R  10   1   0   0   0   2   0   3   0   0   0  .100  .250  .100 
Larry Andersen     R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Joaquin Andujar    R  26   8   4   0   0   1   0   7   0   0   0  .308  .333  .462 
Jay Baller         R   9   1   0   0   0   0   0   2   1   0   0  .111  .200  .111 
Steve Bedrosian    R  12   3   1   0   0   2   0   3   0   0   0  .250  .357  .333 
Tim Belcher        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mike Bielecki      R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Tim Birtsas        L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Vida Blue          L  11   2   0   0   1   1   0   3   0   0   0  .182  .250  .455 
Greg Booker        R   6   0   0   0   0   4   0   0   0   0   0  .000  .400  .000 
Rich Bordi         R   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom Browning       L  27  10   2   0   2   2   0   5   0   0   0  .370  .414  .667 
Warren Brusstar    R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Tim Burke          R  13   2   0   0   0   1   0   3   0   0   0  .154  .214  .154 
Ray Burris         R   8   1   1   0   0   1   0   2   2   0   0  .125  .364  .250 
Rick Camp          R   8   1   1   0   0   2   0   0   0   0   0  .125  .300  .250 
Bill Campbell      R   4   2   1   0   1   0   0   1   0   0   0  .500  .500 1.500 
John Candelaria    L   9   3   1   0   0   1   0   1   0   0   1  .333  .364  .444 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Carlton      L   5   2   1   0   0   2   0   0   0   0   0  .400  .571  .600 
Don Carman         L  13   3   0   0   0   3   0   1   0   0   1  .231  .353  .231 
David Cone         R   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Danny Cox          R  29   6   1   0   3   3   0   3   1   0   0  .207  .303  .552 
Tim Crews          R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Ron Darling        R  30   5   1   0   1   9   1   3   0   0   0  .167  .359  .300 
Danny Darwin       R  14   1   1   0   0   1   0   4   0   0   0  .071  .133  .143 
Mark Davis         L  17   6   0   0   0   3   1   5   1   0   0  .353  .476  .353 
Ron Davis          R   4   0   0   0   0   0   0   2   1   0   0  .000  .200  .000 
Bill Dawley        R  12   5   1   0   1   2   0   3   0   0   0  .417  .500  .750 
Jeff Dedmon        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jose DeLeon        R  10   0   0   0   0   0   0   5   0   1   0  .000  .000  .000 
John Denny         R   7   2   0   0   1   1   0   1   0   0   0  .286  .375  .714 
Jim Deshaies       L  18   3   0   0   1   4   0   5   0   0   0  .167  .318  .333 
Carlos Diaz        L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Frank DiPino       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
