Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hank Aguirre       L  58  11   1   0   1   3   0   9   0   0   0  .190  .230  .259 
Jack Aker          R   8   0   0   0   0   3   3   2   0   0   0  .000  .273  .000 
Bob Allen          L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Bob Anderson       R  15   7   1   0   2   1   0   2   1   0   0  .467  .529  .933 
Gerry Arrigo       L   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Luis Arroyo        L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Steve Barber       L  35  11   2   0   1   1   0   6   0   0   0  .314  .333  .457 
Norm Bass          R  19   4   0   0   0   1   0   2   0   0   1  .211  .238  .211 
Frank Baumann      L  17   3   0   0   1   0   0   5   0   0   0  .176  .176  .353 
Bo Belinsky        L   8   2   0   0   0   1   0   2   0   0   0  .250  .333  .250 
Gary Bell          R  31  11   1   0   3   4   1   5   0   0   0  .355  .429  .677 
Dennis Bennett     L  18   8   3   0   0   1   0   1   0   0   0  .444  .474  .611 
Gil Blanco         L   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Gary Blaylock      R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Joe Bonikowski     R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dick Bosman        R   7   1   1   0   0   0   0   0   0   0   0  .143  .143  .286 
Dave Boswell       R  24   8   2   0   2   6   0   3   0   0   0  .333  .467  .667 
Jim Bouton         R  50   9   1   0   3   3   0   6   0   0   0  .180  .226  .380 
Ted Bowsfield      L  11   5   0   0   1   0   0   1   0   1   0  .455  .455  .727 
Gene Brabender     R  12   3   1   0   0   1   0   2   0   0   0  .250  .308  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bucky Brandon      R  13   6   0   0   2   0   0   2   0   0   0  .462  .462  .923 
Tom Brewer         R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Marshall Bridges   L  12   5   0   0   1   1   0   1   0   1   0  .417  .462  .667 
John Briggs        R   7   0   0   0   0   2   0   1   0   0   0  .000  .222  .000 
Jim Brosnan        R  11   1   0   0   1   1   0   3   0   0   0  .091  .167  .364 
Hal Brown          R  11   5   1   0   0   1   0   1   0   0   1  .455  .462  .545 
Bob Bruce          R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
George Brunet      L  21   7   0   0   1   6   0   4   0   0   0  .333  .481  .476 
Bob Buhl           R  10   0   0   0   0   3   0   1   0   0   0  .000  .231  .000 
Wally Bunker       R  26   8   0   0   2   2   0   2   0   0   0  .308  .357  .538 
Jim Bunning        R  36  10   0   1   2   7   0   6   0   1   1  .278  .386  .500 
Lew Burdette       R  23   6   0   0   1   0   0   4   0   0   0  .261  .261  .391 
Pete Burnside      L  17   2   0   0   0   2   0   3   0   0   1  .118  .200  .118 
John Buzhardt      R  49  15   4   0   4   3   1   3   1   0   0  .306  .358  .633 
Don Cardwell       R   8   1   0   0   1   1   0   2   0   0   0  .125  .222  .500 
Dean Chance        R  41   8   1   0   0   5   1   8   0   0   0  .195  .283  .220 
Tom Cheney         R  15   5   0   0   1   1   0   1   0   0   0  .333  .375  .533 
Pete Cimino        R   4   1   0   0   0   1   1   0   0   0   0  .250  .400  .250 
Galen Cisco        R   5   2   0   0   0   1   0   0   0   0   1  .400  .429  .400 
Rickey Clark       R  10   0   0   0   0   1   0   3   0   0   0  .000  .091  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Coates         R  18   6   2   0   1   2   0   1   0   0   0  .333  .400  .611 
Joe Coleman        R   4   2   1   0   0   3   0   1   0   0   0  .500  .714  .750 
Gene Conley        R  19   8   0   0   0   1   0   2   1   0   0  .421  .476  .421 
Roger Craig        R   3   1   1   0   0   1   1   0   0   0   0  .333  .500  .667 
Ray Culp           R   6   1   0   0   0   2   0   1   0   0   0  .167  .375  .167 
Bill Dailey        R   5   3   1   0   0   2   1   0   0   0   0  .600  .714  .800 
Bud Daley          L  12   4   0   0   0   2   0   4   0   0   0  .333  .429  .333 
Bennie Daniels     R  31  10   2   1   1   2   0   4   0   0   0  .323  .364  .548 
Dave DeBusschere   R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Ike Delock         R  16   9   2   0   3   2   0   1   0   0   1  .563  .579 1.250 
Jim Dickson        R   5   1   1   0   0   2   0   1   0   0   0  .200  .429  .400 
Bill Dillman       R   5   0   0   0   0   1   0   1   1   0   0  .000  .286  .000 
Art Ditmar         R  11   6   0   1   3   0   0   1   0   0   0  .545  .545 1.545 
Chuck Dobson       R  19   5   1   0   1   1   1   3   0   0   0  .263  .300  .474 
Pat Dobson         R   5   1   0   0   1   1   0   0   1   0   0  .200  .429  .800 
Dick Donovan       R  17   7   2   0   0   1   1   1   0   0   2  .412  .400  .529 
Al Downing         L  24   3   0   0   1   3   0   5   1   0   0  .125  .250  .250 
Moe Drabowsky      R  33  13   2   0   3   2   0   6   0   0   1  .394  .417  .727 
Dick Drott         R  13   1   1   0   0   1   0   4   0   0   0  .077  .143  .154 
Don Drysdale       R  22   4   1   0   1   2   0   7   0   0   0  .182  .250  .364 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Duckworth      R   9   4   0   0   0   3   0   2   0   0   1  .444  .538  .444 
Bob Duliba         R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Arnold Earley      L  23   3   1   0   1   1   0   5   1   2   0  .130  .200  .304 
Bill Edgerton      L   5   4   0   0   1   0   0   0   0   0   0  .800  .800 1.400 
Dick Egan          L   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Don Elston         R   9   2   0   0   1   0   0   4   0   0   0  .222  .222  .556 
Chuck Estrada      R  21   6   2   0   1   3   1   3   0   0   0  .286  .375  .524 
Roy Face           R   3   0   0   0   0   2   2   1   0   0   0  .000  .400  .000 
Bill Fischer       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Eddie Fisher       R  31   5   0   0   2   1   0   3   0   0   0  .161  .188  .355 
Jack Fisher        R  20   1   0   0   1   3   0   3   0   0   0  .050  .174  .200 
Whitey Ford        L  55  12   1   0   3   5   0  16   0   0   1  .218  .279  .400 
Mike Fornieles     R  13   5   1   0   0   1   0   2   0   0   0  .385  .429  .462 
Terry Fox          R  16   5   0   0   0   1   0   1   0   0   0  .313  .353  .313 
Paul Foytack       R   7   0   0   0   0   5   1   0   0   0   0  .000  .417  .000 
Bob Friend         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Frank Funk         R   7   1   0   0   1   0   0   1   0   0   0  .143  .143  .571 
Doug Gallagher     L   4   2   0   0   0   1   0   2   0   0   0  .500  .600  .500 
Fred Gladding      R  12   7   1   1   1   3   1   1   0   0   0  .583  .667 1.083 
Mudcat Grant       R  65  17   1   0   6   8   0   6   1   0   2  .262  .342  .554 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Harvey Haddix      L  10   1   0   0   1   2   0   3   1   0   1  .100  .286  .400 
