Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Johnny Antonelli   L  15   4   1   0   0   4   0   3   0   0   0  .267  .421  .333 
Jim Bagby          R   4   3   1   0   0   1   0   0   0   0   0  .750  .800 1.000 
Ed Bahr            R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Jack Banta         R   7   4   2   0   0   0   0   0   0   0   0  .571  .571  .857 
Rex Barney         R  30   5   0   0   1   5   0   2   0   0   0  .167  .286  .267 
Red Barrett        R  22   6   0   1   0   3   0   1   0   0   0  .273  .360  .364 
Joe Beggs          R  19   5   1   0   0   0   0   0   0   0   0  .263  .263  .316 
Hank Behrman       R  18   9   1   1   0   4   0   0   0   0   0  .500  .591  .667 
Vern Bickford      R  74  20   2   0   1   3   0   3   1   0   0  .270  .308  .338 
Charlie Bishop     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Black          R   9   5   0   0   0   0   0   0   0   0   0  .556  .556  .556 
Ewell Blackwell    R  77  24   6   1   0   7   0   4   0   0   0  .312  .369  .416 
Tiny Bonham        R  20   5   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Roger Bowman       L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Cloyd Boyer        R  17   4   2   0   0   0   0   0   0   0   0  .235  .235  .353 
Ralph Branca       R  56  16   3   1   0   7   0   1   1   0   0  .286  .375  .375 
Al Brazle          L  67  22   2   0   0   5   1   8   0   0   0  .328  .375  .358 
Harry Brecheen     L  83  17   5   1   1   6   1   3   0   3   0  .205  .258  .325 
Hal Brown          R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Budnick       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Bob Buhl           R   7   4   0   0   0   0   0   0   0   0   0  .571  .571  .571 
Lew Burdette       R  17   6   1   0   0   2   0   0   0   0   0  .353  .421  .412 
Ken Burkhart       R  12   4   2   0   0   0   0   0   0   1   0  .333  .333  .500 
Bud Byerly         R   3   0   0   0   0   3   1   0   0   0   0  .000  .500  .000 
Harry Byrd         R   5   3   0   0   1   1   0   0   0   0   0  .600  .667 1.200 
Don Carlsen        R  10   2   1   0   0   2   0   0   0   0   0  .200  .333  .300 
Hugh Casey         R  14   5   1   0   1   1   0   1   0   0   0  .357  .400  .643 
Cliff Chambers     L  13   1   0   0   0   2   0   0   0   0   0  .077  .200  .077 
Bob Chesnes        R   6   2   1   0   0   2   0   0   0   0   0  .333  .500  .500 
Bubba Church       R  10   5   1   0   0   1   0   0   0   0   0  .500  .545  .600 
Tex Clevenger      R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Dave Cole          R  16   3   0   0   0   2   0   0   0   0   0  .188  .278  .188 
Jackie Collum      L   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Mort Cooper        R  14   7   0   0   0   1   1   1   0   0   0  .500  .533  .500 
Al Corwin          R  24   7   0   0   0   1   0   0   0   0   0  .292  .320  .292 
Roger Craig        R   5   1   0   0   0   2   0   1   0   0   0  .200  .429  .200 
Murry Dickson      R  86  36   8   0   0   7   2   3   0   0   0  .419  .462  .512 
Sonny Dixon        R   8   2   1   0   0   1   0   0   0   0   0  .250  .333  .375 
Blix Donnelly      R  20   6   2   0   0   0   0   1   0   0   0  .300  .300  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dick Donovan       R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
