Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  12   2   0   0   0   2   0   1   0   0   0  .167  .286  .167 
Rick Aguilera      R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Wilson Alvarez     L  20   6   1   0   0   1   0   5   0   0   0  .300  .333  .350 
Brian Anderson     L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Luis Andujar       R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Kevin Appier       R   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Rolando Arrojo     R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Andy Ashby         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Steve Avery        L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bobby Ayala        R   8   4   0   0   0   0   0   2   0   0   0  .500  .500  .500 
James Baldwin      R  12   3   0   0   1   2   0   1   0   0   1  .250  .333  .500 
Tim Belcher        R  19   3   1   0   0   0   0   3   0   0   0  .158  .158  .211 
Stan Belinda       R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Armando Benitez    R   2   0   0   0   0   1   0   2   0   0   1  .000  .250  .000 
Jason Bere         R  10   4   1   0   0   1   0   4   0   0   0  .400  .455  .500 
Brian Bohanon      L   7   3   0   0   0   1   1   0   0   0   0  .429  .500  .429 
Ricky Bones        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dave Borkowski     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Chris Bosio        R  15   3   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Billy Brewer       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chris Brock        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kevin Brown        R  15   3   0   0   1   1   0   4   0   0   0  .200  .250  .400 
Mark Buehrle       L   8   4   0   0   1   0   0   0   0   1   0  .500  .500  .875 
Dave Burba         R  13   1   0   0   0   0   0   4   0   0   0  .077  .077  .077 
John Burkett       R   7   3   1   0   0   0   0   0   0   0   0  .429  .429  .571 
Paul Byrd          R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Chris Carpenter    R  11   1   0   0   0   1   0   3   0   0   0  .091  .167  .091 
Tony Castillo      L   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Carlos Castillo    R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Frank Castillo     R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Mike Christopher   R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mark Clark         R   6   0   0   0   0   1   0   3   0   0   0  .000  .143  .000 
Roger Clemens      R  14   1   0   0   0   2   0   5   0   0   1  .071  .176  .071 
Matt Clement       R   4   2   0   0   1   2   0   0   0   0   0  .500  .667 1.250 
Ken Cloude         R   7   2   2   0   0   0   0   1   0   0   0  .286  .286  .571 
Bartolo Colon      R   3   0   0   0   0   1   0   3   0   0   1  .000  .200  .000 
David Cone         R  14   2   0   0   0   1   0   4   1   0   0  .143  .250  .143 
Tim Crabtree       R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Omar Daal          L  10   4   1   0   0   0   0   0   0   1   0  .400  .400  .500 
Danny Darwin       R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tim Davis          L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jerry DiPoto       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
John Doherty       R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
John Dopson        R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Doug Drabek        R   7   2   0   0   0   0   0   2   0   0   1  .286  .250  .286 
Dennis Eckersley   R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Cal Eldred         R  12   2   0   0   0   1   0   2   0   0   0  .167  .231  .167 
Scott Erickson     R  26   7   0   0   0   2   0   0   0   0   0  .269  .321  .269 
Kelvim Escobar     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Vaughn Eshelman    L   5   3   0   0   1   0   0   0   0   0   0  .600  .600 1.200 
Hector Fajardo     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jeff Fassero       L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Alex Fernandez     R  11   1   0   0   0   2   0   0   0   0   0  .091  .231  .091 
Sid Fernandez      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Fetters       R   9   3   1   0   0   0   0   4   0   0   0  .333  .333  .444 
Chuck Finley       L  21   8   0   0   0   2   0   3   0   0   1  .381  .417  .381 
Gar Finnvold       R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Dave Fleming       L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Bryce Florie       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Keith Foulke       R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Freddy Garcia      R   9   3   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Greg Gohr          R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Tom Gordon         R  18   3   0   0   0   0   0   5   0   0   0  .167  .167  .167 
Jason Grimsley     R   7   2   1   0   0   1   0   0   0   0   0  .286  .375  .429 
Buddy Groom        L   6   4   2   0   0   0   0   0   0   0   0  .667  .667 1.000 
Kevin Gross        R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Mark Gubicza       R  10   1   0   0   0   1   0   0   0   0   0  .100  .182  .100 
Bill Gullickson    R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Juan Guzman        R  20   8   0   0   0   1   0   2   0   0   0  .400  .429  .400 
John Halama        L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Roy Halladay       R  10   3   0   0   0   1   0   0   1   0   0  .300  .417  .300 
Joey Hamilton      R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Chris Hammond      L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Chris Haney        L   8   3   1   0   0   0   0   0   0   0   1  .375  .333  .500 
Erik Hanson        R  10   2   1   0   0   2   0   3   0   0   0  .200  .333  .300 
LaTroy Hawkins     R  10   4   3   0   0   0   0   1   0   0   0  .400  .400  .700 
Jimmy Haynes       R   7   1   1   0   0   1   0   2   0   0   0  .143  .250  .286 
Rick Helling       R  18   5   0   0   0   1   1   1   1   0   1  .278  .333  .278 
Pat Hentgen        R  11   1   0   0   0   0   0   1   0   0   0  .091  .091  .091 
Gil Heredia        R   9   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
R. Hernandez       R   8   1   0   0   0   1   0   4   0   0   0  .125  .222  .125 
Ken Hill           R  11   7   0   0   0   3   0   0   1   0   0  .636  .733  .636 
S. Hitchcock       L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Tim Hudson         R  10   2   0   0   1   1   0   4   0   0   0  .200  .273  .500 
Edwin Hurtado      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Hideki Irabu       R   8   3   0   0   0   2   0   1   0   0   0  .375  .500  .375 
Jason Jacome       L   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Jason Johnson      R   7   1   0   0   1   1   0   2   0   0   0  .143  .250  .571 
Randy Johnson      L  10   3   2   0   0   4   0   3   0   0   0  .300  .500  .500 
Doug Jones         R   9   3   1   0   0   0   0   1   0   1   0  .333  .333  .444 
Todd Jones         R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
S. Kamieniecki     R  10   2   1   0   0   0   0   0   0   0   0  .200  .200  .300 
Matt Karchner      R   4   2   0   0   1   0   0   1   0   0   1  .500  .400 1.250 
Scott Karl         L  12   3   1   0   0   1   0   2   0   0   0  .250  .308  .333 
Steve Karsay       R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Jimmy Key          L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Brian Keyser       R   7   4   0   0   0   0   0   0   0   0   0  .571  .571  .571 
Darryl Kile        R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Billy Koch         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Mark Langston      L  10   2   1   0   0   0   0   1   0   0   0  .200  .200  .300 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Leiter          L   9   4   0   0   0   0   0   1   0   0   0  .444  .444  .444 
Al Levine          R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Felipe Lira        R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Graeme Lloyd       L   4   2   0   0   0   0   0   1   0   0   1  .500  .400  .500 
Esteban Loaiza     R  11   3   0   0   0   1   0   2   0   0   0  .273  .333  .273 
Kyle Lohse         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
