Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   6   4   1   0   1   1   0   1   0   0   0  .667  .714 1.333 
Glenn Abbott       R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Acker          R   7   4   0   0   1   0   0   0   1   0   0  .571  .625 1.000 
Doyle Alexander    R  24   4   1   0   0   3   0   3   0   0   0  .167  .259  .208 
Allan Anderson     L   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Rick Anderson      R   7   3   1   0   0   0   0   1   0   0   0  .429  .429  .571 
Mike Armstrong     R   5   0   0   0   0   1   0   3   0   0   0  .000  .167  .000 
Keith Atherton     R  11   4   1   0   2   1   1   1   0   0   0  .364  .417 1.000 
Don August         R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Scott Bailes       L  11   5   0   0   1   0   0   0   0   0   1  .455  .417  .727 
Doug Bair          R   8   4   1   0   0   1   0   1   0   0   0  .500  .556  .625 
Scott Bankhead     R  17   3   2   0   0   1   0   6   0   0   1  .176  .211  .294 
Salome Barojas     R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Jose Bautista      R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Beattie        R  18   5   1   0   1   1   0   4   1   0   0  .278  .350  .500 
Juan Berenguer     R  18   4   0   0   0   0   0   5   0   0   0  .222  .222  .222 
Buddy Black        L  16   3   1   0   0   1   0   6   0   0   0  .188  .235  .250 
Bert Blyleven      R  54  16   3   0   3   4   0   9   0   0   1  .296  .339  .519 
Mike Boddicker     R  56  17   5   1   2   3   0   8   0   0   0  .304  .339  .536 
Tom Bolton         L  10   5   0   1   0   0   0   3   0   0   0  .500  .500  .700 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rich Bordi         R   5   1   0   1   0   0   0   1   0   0   0  .200  .200  .600 
Chris Bosio        R  23  13   3   0   2   1   0   4   1   0   0  .565  .600  .957 
Oil Can Boyd       R  24   2   1   0   0   1   0   4   0   0   0  .083  .120  .125 
Kevin Brown        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Brown        R   5   3   1   0   0   1   0   0   0   0   0  .600  .667  .800 
DeWayne Buice      R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Ray Burris         R  23   7   0   0   2   3   1   1   0   0   0  .304  .385  .565 
John Butcher       R  24   6   2   0   1   2   0   2   0   0   0  .250  .308  .458 
Marty Bystrom      R   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Greg Cadaret       L   9   2   0   0   0   1   0   2   0   0   0  .222  .300  .222 
