Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Paul Abbott        R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Rick Aguilera      R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Wilson Alvarez     L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Allan Anderson     L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Brian Anderson     L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Kevin Appier       R  19   5   1   0   0   3   0   3   0   0   0  .263  .364  .316 
Andy Ashby         R   6   2   1   0   0   0   0   1   0   0   1  .333  .286  .500 
Pedro Astacio      R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Don August         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Manny Aybar        R   8   4   0   0   2   1   0   1   0   0   0  .500  .556 1.250 
Roger Bailey       R   4   3   0   0   1   1   0   0   0   0   0  .750  .800 1.500 
Miguel Batista     R   4   2   2   0   0   0   0   0   0   0   0  .500  .500 1.000 
Rod Beck           R   3   1   0   0   0   0   0   0   1   0   0  .333  .500  .333 
Tim Belcher        R  11   1   0   0   0   4   0   1   0   0   0  .091  .333  .091 
Rigo Beltran       L   3   2   0   1   0   0   0   0   0   1   0  .667  .667 1.333 
Andy Benes         R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Shayne Bennett     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jason Bere         R  13   5   0   0   1   1   0   5   0   0   0  .385  .429  .615 
Sean Bergman       R   8   1   1   0   0   0   0   2   0   0   1  .125  .111  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Bielecki      R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Willie Blair       R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Mike Boddicker     R   4   1   0   1   0   0   0   1   0   0   0  .250  .250  .750 
Joe Boever         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Brian Bohanon      L   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Tom Bolton         L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Chris Bosio        R  16   1   0   0   1   1   0   2   0   0   0  .063  .118  .250 
Ricky Bottalico    R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Billy Brewer       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Kevin Brown        R  23   5   0   1   1   1   0   5   0   0   0  .217  .250  .435 
Mike Busby         R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Mark Clark         R  16   5   0   0   2   0   0   2   0   0   1  .313  .294  .688 
Roger Clemens      R   8   2   0   0   0   1   0   2   0   0   0  .250  .333  .250 
Bartolo Colon      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
David Cone         R  13   1   0   0   0   2   0   2   0   0   0  .077  .200  .077 
Dennis Cook        L   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
John Cummings      L   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Ron Darling        R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Danny Darwin       R  16   3   2   0   0   1   0   1   0   0   0  .188  .235  .313 
Storm Davis        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rich DeLucia       R   4   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Ryan Dempster      R   5   3   2   0   1   1   1   0   0   0   0  .600  .667 1.600 
John Doherty       R   4   1   1   0   0   1   1   0   0   0   0  .250  .400  .500 
Darren Dreifort    R   9   4   1   1   0   0   0   0   0   0   0  .444  .444  .778 
Dennis Eckersley   R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Mark Eichhorn      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Cal Eldred         R   4   3   1   0   1   1   0   0   0   0   0  .750  .800 1.750 
Scott Erickson     R  18   5   0   0   0   2   0   3   0   0   0  .278  .350  .278 
Shawn Estes        L   5   1   1   0   0   3   0   0   0   0   0  .200  .500  .400 
Alex Fernandez     R  13   2   2   0   0   5   1   2   0   0   0  .154  .389  .308 
Sid Fernandez      L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Chuck Finley       L   9   0   0   0   0   1   0   4   0   0   0  .000  .100  .000 
Tony Fossas        L   3   1   0   0   1   1   0   0   1   0   0  .333  .600 1.333 
Mark Gardner       R   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 
Tom Glavine        L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Tom Gordon         R   7   1   0   0   0   7   0   0   0   1   0  .143  .571  .143 
Joe Grahe          R   4   3   0   0   1   0   0   1   0   0   0  .750  .750 1.500 
Tyler Green        R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Buddy Groom        L   4   1   0   0   0   0   0   1   0   0   1  .250  .200  .250 
Mark Gubicza       R  23   3   1   0   0   0   0   2   0   1   0  .130  .130  .174 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mark Guthrie       L   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Mike Hampton       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Chris Haney        L   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Erik Hanson        R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Greg Harris        R   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Tom Henke          R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Mike Henneman      R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Doug Henry         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pat Hentgen        R  10   2   0   0   0   0   0   1   0   0   1  .200  .182  .200 
Felix Heredia      L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
