Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R  13   2   0   0   0   3   2   4   0   0   0  .154  .313  .154 
Tom Acker          R   8   2   0   0   0   1   0   0   0   0   0  .250  .333  .250 
Hank Aguirre       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Craig Anderson     R  10   4   0   0   0   1   0   1   0   0   0  .400  .455  .400 
Bob Anderson       R  31  12   3   2   1   3   0   2   0   0   0  .387  .441  .710 
Johnny Antonelli   L  18   4   0   0   0   2   0   3   0   0   1  .222  .286  .222 
Gerry Arrigo       L  16   5   0   1   0   3   0   0   0   0   0  .313  .421  .438 
Luis Arroyo        L   6   2   0   0   0   0   0   0   0   0   1  .333  .286  .333 
Jack Baldschun     R  28   9   3   1   0   2   0   5   0   0   1  .321  .355  .500 
Larry Bearnarth    R  14   5   0   0   1   1   0   3   0   0   0  .357  .400  .571 
Bo Belinsky        L  14   1   0   0   0   0   0   3   0   0   0  .071  .071  .071 
Dennis Bennett     L  20   6   3   0   1   4   0   2   0   0   0  .300  .417  .600 
Don Bessent        R   7   1   0   0   1   0   0   1   0   0   0  .143  .143  .571 
Wade Blasingame    L  29   5   0   0   2   4   0   8   0   0   0  .172  .273  .379 
Steve Blass        R  16   7   3   0   0   6   3   4   0   0   0  .438  .591  .625 
Bobby Bolin        R  25   6   0   1   0   6   0   3   0   0   0  .240  .387  .320 
John Boozer        R   5   3   0   0   1   1   0   0   0   0   0  .600  .667 1.200 
Frank Bork         L   7   2   1   0   0   0   0   2   0   0   0  .286  .286  .429 
Jim Brewer         L  19   6   2   0   1   3   0   3   0   0   0  .316  .409  .579 
Nelson Briles      R  19   5   0   0   1   3   0   3   0   0   1  .263  .348  .421 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ernie Broglio      R  14   5   1   0   1   0   0   2   0   0   0  .357  .357  .643 
Jim Brosnan        R  29   8   1   0   0   3   1   1   0   0   0  .276  .344  .310 
Hal Brown          R  16   2   0   0   1   1   0   5   0   0   0  .125  .176  .313 
Paul Brown         R  11   2   0   0   2   0   0   3   0   0   0  .182  .182  .727 
Bob Bruce          R  41  10   2   1   0   5   1   9   1   0   0  .244  .340  .341 
George Brunet      L  11   3   1   0   1   0   0   2   0   1   0  .273  .273  .636 
Bob Buhl           R  76  29   6   2   3   6   0   5   0   0   0  .382  .427  .632 
Jim Bunning        R  30   8   2   0   1   3   1   6   0   1   0  .267  .333  .433 
Lew Burdette       R  72  17   1   0   4   3   1   6   0   0   0  .236  .267  .417 
Tom Butters        R   8   3   0   0   0   1   0   3   0   0   0  .375  .444  .375 
John Buzhardt      R  36  11   2   0   1   5   0   0   0   0   0  .306  .390  .444 
Don Cardwell       R  73  22   5   1   0   4   0  10   0   0   0  .301  .338  .397 
Steve Carlton      L   9   2   1   0   0   0   0   3   0   0   0  .222  .222  .333 
Frank Carpin       L   3   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Clay Carroll       R  25   5   2   0   1   1   1   0   0   0   0  .200  .231  .400 
Art Ceccarelli     L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Galen Cisco        R  21   7   3   0   2   3   0   1   0   0   0  .333  .417  .762 
Tony Cloninger     R  58  12   3   0   0   8   1  13   0   0   0  .207  .303  .259 
Gene Conley        R  30   9   2   0   2   1   0   4   0   0   0  .300  .323  .567 
Danny Coombs       L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Roger Craig        R  68  24   2   3   5   4   1   7   0   0   1  .353  .384  .691 
Ray Crone          R   9   7   1   0   2   0   0   1   0   0   1  .778  .700 1.556 
Mike Cuellar       L  21   6   0   0   0   3   0   3   0   0   0  .286  .375  .286 
Ray Culp           R  21   5   0   0   1   0   0   6   0   0   0  .238  .238  .381 
George Culver      R  10   3   0   0   0   1   1   1   0   0   0  .300  .364  .300 
Jack Curtis        L  12   2   0   1   0   1   0   0   0   0   0  .167  .231  .333 
Bennie Daniels     R   8   2   0   0   0   1   0   2   0   0   0  .250  .333  .250 
Ray Daviault       R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Ted Davidson       L  10   2   1   0   0   4   0   2   0   0   0  .200  .429  .300 
Jim Davis          L   6   0   0   0   0   1   0   4   0   0   0  .000  .143  .000 
Larry Dierker      R  29   8   1   0   1   2   0   9   0   0   0  .276  .323  .414 
Moe Drabowsky      R  27   8   3   0   2   2   0   3   0   0   0  .296  .345  .630 
Dick Drott         R  17   5   1   0   1   1   0   4   0   0   0  .294  .333  .529 
