Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doyle Alexander    R  12   4   1   0   0   0   0   0   0   0   0  .333  .333  .417 
Neil Allen         R  14   5   0   0   0   0   0   4   0   1   0  .357  .357  .357 
Larry Andersen     R   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
Joaquin Andujar    R  23   3   0   0   0   7   0   2   0   1   0  .130  .333  .130 
Keith Atherton     R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Floyd Bannister    L  14   3   1   0   0   4   0   0   0   0   0  .214  .389  .286 
Len Barker         R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Beckwith       R   4   2   0   0   0   1   0   0   0   1   0  .500  .600  .500 
Steve Bedrosian    R  17   6   0   0   0   2   0   1   0   0   1  .353  .400  .353 
Juan Berenguer     R  10   4   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Bruce Berenyi      R  20   3   0   0   0   4   0   5   0   1   0  .150  .292  .150 
Mike Birkbeck      R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Tim Birtsas        L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Buddy Black        L   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Bert Blyleven      R  14   1   0   0   0   3   0   3   0   0   0  .071  .235  .071 
Rich Bordi         R  11   3   0   0   0   0   0   0   0   0   0  .273  .273  .273 
Oil Can Boyd       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Fred Breining      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Tom Browning       L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Warren Brusstar    R   5   2   0   0   0   2   1   0   0   0   0  .400  .571  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Britt Burns        L   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ray Burris         R   9   3   0   1   0   0   0   0   0   1   0  .333  .333  .556 
John Butcher       R   8   3   0   1   0   2   0   0   0   0   0  .375  .500  .625 
Marty Bystrom      R  10   2   0   0   0   1   0   1   0   0   0  .200  .273  .200 
Rick Camp          R   9   2   0   1   0   2   0   0   0   0   0  .222  .364  .444 
Bill Campbell      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
John Candelaria    L  20   6   1   0   1   1   0   2   2   0   0  .300  .391  .500 
Tom Candiotti      R  10   0   0   0   0   1   0   1   0   0   0  .000  .091  .000 
Steve Carlton      L  19   7   1   0   0   1   0   3   0   0   0  .368  .400  .421 
Keefe Cato         R   2   0   0   0   0   1   0   0   0   0   1  .000  .250  .000 
L. Christenson     R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Jim Clancy         R   6   1   0   0   0   1   0   1   0   2   0  .167  .286  .167 
Jaime Cocanower    R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Chris Codiroli     R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Ed Correa          R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Joel Davis         R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Mark Davis         L  14   4   1   0   0   0   0   1   0   0   0  .286  .286  .357 
Bill Dawley        R   6   3   0   1   0   0   0   0   0   0   0  .500  .500  .833 
Ken Dayley         L   9   2   1   0   0   1   0   1   0   0   0  .222  .300  .333 
Jose DeLeon        R  19   8   0   1   0   4   0   1   0   1   0  .421  .522  .526 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
