Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L   3   1   1   0   0   0   0   1   0   0   1  .333  .250  .667 
Ted Abernathy      R  13   5   0   1   0   1   0   0   0   0   1  .385  .400  .538 
Hank Aguirre       L  38   5   2   0   0   4   0   8   0   1   0  .132  .214  .184 
Bob Allen          L   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Johnny Antonelli   L   4   1   0   0   0   1   0   1   0   0   1  .250  .333  .250 
Jim Archer         L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Rudy Arias         L   6   3   1   0   1   0   0   1   0   0   0  .500  .500 1.167 
Luis Arroyo        L   7   2   1   0   0   1   0   1   0   1   0  .286  .375  .429 
Steve Barber       L  17   1   0   0   0   6   0   8   0   0   2  .059  .280  .059 
Frank Baumann      L  35  14   3   0   0   0   0   2   0   0   2  .400  .378  .486 
Bo Belinsky        L  11   1   0   0   0   1   0   4   1   0   0  .091  .231  .091 
Gary Bell          R  25   5   1   0   2   2   0   8   0   0   0  .200  .259  .480 
Tom Borland        L   3   3   1   0   0   1   1   0   0   0   0 1.000 1.000 1.333 
Jim Bouton         R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Ted Bowsfield      L  22   4   2   1   0   0   0   1   0   0   0  .182  .182  .364 
Tom Brewer         R  51  14   5   0   0   8   0   7   0   0   0  .275  .373  .373 
John Briggs        R   4   1   0   0   1   0   0   0   0   0   1  .250  .200 1.000 
Hal Brown          R   7   0   0   0   0   0   0   2   0   2   0  .000  .000  .000 
Bob Bruce          R  14   4   1   0   0   0   0   3   0   0   0  .286  .286  .357 
Jim Bunning        R  47   8   1   0   1   0   0   9   0   1   0  .170  .170  .255 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lew Burdette       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Wally Burnette     R   9   4   1   1   0   0   0   0   0   0   0  .444  .444  .778 
Pete Burnside      L  26   5   3   0   0   3   0   3   0   0   0  .192  .276  .308 
Bud Byerly         R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Tommy Byrne        L   9   3   0   0   0   2   0   1   0   0   0  .333  .455  .333 
Jerry Casale       R  25   4   0   0   1   2   0   5   1   0   0  .160  .250  .280 
Bob Chakales       R   9   1   0   0   0   1   0   3   0   0   0  .111  .200  .111 
Cliff Chambers     L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Al Cicotte         R   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
Tex Clevenger      R  18   6   1   0   0   3   0   1   0   1   1  .333  .409  .389 
Jim Coates         R  14   5   0   0   2   1   0   1   0   1   0  .357  .400  .786 
Rip Coleman        L   8   4   0   0   1   0   0   0   0   0   0  .500  .500  .875 
Jackie Collum      L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Gene Conley        R  19   2   0   0   0   0   0   3   0   0   1  .105  .100  .105 
Jim Constable      L   3   2   0   0   0   1   0   0   0   0   1  .667  .600  .667 
Glenn Cox          R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Bill Dailey        R   5   2   1   0   0   1   0   0   0   0   0  .400  .500  .600 
Bud Daley          L  25   6   2   0   1   3   0   3   0   0   1  .240  .310  .440 
Bennie Daniels     R  11   4   0   0   0   1   0   2   0   0   0  .364  .417  .364 
Jerry Davie        R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ike Delock         R  30   7   2   0   0   1   0   6   0   1   0  .233  .258  .300 
Murry Dickson      R  14   4   1   0   0   0   0   0   0   0   0  .286  .286  .357 
