Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Accardo     R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Alfredo Aceves     R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Manny Acosta       R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Mike Adams         R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Nathan Adcock      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Matt Albers        R   4   1   0   0   0   4   0   2   0   0   0  .250  .625  .250 
Al Alburquerque    R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
A. Alfonseca       R   3   1   1   0   0   1   0   2   0   0   0  .333  .500  .667 
Cody Allen         R   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
H. Alvarez         R   5   2   0   0   1   1   0   1   0   0   0  .400  .500 1.000 
Brett Anderson     L   6   2   0   0   0   1   0   2   0   0   0  .333  .429  .333 
Alberto Arias      R   4   2   1   0   0   0   0   0   1   0   0  .500  .600  .750 
Tony Armas         R   8   3   1   0   0   0   0   0   1   0   0  .375  .444  .500 
Jake Arrieta       R   9   2   1   0   0   0   0   3   0   0   0  .222  .222  .333 
Bronson Arroyo     R  11   2   1   0   0   1   0   1   0   0   0  .182  .250  .273 
Pedro Astacio      R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Scott Atchison     R   5   1   0   0   1   0   0   2   0   0   0  .200  .200  .800 
Dylan Axelrod      R   7   2   0   0   0   0   0   2   1   0   1  .286  .333  .286 
Luis Ayala         R  12   4   3   0   0   1   0   2   0   0   0  .333  .385  .583 
Brandon Backe      R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Burke Badenhop     R   6   2   1   0   1   1   0   1   0   0   0  .333  .429 1.000 
Scott Baker        R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Brian Bannister    R   5   3   2   0   0   1   0   2   0   0   0  .600  .667 1.000 
Blake Beavan       R  13   4   2   0   1   2   0   4   0   0   0  .308  .400  .692 
Josh Beckett       R   4   3   2   0   0   2   0   1   0   0   0  .750  .833 1.250 
Erik Bedard        L   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Joe Beimel         L   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Ronald Belisario   R   4   1   0   0   0   1   0   1   1   0   0  .250  .500  .250 
Matt Belisle       R   8   1   0   0   1   3   0   2   0   0   0  .125  .364  .500 
Heath Bell         R   7   2   0   0   1   0   0   2   0   0   0  .286  .286  .714 
Trevor Bell        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Duane Below        L   6   1   0   0   1   1   0   2   0   0   1  .167  .250  .667 
Jeff Bennett       R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Joaquin Benoit     R   6   0   0   0   0   2   0   2   0   0   2  .000  .200  .000 
Kris Benson        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Brad Bergesen      R  13   6   0   0   1   1   0   2   0   0   0  .462  .500  .692 
Jason Bergmann     R  14   4   1   0   1   2   0   3   1   0   0  .286  .412  .571 
R. Betancourt      R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Chad Billingsley   R  11   0   0   0   0   2   0   5   0   0   0  .000  .154  .000 
Nick Blackburn     R   5   2   1   0   0   0   0   1   0   0   1  .400  .333  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Travis Blackley    L   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Joe Blanton        R  16   2   0   0   0   1   0   8   0   0   0  .125  .176  .125 
