Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R  20   4   0   0   0   5   1   1   0   1   0  .200  .360  .200 
Hank Aguirre       L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Craig Anderson     R  12   3   1   0   0   1   0   2   0   0   1  .250  .286  .333 
Bob Anderson       R  41  12   0   0   0   5   0   3   0   0   0  .293  .370  .293 
Johnny Antonelli   L  10   2   0   0   0   2   1   0   0   0   0  .200  .333  .200 
Steve Arlin        R  11   4   0   0   0   1   0   0   0   0   0  .364  .417  .364 
Gerry Arrigo       L  28   2   1   0   0   2   0   2   0   0   0  .071  .133  .107 
Jack Baldschun     R  35   9   0   2   0   3   0   2   1   2   0  .257  .333  .371 
Steve Barber       L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Jim Barr           R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ed Bauta           R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Larry Bearnarth    R  10   3   0   0   0   1   0   1   0   2   0  .300  .364  .300 
Bo Belinsky        L  14   4   1   0   0   0   0   2   0   1   0  .286  .286  .357 
Dennis Bennett     L  41   9   2   0   0   5   0   7   0   1   0  .220  .304  .268 
Frank Bertaina     L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jack Billingham    R  27   6   0   0   0   2   0   2   0   0   0  .222  .276  .222 
Wade Blasingame    L  44  12   1   1   0   1   0   6   0   1   0  .273  .289  .341 
Steve Blass        R  39  11   1   0   0   6   0   1   0   1   0  .282  .378  .308 
Bobby Bolin        R  39  14   0   1   0   8   0   6   0   2   0  .359  .468  .410 
John Boozer        R  14   3   1   0   0   1   0   3   1   1   0  .214  .313  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Brewer         L  14   4   0   0   0   0   0   4   0   0   0  .286  .286  .286 
Marshall Bridges   L   8   1   1   0   0   2   1   3   0   0   0  .125  .300  .250 
Nelson Briles      R  46  19   1   1   0   3   0   1   0   0   0  .413  .449  .478 
Jim Britton        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ernie Broglio      R  65  15   3   0   0   8   0   1   0   0   1  .231  .311  .277 
Jim Brosnan        R  13   1   0   0   0   0   0   0   0   0   0  .077  .077  .077 
Hal Brown          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
