Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brett Anderson     L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Cha-Seung Baek     R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Andrew Bailey      R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Scott Baker        R   5   3   0   0   0   2   0   0   0   0   0  .600  .714  .600 
Miguel Batista     R   9   5   0   1   0   0   0   2   0   1   0  .556  .556  .778 
Josh Beckett       R   5   2   1   0   0   0   0   0   0   1   0  .400  .400  .600 
Joaquin Benoit     R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Nick Blackburn     R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Joe Blanton        R  10   3   0   0   0   0   0   0   0   0   0  .300  .300  .300 
Jeremy Bonderman   R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Boof Bonser        R   8   2   1   0   0   1   0   3   0   0   0  .250  .333  .375 
Mark Buehrle       L  11   3   1   0   0   0   0   1   0   0   0  .273  .273  .364 
Paul Byrd          R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Daniel Cabrera     R  10   4   0   0   0   2   0   2   0   2   0  .400  .500  .400 
Fausto Carmona     R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bruce Chen         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jose Contreras     R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
John Danks         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jorge de la Rosa   L   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Lenny DiNardo      L   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chad Durbin        R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Ryan Feierabend    L   9   5   1   0   0   0   0   2   0   0   0  .556  .556  .667 
Scott Feldman      R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jeff Francis       L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Frank Francisco    R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
A. Galarraga       R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Jon Garland        R   9   5   0   0   0   0   0   2   0   0   0  .556  .556  .556 
Chad Gaudin        R   9   4   0   0   0   1   0   0   0   0   1  .444  .455  .444 
Tom Gorzelanny     L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Zack Greinke       R  11   5   2   0   0   0   0   2   0   0   0  .455  .455  .636 
Matt Guerrier      R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Jeremy Guthrie     R  10   2   1   0   0   1   0   3   0   0   0  .200  .273  .300 
Roy Halladay       R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Dan Haren          R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Mark Hendrickson   L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Felix Hernandez    R  13   1   0   0   0   2   0   3   0   0   0  .077  .200  .077 
Derek Holland      L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
J.P. Howell        L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Phil Hughes        R   4   0   0   0   0   2   0   3   0   0   0  .000  .333  .000 
Bobby Jenks        R   5   0   0   0   0   0   0   2   0   2   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Jennings     R   3   3   0   0   0   1   0   0   0   0   1 1.000  .800 1.000 
Scott Kazmir       L   5   2   1   0   0   2   0   1   0   0   0  .400  .571  .600 
John Lackey        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Aaron Laffey       L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Brandon League     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Cliff Lee          L   5   2   0   0   0   2   0   0   0   0   0  .400  .571  .400 
Jensen Lewis       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jesse Litsch       R   1   0   0   0   0   2   0   0   1   0   0  .000  .750  .000 
Wes Littleton      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Kameron Loe        R   5   3   0   0   0   2   0   1   0   0   0  .600  .714  .600 
Derek Lowe         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ron Mahay          L   5   1   0   0   0   0   0   1   0   0   1  .200  .167  .200 
Shaun Marcum       R   9   5   3   0   0   0   0   1   0   0   0  .556  .556  .889 
Mike Maroth        L   2   0   0   0   0   0   0   0   0   1   1  .000  .000  .000 
Vin Mazzaro        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Brandon McCarthy   R   6   1   0   0   0   2   0   0   0   1   0  .167  .375  .167 
Dustin McGowan     R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Gil Meche          R   4   0   0   0   0   1   0   2   0   1   0  .000  .200  .000 
Kevin Millwood     R  13   2   1   0   0   4   0   5   0   1   0  .154  .353  .231 
Brandon Morrow     R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeff Niemann       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Eric O'Flaherty    L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Josh Outman        L   4   0   0   0   0   1   0   0   0   1   0  .000  .200  .000 
Vicente Padilla    R   7   3   0   0   0   1   0   2   0   0   0  .429  .500  .429 
Andy Pettitte      L   6   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
David Price        L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
J.J. Putz          R   3   3   1   0   0   0   0   0   0   1   0 1.000 1.000 1.333 
Nate Robertson     L   3   0   0   0   0   0   0   2   1   0   0  .000  .250  .000 
Ricky Romero       L   3   1   0   0   0   2   0   0   0   1   0  .333  .600  .333 
R. Rowland-Smith   L   5   3   0   0   0   1   0   0   0   0   0  .600  .667  .600 
CC Sabathia        L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chris Sampson      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Curt Schilling     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
James Shields      R  11   1   0   0   0   0   0   4   0   0   0  .091  .091  .091 
Carlos Silva       R   7   0   0   0   0   1   0   2   0   1   0  .000  .125  .000 
Ian Snell          R   4   3   1   0   0   2   0   1   0   0   0  .750  .833 1.000 
Andy Sonnanstine   R   9   2   0   0   0   1   0   2   0   0   0  .222  .300  .222 
Jeremy Sowers      L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Anthony Swarzak    R   4   1   1   0   0   1   0   0   0   0   0  .250  .400  .500 
Rob Tejeda         R   4   1   0   0   0   0   0   2   0   0   1  .250  .200  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Vargas       L   4   1   1   0   0   1   0   0   0   1   0  .250  .400  .500 
Javier Vazquez     R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Justin Verlander   R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tim Wakefield      R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Chien-Ming Wang    R   4   0   0   0   0   3   0   0   0   0   0  .000  .429  .000 
Jarrod Washburn    L   5   4   0   0   0   1   0   0   0   0   0  .800  .833  .800 
Jeff Weaver        R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Todd Wellemeyer    R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
C.J. Wilson        L  13   2   0   0   0   2   0   3   0   0   0  .154  .267  .154 
Jamey Wright       R   4   0   0   0   0   3   0   1   0   1   0  .000  .429  .000 
Brad Ziegler       R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000
