Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pete Burnside      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dick Ellsworth     L   8   3   2   0   0   0   0   1   0   0   0  .375  .375  .625 
Eddie Fisher       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Joe Gibbon         L   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Joe Horlen         R   4   2   1   0   0   1   0   1   0   0   0  .500  .600  .750 
Don Mossi          L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Billy O'Dell       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Milt Pappas        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Art Quirk          L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Chris Short        L   6   3   0   1   1   0   0   0   0   0   0  .500  .500 1.333
